id,filename,photo_variable,obs_type,caseid,key,pull_province,pull_municipal_city,pull_item,pull_nsu_unit,vendor_id,market_name,store_stall_name,raw_weight,raw_unit,photo_path,photo_exists
1,1778295171180.jpg,item_photo_ms,medium_size,N11111111,uuid:bd086127-316a-4c4d-b2cf-2ea40cac4d79,AKLAN,ALTAVAS,Cabbage,Bilog,EG43T67F,Altavas Public Market,Anadhel Vegetable Stall,.57999998,grams (g),C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778295171180.jpg,1
2,1778292405639.jpg,item_photo_ss,small_size,N11111111,uuid:3c8e144d-03ff-4cbf-ae18-1b75fd458815,AKLAN,ALTAVAS,Cabbage,Bilog,N57UAI6W,Altavas Public Market,Arnel Store,475,grams (g),C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778292405639.jpg,1
3,1778292436793.jpg,item_photo_ms,medium_size,N11111111,uuid:3c8e144d-03ff-4cbf-ae18-1b75fd458815,AKLAN,ALTAVAS,Cabbage,Bilog,N57UAI6W,Altavas Public Market,Arnel Store,695,grams (g),C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778292436793.jpg,1
4,1778292459754.jpg,item_photo_ls,large_size,N11111111,uuid:3c8e144d-03ff-4cbf-ae18-1b75fd458815,AKLAN,ALTAVAS,Cabbage,Bilog,N57UAI6W,Altavas Public Market,Arnel Store,1.2,Kilograms (Kgs),C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778292459754.jpg,1
5,1778292890840.jpg,item_photo_ms,medium_size,N11111111,uuid:f532a691-b51a-460c-be59-267da8f2c0c0,AKLAN,ALTAVAS,Cabbage,Bilog,NOB23TYG,Altavas Public Market,Jocelyn Sari Sari Store,.755,grams (g),C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778292890840.jpg,1
6,1778295456945.jpg,item_photo_conv_nsu,conventional_nsu,N11111114,uuid:e47de034-415f-468d-b0bd-a62021495d8f,AKLAN,ALTAVAS,Camote tops,Bugkos,C0CWNE7M,Altavas Public Market,Vic Vegetable Stall,.145,grams (g),C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778295456945.jpg,1
7,1778294938685.jpg,item_photo_conv_nsu,conventional_nsu,N11111114,uuid:3123878d-6a67-4f64-955d-10e5c3b3030c,AKLAN,ALTAVAS,Camote tops,Bugkos,SEXJT1G0,Altavas Public Market,Anadhel Vegetable Stall,.13,grams (g),C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778294938685.jpg,1
8,1778293018458.jpg,item_photo_conv_nsu,conventional_nsu,N11111114,uuid:351de1cc-2802-4d96-95cc-41fe9a4c973d,AKLAN,ALTAVAS,Camote tops,Bugkos,T26P9WHR,Altavas Public Market,Jocelyn Sari Sari Store,.125,grams (g),C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778293018458.jpg,1
9,1778295521311.jpg,item_photo_ms,medium_size,N11111115,uuid:f4c81700-21bf-48fd-b26c-29b660ebf432,AKLAN,ALTAVAS,Camote tops,Bundle,0T9KHHCA,Altavas Public Market,Vic Vegetable Stall,.81,grams (g),C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778295521311.jpg,1
10,1778295093966.jpg,item_photo_ls,large_size,N11111115,uuid:e64ab58d-41e1-45f7-887f-0a46d305ab90,AKLAN,ALTAVAS,Camote tops,Bundle,DTROJQO7,Altavas Public Market,Anadhel Vegetable Stall,1.13,Kilograms (Kgs),C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778295093966.jpg,1
