id,both_read,ag_type,ag_scale,ag_disp,ag_dec,abst_h,abst_s,check,stratum
9461,1,1,1,1,1,0,0,2,C2 review queue
2449,1,1,1,1,1,0,0,2,C2 magnitude
6192,1,1,1,1,1,0,0,2,C2 review queue
10706,1,1,1,1,1,0,0,1,C1 liquid as mass
9510,1,1,1,1,1,0,0,2,C2 magnitude
4996,1,1,1,1,1,1,0,2,C2 magnitude
9710,1,1,1,1,1,0,0,2,C2 magnitude
9460,1,1,1,1,1,0,0,2,C2 block governs
5077,1,1,1,1,1,0,0,2,C2 magnitude
6498,1,1,1,1,1,0,0,2,C2 block governs
9479,1,1,1,1,1,0,0,2,C2 magnitude
864,1,1,1,1,1,0,0,2,C2 magnitude
9790,1,1,1,1,1,0,0,2,C2 magnitude
10707,1,1,1,1,1,0,0,1,C1 liquid as mass
8435,1,1,1,1,1,0,0,2,C2 block governs
4311,1,1,1,1,1,0,0,1,C1 liquid as mass
7576,1,1,1,1,1,0,0,2,C2 block governs
110,1,1,1,1,1,0,0,2,C2 magnitude
10269,1,1,1,1,1,0,0,2,C2 review queue
4196,1,1,1,1,1,0,0,2,C2 block governs
6476,1,1,1,1,1,0,0,2,C2 block governs
9799,1,1,1,1,1,1,0,2,C2 block governs
7843,1,1,1,1,1,0,0,1,C1 liquid as mass
4976,1,1,1,1,1,0,0,2,C2 magnitude
4935,1,1,1,1,1,0,0,2,C2 block governs
2921,1,1,1,,,1,1,1,C1 dual-ticked
6405,1,1,1,,,1,1,1,C1 solid as Litres
4312,1,1,1,0,1,0,0,1,C1 liquid as mass
9068,1,1,1,,,1,1,1,C1 liquid as mass
8474,1,1,1,0,1,0,0,1,C1 liquid as mass
377,1,1,1,,,1,1,1,C1 dual-ticked
4610,1,1,1,,,1,1,1,C1 flat-group rep
11108,1,0,1,,,1,1,1,C1 solid as Litres
9999,1,1,1,,,1,0,1,C1 liquid as mass
6345,1,1,1,,,1,1,2,C2 dimension overrule
924,1,0,1,,,1,0,2,C2 magnitude
71,1,1,1,,,1,1,2,C2 magnitude
8354,1,1,1,,,1,1,1,C1 dual-ticked
4940,1,0,1,,,1,1,1,C1 dual-ticked
10964,1,0,0,,,1,0,1,C1 liquid as mass
5375,1,1,1,,,1,1,1,C1 dual-ticked
5029,1,0,1,,,1,1,1,C1 dual-ticked
10028,1,1,1,0,1,0,0,1,C1 dual-ticked
5443,1,1,1,0,1,0,0,1,C1 solid as Litres
4843,1,1,1,0,1,0,0,1,C1 liquid as mass
3887,1,1,1,,,1,0,2,C2 block governs
3479,1,1,1,,,1,1,1,C1 flat-group rep
6202,1,1,1,0,1,0,0,2,C2 review queue
11246,1,0,0,,,1,0,2,C2 block governs
