province,municipality,item,harmonized_nsu_unit,hetero_group,raw_tick,raw_weight,verdict_val,chose,id_at_review,image_code,photo_unit,supersedes
ILOILO,CONCEPCION,camote,bilog,small_size,grams (g),.75,75,photo,6544,1773722601564,g,0
ILOILO,CONCEPCION,camote,bilog,medium_size,grams (g),.85000002,85,photo,6545,1773722622896,g,0
ILOILO,SAN RAFAEL,cabbage,pack,province_median,grams (g),.60000002,60,photo,9424,1773724826947,g,1
ILOILO,TIGBAUAN,"drinks at restaurant, hotel, cafe, or kiosk",pieces or units,small_size,grams (g),760,355,photo,9995,1773730865630,mL,0
ILOILO,TIGBAUAN,"drinks at restaurant, hotel, cafe, or kiosk",pieces or units,large_size,Litres (L),.0018300001,1830,photo,9996,1773730902464,g,1
ILOILO,TIGBAUAN,"drinks at restaurant, hotel, cafe, or kiosk",pieces or units,small_size,grams (g),700,355,photo,9994,1773731054952,mL,0
ILOILO,SAN RAFAEL,"crackers, cookies, buiscuits, chips/curls",pieces or units,small_size,grams (g),.40000001,40,photo,9461,1773796774872,g,0
ILOILO,SAN RAFAEL,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",cone,large_size,Kilograms (Kgs),1.04,1500,photo,9489,1773797771519,mL,1
ILOILO,CABATUAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,small_size,grams (g),.94999999,95,photo,6202,1773810007262,g,1
ILOILO,SANTA BARBARA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,small_size,grams (g),.64999998,65,photo,9637,1773893158345,g,0
ILOILO,SAN RAFAEL,"crackers, cookies, buiscuits, chips/curls",putos,small_size,grams (g),.025,30,photo,9471,1773969164870,g,1
ILOILO,SANTA BARBARA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,small_size,grams (g),.30000001,30,photo,9648,1773986875251,g,1
ILOILO,SANTA BARBARA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,medium_size,grams (g),.55000001,55,photo,9646,1773992412689,g,1
CAPIZ,IVISAN,carrot,pieces or units,small_size,grams (g),.44999999,45,photo,3887,1775787569138,g,0
NEGROS OCCIDENTAL,PULUPANDAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,municipality_median,grams (g),45,45,photo,11246,1777343511311,g,1
ANTIQUE,LAUA-AN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,municipality_median,grams (g),.465,465,photo,2401,1779256979804,g,1
