seq,id,filename,ocr_text,ocr_value,ocr_status,n_rows_found,n_digits,n_unknown,row_density
1,339,1777950080968.jpg,?,,partial,6,1,1,0.3941
2,801,1777448168057.jpg,88,88.0,ok,3,2,0,0.6801
3,989,1777343633923.jpg,?,,partial,9,1,1,0.395
4,1570,1777005487683.jpg,88,88.0,ok,5,2,0,0.6622
5,1590,1777080935218.jpg,88,88.0,ok,11,2,0,0.5953
6,1719,1776735205364.jpg,88,88.0,ok,6,2,0,0.6442
7,1740,1776735376205.jpg,?,,partial,12,1,1,0.6449
8,1910,1779231167288.jpg,8,8.0,ok,4,1,0,0.5917
9,2004,1776823313872.jpg,88,88.0,ok,8,2,0,0.5655
10,2029,1776823812405.jpg,?,,partial,9,1,1,0.4568
11,2067,1776821351690.jpg,88,88.0,ok,6,2,0,0.732
12,2358,1776386023352.jpg,88,88.0,ok,5,2,0,0.7007
13,3533,1775525287159.jpg,?,,partial,6,1,1,0.3482
14,3633,1775524574262.jpg,88,88.0,ok,11,2,0,0.6444
15,3815,1776478691188.jpg,??,,partial,1,2,2,0.1457
16,4139,1775871422685.jpg,?8,,partial,15,2,1,0.4878
17,4194,1775869654124.jpg,?420,,partial,5,4,1,0.2785
18,4537,1776302762542.jpg,8,8.0,ok,4,1,0,0.6707
19,4666,1776128876010.jpg,8,8.0,ok,10,1,0,0.5497
20,4764,1776306251373.jpg,?,,partial,10,1,1,0.5256
21,4997,1775711150976.jpg,?,,partial,10,1,1,0.642
22,5094,1773797664120.jpg,8,8.0,ok,2,1,0,0.5019
23,5410,1778810580322.jpg,8,8.0,ok,9,1,0,0.6695
24,5590,1774408319598.jpg,?,,partial,12,1,1,0.5866
25,5760,1774405794745.jpg,88,88.0,ok,5,2,0,0.7005
26,5987,1774583025313.jpg,?,,partial,11,1,1,0.4105
27,6005,1774582673174.jpg,?,,partial,11,1,1,0.4942
28,6141,1773726269840.jpg,??8,,partial,9,3,2,0.4236
29,6297,1774405268215.jpg,?8888,,partial,4,5,1,0.5552
30,6482,1774052202620.jpg,?,,partial,7,1,1,0.3734
31,6485,1774051254504.jpg,?,,partial,9,1,1,0.6103
32,7042,1774321617767.jpg,?,,partial,8,1,1,0.566
33,7904,1775877734676.jpg,8,8.0,ok,5,1,0,0.6198
34,7913,1775887638999.jpg,?,,partial,6,1,1,0.3964
35,8054,1775881966545.jpg,88,88.0,ok,5,2,0,0.6219
36,8303,1775783591517.jpg,88,88.0,ok,10,2,0,0.6983
37,8433,1775695258667.jpg,7.,7.0,ok,11,1,0,0.31
38,8454,1775704703978.jpg,060,60.0,ok,14,3,0,0.3781
39,8546,1773900219037.jpg,8?,,partial,11,2,1,0.5957
40,8789,1778286080846.jpg,88,88.0,ok,5,2,0,0.5837
41,8943,1773972276105.jpg,?,,partial,5,1,1,0.3284
42,9445,1773726939000.jpg,0?80,,partial,9,4,1,0.2908
43,9536,1773881273443.jpg,88,88.0,ok,6,2,0,0.6815
44,9597,1773906260777.jpg,?,,partial,14,1,1,0.5016
45,11330,1776995116976.jpg,4,4.0,ok,6,1,0,0.3982
