id,image_code,photo_unit,photo_src,raw_tick,raw_weight,pub_rule,pull_item,published_now,proposed_value,times_off
3887,1775787569138,g,human,grams (g),.44999999,block governs,carrot,450,45,10
9461,1773796774872,g,human,grams (g),.40000001,block governs,"crackers, cookies, buiscuits, chips/curls",400,40,10
9424,1773724826947,g,human,grams (g),.60000002,block governs,cabbage,600,60,10
6202,1773810007262,g,human,grams (g),.94999999,block governs,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",950,95,10
9994,1773731054952,mL,human (mL rule) + mL label,grams (g),700,log10 median,"drinks at restaurant, hotel, cafe, or kiosk",700,355,1.97
5636,1774487860616,mL,package label (mL),Litres (L),.35499999,log10 median,"drinks at restaurant, hotel, cafe, or kiosk",355,185,1.92
7053,1774332511873,mL,package label (mL),Litres (L),.1,log10 median,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",100,190,1.9
3147,1776824898275,g,sonnet sweep,grams (g),.72000003,log10 median,cabbage,720,380,1.89
8486,1775786695913,mL,package label (mL),grams (g),100,log10 median,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",100,188,1.88
10053,1773797402365,mL,package label (mL),grams (g),675,log10 median,"liquor (e.g, whisky, coconut wine)",675,375,1.8
6249,1778895486631,g,sonnet sweep,grams (g),.505,log10 median,"preserved or processed meat (tocino, tapa, longaniza, etc)",505,905,1.79
2476,1777083419074,g,sonnet sweep,grams (g),.505,log10 median,chicken,505,905,1.79
10049,1773811478259,mL,sonnet C1 sweep + mL label,Litres (L),.67000002,log10 median,"liquor (e.g, whisky, coconut wine)",670,375,1.79
2990,1776300455732,g,sonnet sweep,Kilograms (Kgs),1020,log10 median,camote,1020,1820,1.78
6512,1774326845021,g,sonnet sweep,grams (g),.5600000000000001,log10 median,loaf bread,560,980,1.75
7853,1773969444958,g,sonnet sweep,grams (g),.055,log10 median,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",55,96,1.75
4232,1775870946406,g,sonnet sweep,grams (g),.5600000000000001,log10 median,"preserved or processed meat (tocino, tapa, longaniza, etc)",560,950,1.7
10716,1777687812909,mL,package label (mL),grams (g),63,log10 median,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",63,100,1.59
