id,image_code,filename,photo_g,photo_unit,photo_src,from_human,has_reading,evidence_is_label,ml_rule_applied,pkg_text,pkg_qty,pkg_unit,has_pkg_qty,mL_rule_pending,pkg_seen,raw_tick,raw_weight,corrected_weight,pub_unit,pub_rule,pull_item,harmonized_nsu_unit,pull_province,pull_municipal_city,market_name,store_stall_name,vendor_id,v_hum,raw_hum,reading_source,h_glare_flag,h_notes,v_hir,v_son,v_swp,v_sc1,v_rsc,v_hai,g_hum,g_hir,g_son,g_swp,g_sc1,g_rsc,g_hai,type_son,type_hir,type_swp,type_sc1,type_rsc,type_hai,leg_son,leg_hir,leg_swp,leg_sc1,leg_rsc,leg_hai,pkg_son,pkg_hir,pkg_swp,pkg_sc1,pkg_rsc,pkg_hai,item_nsu_hetero_type
1,1778295171180,1778295171180.jpg,580,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.57999998,580,g,log10 median,cabbage,pieces or units,AKLAN,ALTAVAS,Altavas Public Market,Anadhel Vegetable Stall,EG43T67F,,,,,,,,.58,,,,,,,580,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,medium_size
5,1778292890840,1778292890840.jpg,755,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.755,755,g,log10 median,cabbage,pieces or units,AKLAN,ALTAVAS,Altavas Public Market,Jocelyn Sari Sari Store,NOB23TYG,,,,,,,,.755,,,,,,,755,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,medium_size
6,1778295456945,1778295456945.jpg,145,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.145,145,g,log10 median,camote tops,bugkos,AKLAN,ALTAVAS,Altavas Public Market,Vic Vegetable Stall,C0CWNE7M,,,,,,,,.145,,,,,,,145,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,conventional_nsu
7,1778294938685,1778294938685.jpg,130,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.13,130,g,log10 median,camote tops,bugkos,AKLAN,ALTAVAS,Altavas Public Market,Anadhel Vegetable Stall,SEXJT1G0,,,,,,,,.13,,,,,,,130,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,conventional_nsu
8,1778293018458,1778293018458.jpg,125,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.125,125,g,log10 median,camote tops,bugkos,AKLAN,ALTAVAS,Altavas Public Market,Jocelyn Sari Sari Store,T26P9WHR,,,,,,,,.125,,,,,,,125,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,conventional_nsu
9,1778295521311,1778295521311.jpg,810,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.81,810,g,log10 median,camote tops,bundle,AKLAN,ALTAVAS,Altavas Public Market,Vic Vegetable Stall,0T9KHHCA,,,,,,,,.8100000000000001,,,,,,,810,,,,,,scale_with_item,,,,,,probable,,,,,,,,,,medium_size
11,1778293065183,1778293065183.jpg,590,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.58999997,590,g,log10 median,camote tops,bundle,AKLAN,ALTAVAS,Altavas Public Market,Jocelyn Sari Sari Store,OXIX1GOX,,,,,,,,.59,,,,,,,590,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,medium_size
12,1778292951682,1778292951682.jpg,90,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.090000004,90,g,log10 median,carrot,pieces or units,AKLAN,ALTAVAS,Altavas Public Market,Jocelyn Sari Sari Store,2W62R7ZS,,,,,,,,.09,,,,,,,90,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,small_size
13,1778292969948,1778292969948.jpg,180,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.18000001,180,g,log10 median,carrot,pieces or units,AKLAN,ALTAVAS,Altavas Public Market,Jocelyn Sari Sari Store,2W62R7ZS,,,,,,,,.18,,,,,,,180,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,medium_size
14,1778292531547,1778292531547.jpg,90,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.090000004,90,g,log10 median,carrot,pieces or units,AKLAN,ALTAVAS,Altavas Public Market,Arnel Store,2ZFVEU39,,,,,,,,.09,,,,,,,90,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,small_size
