id,image_code,rule_verdict,photo_g,photo_unit,photo_src,from_human,corrected_weight,ratio,offby,raw_tick,raw_weight,pub_unit,pub_rule,dimension_unexpressed,mL_rule_pending,pull_item,harmonized_nsu_unit,pull_province,pull_municipal_city,market_name,store_stall_name,vendor_id,filename,has_reading,evidence_is_label,ml_rule_applied,pkg_text,pkg_qty,pkg_unit,has_pkg_qty,pkg_seen,v_hum,raw_hum,reading_source,h_glare_flag,h_notes,v_hir,v_son,v_swp,v_rsc,v_hai,g_hum,g_hir,g_son,g_swp,g_rsc,g_hai,type_son,type_hir,type_swp,type_rsc,type_hai,leg_son,leg_hir,leg_swp,leg_rsc,leg_hai,pkg_son,pkg_hir,pkg_swp,pkg_rsc,pkg_hai,item_nsu_hetero_type,no_published,band,hband
8054,1775881966545,hold,8170,g,sonnet sweep,0,170,48.05882352941177,48.05882352941177,grams (g),.17,g,log10 median,0,0,camote tops,bugkos,ILOILO,MAASIN,Brgy.Mandog Maasin Talipapa,Catherine Store,3W98L0MG,1775881966545.jpg,1,0,0,,,,0,0,,,,,,,,8.17,,,,,,8170,,,,,scale_with_item,,,,,probable,,,,,,,,small_size,0,,20x+
5315,1775867539235,hold,8370,g,sonnet sweep,0,370,22.62162162162162,22.62162162162162,grams (g),.37,g,log10 median,0,0,rice,salmon,ILOILO,ALIMODIAN,Alimodian public market,Shine Store,C9WL7WP3,1775867539235.jpg,1,0,0,,,,0,0,,,,,,,,8.369999999999999,,,,,,8370,,,,,scale_with_item,,,,,clear,,,,,,,,conventional_nsu,0,,20x+
9647,1773975938588,hold,45,g,sonnet sweep,0,845,.0532544378698225,18.77777777777778,grams (g),.84500003,g,block governs,0,0,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,ILOILO,SANTA BARBARA,Arroyo St.Sta Barbara,Toto Kent Food House,J45B7NBR,1773975938588.jpg,1,0,0,,,,0,0,,,,,,,,.045,,,,,,45,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,5 - 20x
9489,1773797771519,hold,1500,mL,sonnet sweep + mL label,0,104,14.42307692307692,14.42307692307692,Kilograms (Kgs),1.04,g,block governs,1,0,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",cone,ILOILO,SAN RAFAEL,San Rafael Public Market,8 D Pharmacy,W4NKZYCI,1773797771519.jpg,1,1,1,1.5 L,1500,mL,1,1,,,,,,,,1.048,,,,,,1048,,,,,scale_with_item,,,,,probable,,,,,1.5 L,,,large_size,0,,5 - 20x
8478,1775703284677,hold,75,g,sonnet sweep,0,975,.0769230769230769,13,grams (g),.97500002,g,log10 median,0,0,fresh fish,pieces or units,ILOILO,NEW LUCENA,New Lucena Public Market,Nerio Fish Stand,BQAKW44P,1775703284677.jpg,1,0,0,,,,0,0,,,,,,,,.075,,,,,,75,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,5 - 20x
4183,1776048791260,hold,24.6,g,package label (g),0,295,.0833898305084746,11.99186991869919,grams (g),295.01999,g,log10 median,0,0,"crackers, cookies, buiscuits, chips/curls",putos,CAPIZ,MAMBUSAO,roadside,Ginwin store,JM0ZWP76,1776048791260.jpg,1,1,0,Net Weight: 24.6 g,24.6,g,1,1,,,,,,,,,,,,,,,,,,,label_closeup,,,,,not_visible,,,,,Net Weight: 24.6 g,,,medium_size,0,,5 - 20x
9287,1774320998883,hold,85,g,sonnet sweep,0,885,.096045197740113,10.41176470588235,grams (g),.88499999,g,log10 median,0,0,cabbage,pieces or units,ILOILO,SAN MIGUEL,San Miguel Roadside,Jays Ann Store,BBW9LQ72,1774320998883.jpg,1,0,0,,,,0,0,,,,,,,,.085,,,,,,85,,,,,scale_with_item,,,,,probable,,,,,,,,medium_size,0,,5 - 20x
4882,1776049347564,hold,10000,mL,package label (mL),0,1000,10,10,Litres (L),.0099999998,mL,log10 median,0,0,"mineral or spring water, all drinking water sold in containers",refilled,CAPIZ,SAPI-AN,Sapi-an Roadside,Amy Store,EXMZ7FGJ,1776049347564.jpg,1,1,1,10 LITERS,10000,mL,1,1,,,,,,,,,,,,,,,,,,,item_no_scale,,,,,not_visible,,,,,10 LITERS,,,medium_size,0,,5 - 20x
3788,1775699754212,hold,10000,mL,package label (mL),0,1000,10,10,Litres (L),.0099999998,mL,block governs,0,0,"mineral or spring water, all drinking water sold in containers",container,CAPIZ,DUMALAG,Dumalag,Daboy,TACBVPC7,1775699754212.jpg,1,1,1,10 LITERS,10000,mL,1,1,,,,,,,,,,,,,,,,,,,item_no_scale,,,,,not_visible,,,,,10 LITERS,,,medium_size,0,,5 - 20x
5605,1774488084234,hold,25,g,package label (g),0,250,.1,10,grams (g),.25,g,block governs,0,0,"crackers, cookies, buiscuits, chips/curls",pieces or units,ILOILO,BANATE,banate Public Market,New Banate Nonoy Store,7BGFJOEE,1774488084234.jpg,1,1,0,NET WT: 25g,25,g,1,1,,,,,,,,,,,,,,,,,,,label_closeup,,,,,not_visible,,,,,NET WT: 25g,,,small_size,0,,5 - 20x
5966,1774491239222,hold,1150,g,package label (g),0,115,10,10,Kilograms (Kgs),115,g,log10 median,0,0,"preserved or processed meat (tocino, tapa, longaniza, etc)",pack,ILOILO,BATAD,Batad talipapa,Shenat store,5OL74TNB,1774491239222.jpg,1,1,0,NET WT. 1.15 KG,1150,g,1,1,,,,,,,,,,,,,,,,,,,label_closeup,,,,,not_visible,,,,,NET WT. 1.15 KG,,,large_size,0,,5 - 20x
4881,1776045945900,hold,10000,mL,package label (mL),0,1000,10,10,Litres (L),.0099999998,mL,log10 median,0,0,"mineral or spring water, all drinking water sold in containers",refilled,CAPIZ,SAPI-AN,Sapi-an Public market,Rp store,ERG35EHQ,1776045945900.jpg,1,1,1,10 LITERS,10000,mL,1,1,,,,,,,,,,,,,,,,,item_no_scale,,,,item_no_scale,not_visible,,,,not_visible,10 LITERS,,,,1 Liter,medium_size,0,,5 - 20x
6544,1773722601564,hold,75,g,sonnet sweep,0,750,.1,10,grams (g),.75,g,block governs,0,0,camote,bilog,ILOILO,CONCEPCION,Nancy Store,Nancy,JQGTA9FC,1773722601564.jpg,1,0,0,,,,0,0,,,,,,,,.075,,,,,,75,,,,,scale_with_item,,,,,clear,,,,,,,,small_size,0,,5 - 20x
5373,1774577345600,hold,40,g,package label (g),0,400,.1,10,grams (g),.40000001,g,block governs,0,0,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,ILOILO,ANILAO,anilao Public Market,Segura Store 2,HYQPUR4Z,1774577345600.jpg,1,1,0,Net 40g,40,g,1,1,,,,,,,,,,,,,,,,,,,label_closeup,,,,,not_visible,,,,,Net 40g,,,small_size,0,,5 - 20x
9996,1773730902464,hold,1830,g,sonnet sweep,0,183,10,10,Litres (L),.0018300001,g,log10 median,0,0,"drinks at restaurant, hotel, cafe, or kiosk",pieces or units,ILOILO,TIGBAUAN,Tigbauan Public market,Papa igme carenderia,N4OJOZ2Q,1773730902464.jpg,1,0,0,,,,0,0,,,,,,,,1.83,,,,,,1830,,,,,scale_with_item,,,,,clear,,,,,,,,large_size,0,,5 - 20x
9828,1778645527648,hold,60,mL,package label (mL),0,600,.1,10,Litres (L),.60000002,g,block governs,1,0,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,ILOILO,SARA,Sara roadside,7/11,TC5VAR2Z,1778645527648.jpg,1,1,1,60mL,60,mL,1,1,,,,,,,,,,,,,,,,,,,item_no_scale,,,,,not_visible,,,,,60mL,,,small_size,0,,5 - 20x
6345,1774401432433,hold,45,mL,package label (mL),0,450,.1,10,grams (g),.44999999,mL,log10 median,0,0,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pack,ILOILO,CALINOG,Calinog Public Market,Carisma store,V0ITEBFX,1774401432433.jpg,1,1,1,45mL,45,mL,1,1,,,,,,,,,,,,,,,,,item_no_scale,,,,item_no_scale,not_visible,,,,not_visible,45mL,,,,,small_size,0,,5 - 20x
4884,1776043770831,hold,10000,mL,package label (mL),0,1000,10,10,Litres (L),.0099999998,mL,block governs,0,0,"mineral or spring water, all drinking water sold in containers",refilled,CAPIZ,SAPI-AN,Sapi-an Public market,Marves Store,LPBWXFY0,1776043770831.jpg,1,1,1,10 LITERS,10000,mL,1,1,,,,,,,,,,,,,,,,,,,item_no_scale,,,,,not_visible,,,,,10 LITERS,,,large_size,0,,5 - 20x
5604,1774403539215,hold,25,g,package label (g),0,250,.1,10,grams (g),.25,g,block governs,0,0,"crackers, cookies, buiscuits, chips/curls",pieces or units,ILOILO,BANATE,roadside,mam bekay store,60S2O7XB,1774403539215.jpg,1,1,0,NET WT. 25g,25,g,1,1,,,,,,,,,,,,,,,,,,,label_closeup,,,,,not_visible,,,,,NET WT. 25g,,,small_size,0,,5 - 20x
9637,1773893158345,hold,65,g,sonnet sweep,0,650,.1,10,grams (g),.64999998,g,block governs,0,0,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,ILOILO,SANTA BARBARA,Sta.Barbara Public Market,Mercy Eatery and Refreshment,HYZD4CJZ,1773893158345.jpg,1,0,0,,,,0,0,,,,,,,,.065,,,,,,65,,,,,scale_with_item,,,,,clear,,,,,,,,small_size,0,,5 - 20x
