id,image_code,rule_verdict,photo_g,photo_unit,photo_src,from_human,corrected_weight,ratio,offby,raw_tick,raw_weight,pub_unit,pub_rule,dimension_unexpressed,mL_rule_pending,pull_item,harmonized_nsu_unit,pull_province,pull_municipal_city,market_name,store_stall_name,vendor_id,filename,has_reading,pkg_seen,v_hum,raw_hum,reading_source,h_glare_flag,h_notes,v_hir,v_son,v_swp,v_rsc,v_hai,g_hum,g_hir,g_son,g_swp,g_rsc,g_hai,type_son,type_hir,type_swp,type_rsc,type_hai,leg_son,leg_hir,leg_swp,leg_rsc,leg_hai,pkg_son,pkg_hir,pkg_swp,pkg_rsc,pkg_hai,item_nsu_hetero_type,no_published,band,hband
6586,1773800281542,confirm,290,g,sonnet sweep,0,295,.9830508474576272,1.017241379310345,grams (g),.29499999,g,log10 median,0,0,"crackers, cookies, buiscuits, chips/curls",putos,ILOILO,CONCEPCION,Jamindan,Madona,RZRH57XM,1773800281542.jpg,1,0,,,,,,,,.29,,,,,,290,,,,,scale_with_item,,,,,clear,,,,,,,,large_size,0,,
7226,1778722214887,confirm,2095,g,human,1,2060,1.016990291262136,1.016990291262136,Kilograms (Kgs),2060,g,block governs,0,0,beef,intestine,ILOILO,IGBARAS,Igbaras public market,Nene picto meat stand,PWB57C0V,1778722214887.jpg,1,0,2.095,2.095,scale,0,,2.095,2.095,,,2095,2095,2095,2095,,,2095,scale_with_item,scale_with_item,,,scale_with_item,clear,clear,,,ambiguous,,,,,,province_median,0,,
2362,1776385744817,confirm,320,g,sonnet sweep,0,325,.9846153846153847,1.015625,grams (g),.32499999,g,log10 median,0,0,camote tops,bugkos,ANTIQUE,LAUA-AN,Laua-an Public Market,Dalumpines Store,G3TA09BY,1776385744817.jpg,1,0,,,,,,,,.32,,,,,,320,,,,,scale_with_item,,,,,clear,,,,,,,,conventional_nsu,0,,
7870,1773969738931,confirm,269,g,sonnet sweep,0,265,1.015094339622642,1.015094339622642,grams (g),.26499999,g,log10 median,0,0,"preserved or processed meat (tocino, tapa, longaniza, etc)",pack,ILOILO,LEMERY,roadside,Diamante Store,K5VAPMUE,1773969738931.jpg,1,0,,,,,,,,.269,,,,,,269,,,,,scale_with_item,,,,,clear,,,,,,,,small_size,0,,
589,1777866753074,confirm,350,g,sonnet sweep,0,355,.9859154929577465,1.014285714285714,grams (g),.35499999,g,log10 median,0,0,cabbage,pieces or units,AKLAN,LIBACAO,Proper II Julita Libacao Roadside,Papa Jums Store,HNL78W19,1777866753074.jpg,1,0,,,,,,,,.35,,,,,,350,,,,,scale_with_item,,,,,probable,,,,,,,,small_size,0,,
2394,1776393346150,confirm,598,g,sonnet sweep,0,590,1.013559322033898,1.013559322033898,grams (g),.58999997,g,log10 median,0,0,fresh fish,pieces or units,ANTIQUE,LAUA-AN,Look Laua-an Roadside,Omapas Fish Stand,97B2N6NE,1776393346150.jpg,1,0,,,,,,,,.598,,,,,,598,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,
5445,1774583926960,confirm,785,g,sonnet sweep,0,795,.9874213836477987,1.012738853503185,grams (g),.79500002,g,log10 median,0,0,chicken,whole (chicken),ILOILO,BADIANGAN,Iniligan Badiangan Roadside,Armada Sari Sari Store,UY39SLGZ,1774583926960.jpg,1,0,,,,,,,,.785,,,,,,785,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,
7835,1773970295431,confirm,638,g,sonnet sweep,0,630,1.012698412698413,1.012698412698413,grams (g),.63,g,block governs,0,0,"crackers, cookies, buiscuits, chips/curls",bucket,ILOILO,LEMERY,roadside,Diamante Store,7C6BEDLK,1773970295431.jpg,1,0,,,,,,,,.638,,,,,,638,,,,,scale_with_item,,,,,clear,,,,,,,,large_size,0,,
9813,1773910157109,confirm,465,g,sonnet sweep,0,460,1.010869565217391,1.010869565217391,grams (g),.46000001,g,log10 median,0,0,fresh fish,pieces or units,ILOILO,SARA,talipapa,none,WBZ2RY61,1773910157109.jpg,1,0,,,,,,,,.465,,,,,,465,,,,,scale_with_item,,,,,clear,,,,,,,,mp75_price,0,,
944,1777343470499,confirm,1105,g,sonnet sweep,0,1115,.9910313901345291,1.009049773755656,Kilograms (Kgs),1115,g,log10 median,0,0,cabbage,pieces or units,AKLAN,MALAY,Brgy.Sambiray talipapa,Hyshan store,CZ6XNJ00,1777343470499.jpg,1,0,,,,,,,,1.105,,,,,,1105,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,
350,1777264566880,confirm,605,g,sonnet sweep,0,600,1.008333333333333,1.008333333333333,grams (g),.60000002,g,log10 median,0,0,chicken,pieces or units,AKLAN,BURUANGA,Buruanga Public Market,Samantha Mae Store,B13DEFPS,1777264566880.jpg,1,0,,,,,,,,.605,,,,,,605,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,
856,1777448734418,confirm,865,g,sonnet sweep,0,860,1.005813953488372,1.005813953488372,grams (g),.86000001,g,log10 median,0,0,fresh fish,pieces or units,AKLAN,MAKATO,Dumga Makato Talipapa,John Fish Stall,FB1MN083,1777448734418.jpg,1,0,,,,,,,,.865,,,,,,865,,,,,scale_with_item,,,,,clear,,,,,,,,large_size,0,,
7825,1773890443902,confirm,186,g,sonnet sweep,0,185,1.005405405405405,1.005405405405405,grams (g),.185,g,log10 median,0,0,carrot,pieces or units,ILOILO,LEMERY,Lemery Talipapa,Aguilar Store,5CIV75IK,1773890443902.jpg,1,0,,,,,,,,.186,,,,,,186,,,,,scale_with_item,,,,,probable,,,,,,,,large_size,0,,
3166,1776825123299,confirm,186,g,sonnet sweep,0,185,1.005405405405405,1.005405405405405,grams (g),.185,g,log10 median,0,0,camote,bilog,ANTIQUE,TIBIAO,San Francisco Sur Tibiao Talipapa,Salvation Vegetable Stall,AWLT5T0D,1776825123299.jpg,1,0,,,,,,,,.186,,,,,,186,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,
959,1777253278975,confirm,1020,g,sonnet sweep,0,1025,.9951219512195122,1.004901960784314,Kilograms (Kgs),1025,g,log10 median,0,0,cabbage,pieces or units,AKLAN,MALAY,Caticlan public market,Daisy vegetables stall,URUHWS47,1777253278975.jpg,1,0,,,,,,,,1.02,,,,,,1020,,,,,scale_with_item,,,,,clear,,,,,,,,large_size,0,,
101,1778206343210,confirm,206,g,sonnet sweep,0,205,1.004878048780488,1.004878048780488,grams (g),.205,g,log10 median,0,0,carrot,pieces or units,AKLAN,BANGA,Libas Banga Roadside,Dionesio Store,GFFE25K0,1778206343210.jpg,1,0,,,,,,,,.206,,,,,,206,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,
1633,1779068538623,confirm,2065,g,sonnet sweep,0,2055,1.004866180048662,1.004866180048662,Kilograms (Kgs),2055,g,log10 median,0,0,fresh fish,pieces or units,ANTIQUE,BARBAZA,Brgy.cubay barbaza,Junior fish stall,GE6BMREP,1779068538623.jpg,1,0,,,,,,,,2.065,,,,,,2065,,,,,scale_with_item,,,,,probable,,,,,,,,large_size,0,,
5166,1775867451445,confirm,216,g,sonnet sweep,0,215,1.004651162790698,1.004651162790698,grams (g),.215,g,log10 median,0,0,carrot,pieces or units,ILOILO,ALIMODIAN,Alimodian public market,Shine Store,KX8KWSWX,1775867451445.jpg,1,0,,,,,,,,.216,,,,,,216,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,
