reader,kind,detail
sonnet_w03,missing_tile,0448
(coverage),image_never_read,id 6
(coverage),image_never_read,id 8
(coverage),image_never_read,id 13
(coverage),image_never_read,id 14
(coverage),image_never_read,id 16
(coverage),image_never_read,id 17
(coverage),image_never_read,id 35
(coverage),image_never_read,id 37
(coverage),image_never_read,id 41
(coverage),image_never_read,id 42
(coverage),image_never_read,id 45
(coverage),image_never_read,id 58
(coverage),image_never_read,id 59
(coverage),image_never_read,id 61
(coverage),image_never_read,id 62
(coverage),image_never_read,id 63
(coverage),image_never_read,id 64
(coverage),image_never_read,id 82
(coverage),image_never_read,id 96
(coverage),image_never_read,id 98
(coverage),image_never_read,id 100
(coverage),image_never_read,id 101
(coverage),image_never_read,id 102
(coverage),image_never_read,id 103
(coverage),image_never_read,id 105
(coverage),image_never_read,id 106
(coverage),image_never_read,id 107
(coverage),image_never_read,id 108
(coverage),image_never_read,id 109
(coverage),image_never_read,id 111
(coverage),image_never_read,id 112
(coverage),image_never_read,id 114
(coverage),image_never_read,id 117
(coverage),image_never_read,id 141
(coverage),image_never_read,id 144
(coverage),image_never_read,id 145
(coverage),image_never_read,id 146
(coverage),image_never_read,id 147
(coverage),image_never_read,id 148
(coverage),image_never_read,id 149
(coverage),image_never_read,id 153
(coverage),image_never_read,id 165
(coverage),image_never_read,id 166
(coverage),image_never_read,id 167
(coverage),image_never_read,id 168
(coverage),image_never_read,id 169
(coverage),image_never_read,id 318
(coverage),image_never_read,id 319
(coverage),image_never_read,id 320
(coverage),image_never_read,id 321
(coverage),image_never_read,id 322
(coverage),image_never_read,id 323
(coverage),image_never_read,id 324
(coverage),image_never_read,id 328
(coverage),image_never_read,id 332
(coverage),image_never_read,id 334
(coverage),image_never_read,id 335
(coverage),image_never_read,id 339
(coverage),image_never_read,id 340
(coverage),image_never_read,id 341
(coverage),image_never_read,id 345
(coverage),image_never_read,id 350
(coverage),image_never_read,id 351
(coverage),image_never_read,id 358
(coverage),image_never_read,id 373
(coverage),image_never_read,id 391
(coverage),image_never_read,id 392
(coverage),image_never_read,id 396
(coverage),image_never_read,id 397
(coverage),image_never_read,id 399
(coverage),image_never_read,id 400
(coverage),image_never_read,id 402
(coverage),image_never_read,id 403
(coverage),image_never_read,id 404
(coverage),image_never_read,id 407
(coverage),image_never_read,id 413
(coverage),image_never_read,id 417
(coverage),image_never_read,id 422
(coverage),image_never_read,id 577
(coverage),image_never_read,id 584
(coverage),image_never_read,id 585
(coverage),image_never_read,id 588
(coverage),image_never_read,id 589
(coverage),image_never_read,id 595
(coverage),image_never_read,id 596
(coverage),image_never_read,id 598
(coverage),image_never_read,id 602
(coverage),image_never_read,id 605
(coverage),image_never_read,id 609
(coverage),image_never_read,id 611
(coverage),image_never_read,id 613
(coverage),image_never_read,id 617
(coverage),image_never_read,id 623
(coverage),image_never_read,id 648
(coverage),image_never_read,id 656
(coverage),image_never_read,id 658
(coverage),image_never_read,id 662
(coverage),image_never_read,id 663
(coverage),image_never_read,id 664
(coverage),image_never_read,id 665
(coverage),image_never_read,id 666
(coverage),image_never_read,id 668
(coverage),image_never_read,id 671
(coverage),image_never_read,id 673
(coverage),image_never_read,id 674
(coverage),image_never_read,id 675
(coverage),image_never_read,id 676
(coverage),image_never_read,id 679
(coverage),image_never_read,id 704
(coverage),image_never_read,id 726
(coverage),image_never_read,id 728
(coverage),image_never_read,id 748
(coverage),image_never_read,id 760
(coverage),image_never_read,id 794
(coverage),image_never_read,id 797
(coverage),image_never_read,id 803
(coverage),image_never_read,id 804
(coverage),image_never_read,id 805
(coverage),image_never_read,id 806
(coverage),image_never_read,id 811
(coverage),image_never_read,id 812
(coverage),image_never_read,id 813
(coverage),image_never_read,id 821
(coverage),image_never_read,id 822
(coverage),image_never_read,id 824
(coverage),image_never_read,id 833
(coverage),image_never_read,id 852
(coverage),image_never_read,id 854
(coverage),image_never_read,id 855
(coverage),image_never_read,id 858
(coverage),image_never_read,id 859
(coverage),image_never_read,id 860
(coverage),image_never_read,id 861
(coverage),image_never_read,id 865
(coverage),image_never_read,id 877
(coverage),image_never_read,id 878
(coverage),image_never_read,id 881
(coverage),image_never_read,id 884
(coverage),image_never_read,id 886
(coverage),image_never_read,id 904
(coverage),image_never_read,id 906
(coverage),image_never_read,id 909
(coverage),image_never_read,id 910
(coverage),image_never_read,id 911
(coverage),image_never_read,id 914
(coverage),image_never_read,id 917
(coverage),image_never_read,id 918
(coverage),image_never_read,id 919
(coverage),image_never_read,id 921
(coverage),image_never_read,id 922
(coverage),image_never_read,id 926
(coverage),image_never_read,id 928
(coverage),image_never_read,id 932
(coverage),image_never_read,id 939
(coverage),image_never_read,id 959
(coverage),image_never_read,id 1012
(coverage),image_never_read,id 1017
(coverage),image_never_read,id 1448
(coverage),image_never_read,id 1473
(coverage),image_never_read,id 1474
(coverage),image_never_read,id 1475
(coverage),image_never_read,id 1514
(coverage),image_never_read,id 1532
(coverage),image_never_read,id 1604
(coverage),image_never_read,id 1605
(coverage),image_never_read,id 1606
(coverage),image_never_read,id 1634
(coverage),image_never_read,id 1636
(coverage),image_never_read,id 1648
(coverage),image_never_read,id 1650
(coverage),image_never_read,id 1651
(coverage),image_never_read,id 1652
(coverage),image_never_read,id 1653
(coverage),image_never_read,id 1701
(coverage),image_never_read,id 1708
(coverage),image_never_read,id 1712
(coverage),image_never_read,id 1714
(coverage),image_never_read,id 1716
(coverage),image_never_read,id 1723
(coverage),image_never_read,id 1724
(coverage),image_never_read,id 1725
(coverage),image_never_read,id 1726
(coverage),image_never_read,id 1732
(coverage),image_never_read,id 1733
(coverage),image_never_read,id 1736
(coverage),image_never_read,id 1738
(coverage),image_never_read,id 1743
(coverage),image_never_read,id 1744
(coverage),image_never_read,id 1745
(coverage),image_never_read,id 1749
(coverage),image_never_read,id 1752
(coverage),image_never_read,id 1753
(coverage),image_never_read,id 1768
(coverage),image_never_read,id 1776
(coverage),image_never_read,id 1778
(coverage),image_never_read,id 1780
(coverage),image_never_read,id 1782
(coverage),image_never_read,id 1784
(coverage),image_never_read,id 1785
(coverage),image_never_read,id 1795
(coverage),image_never_read,id 1798
(coverage),image_never_read,id 1800
(coverage),image_never_read,id 1905
(coverage),image_never_read,id 1914
(coverage),image_never_read,id 1989
(coverage),image_never_read,id 2041
(coverage),image_never_read,id 2090
(coverage),image_never_read,id 2254
(coverage),image_never_read,id 2258
(coverage),image_never_read,id 2268
(coverage),image_never_read,id 2283
(coverage),image_never_read,id 2353
(coverage),image_never_read,id 2354
(coverage),image_never_read,id 2355
(coverage),image_never_read,id 2358
(coverage),image_never_read,id 2360
(coverage),image_never_read,id 2363
(coverage),image_never_read,id 2371
(coverage),image_never_read,id 2377
(coverage),image_never_read,id 2392
(coverage),image_never_read,id 2394
(coverage),image_never_read,id 2396
(coverage),image_never_read,id 2409
(coverage),image_never_read,id 2413
(coverage),image_never_read,id 2415
