seq,sheet,cell,status,id,filename,photo_path,img_sha16,seed
1,sheet_001.jpg,0,ok,9995,1773730865630.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1773730865630.jpg,fd2ffb81395db02e,20260919
2,sheet_002.jpg,0,ok,5077,1773710954464.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1773710954464.jpg,7e931c8deb30e4f8,20260919
3,sheet_003.jpg,0,ok,4996,1775703652194.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1775703652194.jpg,c6b730964cc242b1,20260919
4,sheet_004.jpg,0,ok,2532,1776737899434.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1776737899434.jpg,1e1e842f2d8c53ba,20260919
5,sheet_005.jpg,0,ok,10965,1776822393755.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1776822393755.jpg,66c25c4a3cc4191a,20260919
6,sheet_006.jpg,0,ok,9509,1773728678859.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1773728678859.jpg,ff5cff69e1d7e68a,20260919
7,sheet_007.jpg,0,ok,7639,1774487698787.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1774487698787.jpg,21b3fd51530ed45f,20260919
8,sheet_008.jpg,0,ok,9790,1773880892030.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1773880892030.jpg,79659566ef7d4a2b,20260919
9,sheet_009.jpg,0,ok,110,1778117239723.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778117239723.jpg,a67f9af7f642c2da,20260919
10,sheet_010.jpg,0,ok,10707,1777606851141.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777606851141.jpg,4704b2eae7332e73,20260919
11,sheet_011.jpg,0,ok,8474,1775701177913.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1775701177913.jpg,68301c17fbcbab6c,20260919
12,sheet_012.jpg,0,ok,9461,1773796774872.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1773796774872.jpg,1e161f721c2b6170,20260919
13,sheet_013.jpg,0,ok,5443,1774578054508.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1774578054508.jpg,ae85099777867686,20260919
14,sheet_014.jpg,0,ok,10269,1774669586277.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1774669586277.jpg,b2ffa0df187d5e35,20260919
15,sheet_015.jpg,0,ok,10706,1777607182345.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777607182345.jpg,5341133e353dfe9d,20260919
16,sheet_016.jpg,0,ok,5184,1775866549083.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1775866549083.jpg,d17482a0c551c303,20260919
17,sheet_017.jpg,0,ok,9510,1773728699938.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1773728699938.jpg,f6e6648f4bb67fc0,20260919
18,sheet_018.jpg,0,ok,6192,1773801717143.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1773801717143.jpg,cc2391f727a0e5a0,20260919
19,sheet_019.jpg,0,ok,4843,1775879036042.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1775879036042.jpg,137f3396fbf9b447,20260919
20,sheet_020.jpg,0,ok,10028,1773721624084.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1773721624084.jpg,6a8935ea3f9ac665,20260919
21,sheet_021.jpg,0,ok,9424,1773724826947.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1773724826947.jpg,6ace8f56018f8b96,20260919
22,sheet_022.jpg,0,ok,7625,1774422255907.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1774422255907.jpg,75f4422408e20756,20260919
23,sheet_023.jpg,0,ok,4976,1775703565165.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1775703565165.jpg,8ed2e251a480239f,20260919
24,sheet_024.jpg,0,ok,11054,1777266085340.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777266085340.jpg,d3cdc2d676ff2018,20260919
25,sheet_025.jpg,0,ok,4312,1776219074931.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1776219074931.jpg,5168b094b879af75,20260919
26,sheet_026.jpg,0,ok,4196,1775875357769.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1775875357769.jpg,9172631401d751e7,20260919
27,sheet_027.jpg,0,ok,2460,1777082700414.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777082700414.jpg,9b163967a971e1d8,20260919
28,sheet_028.jpg,0,ok,9479,1773794488084.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1773794488084.jpg,cbcfba3ce2d2f0a6,20260919
29,sheet_029.jpg,0,ok,7576,1774419159052.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1774419159052.jpg,d05c7a97f082a5d7,20260919
30,sheet_030.jpg,0,ok,6476,1774051090174.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1774051090174.jpg,7a38acc10d1a1265,20260919
31,sheet_031.jpg,0,ok,8435,1775696058786.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1775696058786.jpg,77add66455360f6f,20260919
32,sheet_032.jpg,0,ok,9710,1773882134028.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1773882134028.jpg,d7aa0b846cd7092c,20260919
33,sheet_033.jpg,0,ok,864,1778056525267.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778056525267.jpg,6c562816ecae06ce,20260919
