seq,sheet,cell,status,id,filename,photo_path,img_sha16,seed
1,sheet_001.jpg,0,ok,7684,1774424963842.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1774424963842.jpg,51f111fa0b394f9a,20260920
2,sheet_001.jpg,1,ok,7582,1774492827178.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1774492827178.jpg,600cfee77f602601,20260920
3,sheet_001.jpg,2,ok,3167,1776910350679.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1776910350679.jpg,169acd98757d5446,20260920
4,sheet_001.jpg,3,ok,9024,1778647177779.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778647177779.jpg,bbbcd4d11dc5eda8,20260920
5,sheet_002.jpg,0,ok,2716,1776308432112.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1776308432112.jpg,54c535aa585b111d,20260920
6,sheet_002.jpg,1,ok,6154,1773709282828.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1773709282828.jpg,0d7dd9637268cd34,20260920
7,sheet_002.jpg,2,ok,2444,1776994722490.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1776994722490.jpg,1620d4f2dc2c13aa,20260920
8,sheet_002.jpg,3,ok,11491,1776990970946.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1776990970946.jpg,b47380dcdb2de33a,20260920
9,sheet_003.jpg,0,ok,1634,1776999946397.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1776999946397.jpg,beb7c42839398d85,20260920
10,sheet_003.jpg,1,ok,5109,1773718137623.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1773718137623.jpg,e76d5d2b9c358ea6,20260920
