id,check,priority,reason,filename,photo_path,pull_item,pull_nsu_unit,rawtick,raw_weight,dim,corrected_weight,snap_rule,stratum,seed,draw_tag
370,1,1,4B dual-ticked case,1777353538719.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777353538719.jpg,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,C1 dual-ticked,,calib_v1
377,1,1,4B dual-ticked case,1777349119131.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777349119131.jpg,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,C1 dual-ticked,,calib_v1
1195,1,1,4B dual-ticked case,1778120008596.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778120008596.jpg,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,C1 dual-ticked,,calib_v1
2050,1,1,4B dual-ticked case,1776910664430.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1776910664430.jpg,"Crackers, Cookies, Buiscuits, Chips/Curls",Bilog,,,,,,C1 dual-ticked,,calib_v1
2051,1,1,4B dual-ticked case,1776912496006.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1776912496006.jpg,"Crackers, Cookies, Buiscuits, Chips/Curls",Bilog,,,,,,C1 dual-ticked,,calib_v1
2266,1,1,4B dual-ticked case,1776391488326.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1776391488326.jpg,"Drinks at restaurant, hotel, caf̩, or kiosk",Pieces,,,,,,C1 dual-ticked,,calib_v1
2921,1,1,4B dual-ticked case,1776737593157.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1776737593157.jpg,"Drinks at restaurant, hotel, caf̩, or kiosk",Pieces,,,,,,C1 dual-ticked,,calib_v1
2922,1,1,4B dual-ticked case,1776651901494.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1776651901494.jpg,"Drinks at restaurant, hotel, caf̩, or kiosk",Pieces,,,,,,C1 dual-ticked,,calib_v1
4495,1,1,4B dual-ticked case,1776215627192.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1776215627192.jpg,"Liquor (e.g, whisky, coconut wine)",Lipid / Lapad,,,,,,C1 dual-ticked,,calib_v1
4940,1,1,4B dual-ticked case,1775610252743.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1775610252743.jpg,"Ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Gamay nga Cup,,,,,,C1 dual-ticked,,calib_v1
5029,1,1,4B dual-ticked case,1775787703757.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1775787703757.jpg,"Ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Bilog,,,,,,C1 dual-ticked,,calib_v1
5375,1,1,4B dual-ticked case,1774576272386.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1774576272386.jpg,"Ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Gamay nga Cup,,,,,,C1 dual-ticked,,calib_v1
8354,1,1,4B dual-ticked case,1775702195248.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1775702195248.jpg,"Drinks at restaurant, hotel, caf̩, or kiosk",Pieces,,,,,,C1 dual-ticked,,calib_v1
8837,1,1,4B dual-ticked case,1778290693824.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778290693824.jpg,"Ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Bilog,,,,,,C1 dual-ticked,,calib_v1
10028,1,1,4B dual-ticked case,1773721624084.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1773721624084.jpg,"Ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Bilog,,,,,,C1 dual-ticked,,calib_v1
10047,1,1,4B dual-ticked case,1773721978047.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1773721978047.jpg,"Ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Small cup,,,,,,C1 dual-ticked,,calib_v1
10165,1,1,4B dual-ticked case,1774497685599.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1774497685599.jpg,"Liquor (e.g, whisky, coconut wine)",Lipid / Lapad,,,,,,C1 dual-ticked,,calib_v1
10167,1,1,4B dual-ticked case,1774403002013.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1774403002013.jpg,"Liquor (e.g, whisky, coconut wine)",Lipid / Lapad,,,,,,C1 dual-ticked,,calib_v1
10714,1,1,4B dual-ticked case,1777604338634.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777604338634.jpg,"Ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Putos,,,,,,C1 dual-ticked,,calib_v1
11167,1,1,4B dual-ticked case,1776826496720.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1776826496720.jpg,"Ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Putos,,,,,,C1 dual-ticked,,calib_v1
763,1,1,"4A flat group: 3+ vendors, one value",1777598645411.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777598645411.jpg,"Liquor (e.g, whisky, coconut wine)",Lapad,,,,,,C1 flat-group rep,,calib_v1
769,1,1,"4A flat group: 3+ vendors, one value",1777601249544.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777601249544.jpg,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,C1 flat-group rep,,calib_v1
1184,1,1,"4A flat group: 3+ vendors, one value",1778034821033.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778034821033.jpg,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,C1 flat-group rep,,calib_v1
3479,1,1,"4A flat group: 3+ vendors, one value",1776910783435.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1776910783435.jpg,"Liquor (e.g, whisky, coconut wine)",Lipid / Lapad,,,,,,C1 flat-group rep,,calib_v1
3593,1,1,"4A flat group: 3+ vendors, one value",1778894594967.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778894594967.jpg,Loaf Bread,Dalagku nga Putos,,,,,,C1 flat-group rep,,calib_v1
4610,1,1,"4A flat group: 3+ vendors, one value",1776304644527.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1776304644527.jpg,"Liquor (e.g, whisky, coconut wine)",Lipid / Lapad,,,,,,C1 flat-group rep,,calib_v1
4881,1,1,"4A flat group: 3+ vendors, one value",1776045945900.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1776045945900.jpg,"Mineral or spring water, all drinking water sold in containers",Refilled,,,,,,C1 flat-group rep,,calib_v1
5305,1,1,"4A flat group: 3+ vendors, one value",1778545120418.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778545120418.jpg,"Preserved or Processed Meat (Tocino, Tapa, Longaniza, etc)",Putos,,,,,,C1 flat-group rep,,calib_v1
5730,1,1,"4A flat group: 3+ vendors, one value",1774578273239.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1774578273239.jpg,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,C1 flat-group rep,,calib_v1
5744,1,1,"4A flat group: 3+ vendors, one value",1774576416960.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1774576416960.jpg,"Preserved or Processed Meat (Tocino, Tapa, Longaniza, etc)",Putos,,,,,,C1 flat-group rep,,calib_v1
