id,check,tier,priority,reason,has_photo,filename,photo_path,obs_type,pull_province,pull_municipal_city,market_name,store_stall_name,vendor_id,pull_item,pull_nsu_unit,rawtick,raw_weight,dim,corrected_weight,snap_rule,flat_group,nobs,nven,is_rep,queue_flag,queue_tier
40,1,must,1,"4A flat group: 3+ vendors, one value",1,1778471382101.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778471382101.jpg,medium_size,AKLAN,ALTAVAS,Poblacion Altavas Talipapa,Murayan Corner,6VIPFDEN,"Liquor (e.g, whisky, coconut wine)",Lipid / Lapad,,,,,,17,3,3,1,,
43,1,must,1,4B dual-ticked case,1,1778468487334.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778468487334.jpg,municipality_median,AKLAN,ALTAVAS,Gen.Luna St.Poblacion Altavas Roadside,Altavas Sari Sari Store,7SAKMTHU,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,,,,,,
44,1,must,1,4B dual-ticked case,1,1778470575472.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778470575472.jpg,municipality_median,AKLAN,ALTAVAS,Poblacion Altavas Roadside,Gonzales Store,DOBJS7LZ,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,,,,,,
45,1,must,1,4B dual-ticked case,1,1778471435461.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778471435461.jpg,municipality_median,AKLAN,ALTAVAS,Poblacion Altavas Talipapa,Murayan Corner,G3JEYN17,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,,,,,,
46,1,must,1,4B dual-ticked case,1,1778472603675.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778472603675.jpg,municipality_median,AKLAN,ALTAVAS,Altavas Public Market,MJ Store,GHU5XB4P,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,,,,,,
47,1,must,1,"4A flat group: 3+ vendors, one value",1,1778472819537.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778472819537.jpg,large_size,AKLAN,ALTAVAS,Altavas Public Market,MJ Store,6FFCCIM3,Loaf Bread,Large,,,,,,18,4,4,1,,
54,1,must,1,"4A flat group: 3+ vendors, one value",1,1778468656686.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778468656686.jpg,medium_size,AKLAN,ALTAVAS,Poblacion Altavas Roadside,Altavas Sari Sari Store,267KBI1T,Loaf Bread,Medium,,,,,,19,4,4,1,,
141,1,must,1,"4A flat group: 3+ vendors, one value",1,1778201901035.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778201901035.jpg,medium_size,AKLAN,BANGA,Banga Public Market,Remelyn's Store,BV16TOKK,"Liquor (e.g, whisky, coconut wine)",Lapad,,,,,,36,6,6,1,,
147,1,must,1,"4A flat group: 3+ vendors, one value",1,1778201828553.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778201828553.jpg,large_size,AKLAN,BANGA,Banga Public Market,Remelyn's Store,2MW0IK32,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,37,7,7,1,,
251,1,must,1,"4A flat group: 3+ vendors, one value",1,1777690412955.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777690412955.jpg,medium_size,AKLAN,BATAN,"Os-rox Street, Batan",Abe's Store,5ZC6HA4L,"Liquor (e.g, whisky, coconut wine)",Lapad,,,,,,66,3,3,1,,
361,1,must,1,4B dual-ticked case,1,1777352194077.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777352194077.jpg,mp25_price,AKLAN,BURUANGA,Brgy.Tigum Buruanga Talipapa,Dak Dak Mini Store,3D5HHDRI,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,,,,,,
362,1,must,1,4B dual-ticked case,1,1777352359477.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777352359477.jpg,mp50_price,AKLAN,BURUANGA,Brgy.Tigum Buruanga Talipapa,Dak Dak Mini Store,3D5HHDRI,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,,,,,,
363,1,must,1,4B dual-ticked case,1,1777352442145.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777352442145.jpg,mp75_price,AKLAN,BURUANGA,Brgy.Tigum Buruanga Talipapa,Dak Dak Mini Store,3D5HHDRI,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,,,,,,
364,1,must,1,4B dual-ticked case,1,1777265473503.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777265473503.jpg,mp25_price,AKLAN,BURUANGA,Buruanga Public Market,Abby Variety Store,59EQHA1D,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,,,,,,
