id,check,tier,priority,reason,has_photo,filename,photo_path,obs_type,pull_province,pull_municipal_city,market_name,store_stall_name,vendor_id,pull_item,pull_nsu_unit,rawtick,raw_weight,dim,corrected_weight,snap_rule,flat_group,nobs,nven,is_rep,queue_flag,queue_tier,read_model,read_human,needs_reading
1,2,must,3,C2 magnitude only -- decimal moved,1,1778295171180.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778295171180.jpg,medium_size,AKLAN,ALTAVAS,Altavas Public Market,Anadhel Vegetable Stall,EG43T67F,Cabbage,Bilog,grams (g),.57999998,g,580,log10 median,,,,,,,0,0,1
5,2,must,3,C2 magnitude only -- decimal moved,1,1778292890840.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778292890840.jpg,medium_size,AKLAN,ALTAVAS,Altavas Public Market,Jocelyn Sari Sari Store,NOB23TYG,Cabbage,Bilog,grams (g),.755,g,755,log10 median,,,,,,,0,0,1
6,2,must,3,C2 magnitude only -- decimal moved,1,1778295456945.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778295456945.jpg,conventional_nsu,AKLAN,ALTAVAS,Altavas Public Market,Vic Vegetable Stall,C0CWNE7M,Camote tops,Bugkos,grams (g),.145,g,145,log10 median,,,,,,,0,0,1
7,2,must,3,C2 magnitude only -- decimal moved,1,1778294938685.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778294938685.jpg,conventional_nsu,AKLAN,ALTAVAS,Altavas Public Market,Anadhel Vegetable Stall,SEXJT1G0,Camote tops,Bugkos,grams (g),.13,g,130,log10 median,,,,,,,0,0,1
8,2,must,3,C2 magnitude only -- decimal moved,1,1778293018458.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778293018458.jpg,conventional_nsu,AKLAN,ALTAVAS,Altavas Public Market,Jocelyn Sari Sari Store,T26P9WHR,Camote tops,Bugkos,grams (g),.125,g,125,log10 median,,,,,,,0,0,1
9,2,must,3,C2 magnitude only -- decimal moved,1,1778295521311.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778295521311.jpg,medium_size,AKLAN,ALTAVAS,Altavas Public Market,Vic Vegetable Stall,0T9KHHCA,Camote tops,Bundle,grams (g),.8100000000000001,g,810,log10 median,,,,,,,0,0,1
11,2,must,3,C2 magnitude only -- decimal moved,1,1778293065183.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778293065183.jpg,medium_size,AKLAN,ALTAVAS,Altavas Public Market,Jocelyn Sari Sari Store,OXIX1GOX,Camote tops,Bundle,grams (g),.58999997,g,590,log10 median,,,,,,,0,0,1
12,2,must,3,C2 magnitude only -- decimal moved,1,1778292951682.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778292951682.jpg,small_size,AKLAN,ALTAVAS,Altavas Public Market,Jocelyn Sari Sari Store,2W62R7ZS,Carrot,Bilog,grams (g),.090000004,g,90,log10 median,,,,,,,0,0,1
13,2,must,3,C2 magnitude only -- decimal moved,1,1778292969948.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778292969948.jpg,medium_size,AKLAN,ALTAVAS,Altavas Public Market,Jocelyn Sari Sari Store,2W62R7ZS,Carrot,Bilog,grams (g),.18000001,g,180,log10 median,,,,,,,0,0,1
14,2,must,3,C2 magnitude only -- decimal moved,1,1778292531547.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778292531547.jpg,small_size,AKLAN,ALTAVAS,Altavas Public Market,Arnel Store,2ZFVEU39,Carrot,Bilog,grams (g),.090000004,g,90,log10 median,,,,,,,0,0,1
15,2,must,3,C2 magnitude only -- decimal moved,1,1778292547469.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778292547469.jpg,medium_size,AKLAN,ALTAVAS,Altavas Public Market,Arnel Store,2ZFVEU39,Carrot,Bilog,grams (g),.23,g,230,log10 median,,,,,,,0,0,1
16,2,must,3,C2 magnitude only -- decimal moved,1,1778292568459.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778292568459.jpg,large_size,AKLAN,ALTAVAS,Altavas Public Market,Arnel Store,2ZFVEU39,Carrot,Bilog,grams (g),.63,g,630,log10 median,,,,,,,0,0,1
17,2,must,3,C2 magnitude only -- decimal moved,1,1778295212989.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778295212989.jpg,small_size,AKLAN,ALTAVAS,Altavas Public Market,Anadhel Vegetable Stall,VA7YBFU9,Carrot,Bilog,grams (g),.125,g,125,log10 median,,,,,,,0,0,1
18,2,must,3,C2 magnitude only -- decimal moved,1,1778297854249.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778297854249.jpg,small_size,AKLAN,ALTAVAS,Altavas Public Market,Jindel Delantar Chicken Stall,7SKCJL2Y,Chicken,Binilog,grams (g),.38999999,g,390,log10 median,,,,,,,0,0,1
19,2,must,3,C2 magnitude only -- decimal moved,1,1778297424496.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778297424496.jpg,medium_size,AKLAN,ALTAVAS,Altavas Public Market,Jonard Processed Meat Stand,VN693IUL,Chicken,Binilog,grams (g),.5,g,500,log10 median,,,,,,,0,0,1
35,2,must,3,C2 magnitude only -- decimal moved,1,1778297064811.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778297064811.jpg,small_size,AKLAN,ALTAVAS,Altavas Public Market,Efren Fish Stand,50AQAGHS,Fresh Fish,Binilog,grams (g),.094999999,g,95,log10 median,,,,,,,0,0,1
36,2,must,3,C2 magnitude only -- decimal moved,1,1778298930683.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778298930683.jpg,small_size,AKLAN,ALTAVAS,Altavas Public Market,Mercedes Fish Stall,LR8M2IQQ,Fresh Fish,Binilog,grams (g),.23999999,g,240,log10 median,,,,,,,0,0,1
37,2,must,3,C2 magnitude only -- decimal moved,1,1778296827222.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778296827222.jpg,small_size,AKLAN,ALTAVAS,Altavas Public Market,Maribeth Fish Stand,Y5WFBW91,Fresh Fish,Binilog,grams (g),.094999999,g,95,log10 median,,,,,,,0,0,1
40,2,must,2,C2 dimension only -- tick overruled,1,1778471382101.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778471382101.jpg,medium_size,AKLAN,ALTAVAS,Poblacion Altavas Talipapa,Murayan Corner,6VIPFDEN,"Liquor (e.g, whisky, coconut wine)",Lipid / Lapad,grams (g),375,mL,375,log10 median,,,,,,,0,0,1
41,2,must,2,C2 dimension only -- tick overruled,1,1778469570765.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778469570765.jpg,medium_size,AKLAN,ALTAVAS,Gen.St.Poblacion Altavas Roadside,Czen Gaming and Cafe,VT42IAOO,"Liquor (e.g, whisky, coconut wine)",Lipid / Lapad,grams (g),375,mL,375,log10 median,,,,,,,0,0,1
42,2,must,2,C2 dimension only -- tick overruled,1,1778472655168.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778472655168.jpg,medium_size,AKLAN,ALTAVAS,Altavas Public Market,MJ Store,XD7YOLJL,"Liquor (e.g, whisky, coconut wine)",Lipid / Lapad,grams (g),375,mL,375,log10 median,,,,,,,0,0,1
44,2,must,2,C2 dimension only -- tick overruled,1,1778470575472.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778470575472.jpg,municipality_median,AKLAN,ALTAVAS,Poblacion Altavas Roadside,Gonzales Store,DOBJS7LZ,"Liquor (e.g, whisky, coconut wine)",Long-neck,grams (g),750,mL,750,log10 median,,,,,,,0,0,1
45,2,must,2,C2 dimension only -- tick overruled,1,1778471435461.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778471435461.jpg,municipality_median,AKLAN,ALTAVAS,Poblacion Altavas Talipapa,Murayan Corner,G3JEYN17,"Liquor (e.g, whisky, coconut wine)",Long-neck,grams (g),750,mL,750,log10 median,,,,,,,0,0,1
46,2,must,2,C2 dimension only -- tick overruled,1,1778472603675.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778472603675.jpg,municipality_median,AKLAN,ALTAVAS,Altavas Public Market,MJ Store,GHU5XB4P,"Liquor (e.g, whisky, coconut wine)",Long-neck,grams (g),750,mL,750,log10 median,,,,,,,0,0,1
58,2,must,3,C2 magnitude only -- decimal moved,1,1778470011633.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778470011633.jpg,small_size,AKLAN,ALTAVAS,Gen.Luna St.Poblacion Altavas Talipapa,Zonio Meat Shop,D52LQX3N,Pork,Slice,grams (g),.16,g,160,block governs,,,,,,,0,0,1
59,2,must,3,C2 magnitude only -- decimal moved,1,1778298981027.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778298981027.jpg,conventional_nsu,AKLAN,ALTAVAS,Altavas Public Market,Mercedes Fish Stall,3Q0DDF1E,"Prawns, Lobster, shrimp",Tumpok,grams (g),.18000001,g,180,log10 median,,,,,,,0,0,1
60,2,must,3,C2 magnitude only -- decimal moved,1,1778296610754.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778296610754.jpg,conventional_nsu,AKLAN,ALTAVAS,Altavas Public Market,Gina Fish Stand,N7Q4YMPG,"Prawns, Lobster, shrimp",Tumpok,grams (g),.13,g,130,log10 median,,,,,,,0,0,1
61,2,must,3,C2 magnitude only -- decimal moved,1,1778296878188.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778296878188.jpg,conventional_nsu,AKLAN,ALTAVAS,Altavas Public Market,Maribeth Fish Stand,QLZJDC75,"Prawns, Lobster, shrimp",Tumpok,grams (g),.13500001,g,135,log10 median,,,,,,,0,0,1
62,2,must,3,C2 magnitude only -- decimal moved,1,1778296289481.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778296289481.jpg,municipality_median,AKLAN,ALTAVAS,Altavas Public Market,TOCZ Store,H3945VYR,"Preserved or Processed Meat (Tocino, Tapa, Longaniza, etc)",Binilog,grams (g),.064999998,g,65,log10 median,,,,,,,0,0,1
63,2,must,3,C2 magnitude only -- decimal moved,1,1778297547324.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778297547324.jpg,municipality_median,AKLAN,ALTAVAS,Altavas Public Market,Jonard Processed Meat Stand,KZEV32OO,"Preserved or Processed Meat (Tocino, Tapa, Longaniza, etc)",Binilog,grams (g),.07,g,70,log10 median,,,,,,,0,0,1
64,2,must,3,C2 magnitude only -- decimal moved,1,1778297934439.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778297934439.jpg,municipality_median,AKLAN,ALTAVAS,Altavas Public Market,Jindel Delantar Chicken Stall,VMA9Y4L3,"Preserved or Processed Meat (Tocino, Tapa, Longaniza, etc)",Binilog,grams (g),.07,g,70,log10 median,,,,,,,0,0,1
71,2,must,3,C2 magnitude only -- decimal moved,1,1778207894293.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778207894293.jpg,small_size,AKLAN,BANGA,Libas Banga Talipapa,Dante Store,9A4Q1VUI,Cabbage,Binilog,grams (g),.5,g,500,log10 median,,,,,,,1,1,0
72,2,must,3,C2 magnitude only -- decimal moved,1,1778207913516.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778207913516.jpg,medium_size,AKLAN,BANGA,Libas Banga Talipapa,Dante Store,9A4Q1VUI,Cabbage,Binilog,grams (g),.70999998,g,710,log10 median,,,,,,,0,0,1
76,2,must,3,C2 magnitude only -- decimal moved,1,1778121004546.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778121004546.jpg,small_size,AKLAN,BANGA,Bacan Banga Talipapa,Ashlei Meat and Vegetable Trading,GX2FFSQG,Cabbage,Binilog,grams (g),.36000001,g,360,log10 median,,,,,,,0,0,1
77,2,must,3,C2 magnitude only -- decimal moved,1,1778121024706.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778121024706.jpg,medium_size,AKLAN,BANGA,Bacan Banga Talipapa,Ashlei Meat and Vegetable Trading,GX2FFSQG,Cabbage,Binilog,grams (g),.75999999,g,760,log10 median,,,,,,,0,0,1
78,2,must,3,C2 magnitude only -- decimal moved,1,1778117431003.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778117431003.jpg,small_size,AKLAN,BANGA,Banga Public Market,Rona Vegetable Store,MVTFUO0O,Cabbage,Binilog,grams (g),.27500001,g,275,log10 median,,,,,,,0,0,1
79,2,must,3,C2 magnitude only -- decimal moved,1,1778117455605.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778117455605.jpg,medium_size,AKLAN,BANGA,Banga Public Market,Rona Vegetable Store,MVTFUO0O,Cabbage,Binilog,grams (g),.79500002,g,795,log10 median,,,,,,,0,0,1
82,2,must,3,C2 magnitude only -- decimal moved,1,1778206201155.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778206201155.jpg,small_size,AKLAN,BANGA,Brgy.Tabayon Banga Roadside,Dionesio Store,T3MJNM8T,Cabbage,Binilog,grams (g),.33000001,g,330,log10 median,,,,,,,0,0,1
83,2,must,3,C2 magnitude only -- decimal moved,1,1778206241900.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778206241900.jpg,medium_size,AKLAN,BANGA,Brgy.Tabayon Banga Roadside,Dionesio Store,T3MJNM8T,Cabbage,Binilog,grams (g),.85500002,g,855,log10 median,,,,,,,0,0,1
84,2,must,3,C2 magnitude only -- decimal moved,1,1778121779159.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778121779159.jpg,small_size,AKLAN,BANGA,Libas Banga Talipapa,Kim Fruit and Vegetable Store,WE4LTI5N,Cabbage,Binilog,grams (g),.47499999,g,475,log10 median,,,,,,,0,0,1
