province,cons_name,item_group
AKLAN,Beef,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)"
AKLAN,Beer,02.1.3.0 - Beer (ND)
AKLAN,Cabbage,"01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)"
AKLAN,Camote,"01.1.7.5 - Tubers, plantains and cooking bananas (ND)"
AKLAN,Camote tops,"01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)"
AKLAN,Carrot,"01.1.7.4 - Other vegetables, fresh or chilled (ND)"
AKLAN,Chicken,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)"
AKLAN,"Crackers, Cookies, Buiscuits, Chips/Curls",01.1.1.3 - Bread and bakery products (ND)
AKLAN,"Drinks at restaurant, hotel, café, or kiosk","11.1.1 - Restaurants, café and the like (S)"
AKLAN,Fresh Fish,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)"
AKLAN,"Ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)","01.1.8.6 - Ice, ice cream and sorbet (ND)"
AKLAN,"Liquor (e.g, whisky, coconut wine)",02.1.1.0 - Spirits and liquors (ND)
AKLAN,Loaf Bread,01.1.1.3 - Bread and bakery products (ND)
AKLAN,Mango,01.1.6 - Fruits and nuts (ND)
AKLAN,"Mineral or spring water, all drinking water sold in containers",01.2.5.0 - Water (ND)
AKLAN,Pork,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)"
AKLAN,"Prawns, Lobster, shrimp","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)"
AKLAN,"Preserved or Processed Meat (Tocino, Tapa, Longaniza, etc)",01.1.2 - Meat and other parts of slaughtered land animals (ND)
AKLAN,Rice,01.1.1.12 - Rice
ANTIQUE,Beef,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)"
ANTIQUE,Beer,02.1.3.0 - Beer (ND)
ANTIQUE,Cabbage,"01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)"
ANTIQUE,Camote,"01.1.7.5 - Tubers, plantains and cooking bananas (ND)"
ANTIQUE,Camote tops,"01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)"
ANTIQUE,Carrot,"01.1.7.4 - Other vegetables, fresh or chilled (ND)"
ANTIQUE,Chicken,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)"
ANTIQUE,"Crackers, Cookies, Buiscuits, Chips/Curls",01.1.1.3 - Bread and bakery products (ND)
