geolocation,commodity,year,month,date,cpi
Aklan,01.1.1.12 - Rice,2023,12,2023-12-01,100.4923286732160
Aklan,01.1.1.12 - Rice,2024,1,2024-01-01,106.5339593563260
Aklan,01.1.1.12 - Rice,2024,2,2024-02-01,105.7421398774080
Aklan,01.1.1.12 - Rice,2024,3,2024-03-01,108.2516156244760
Aklan,01.1.1.12 - Rice,2024,4,2024-04-01,117.3502757756370
Aklan,01.1.1.12 - Rice,2024,5,2024-05-01,119.5245862653560
Aklan,01.1.1.12 - Rice,2024,6,2024-06-01,120.0541305564860
Aklan,01.1.1.12 - Rice,2024,7,2024-07-01,119.5008887435940
Aklan,01.1.1.12 - Rice,2024,8,2024-08-01,116.9500882049420
Aklan,01.1.1.12 - Rice,2024,9,2024-09-01,116.6778843716780
Aklan,01.1.1.12 - Rice,2024,10,2024-10-01,114.3240584135000
Aklan,01.1.1.12 - Rice,2024,11,2024-11-01,103.7626174305390
Aklan,01.1.1.12 - Rice,2024,12,2024-12-01,100.3244937340120
Aklan,01.1.1.12 - Rice,2025,1,2025-01-01,102.9503939382190
Aklan,01.1.1.12 - Rice,2025,2,2025-02-01,99.4687598223931
Aklan,01.1.1.12 - Rice,2025,3,2025-03-01,96.5939667295406
Aklan,01.1.1.12 - Rice,2025,4,2025-04-01,95.3848478938861
Aklan,01.1.1.12 - Rice,2025,5,2025-05-01,90.1405474845111
Aklan,01.1.1.12 - Rice,2025,6,2025-06-01,92.4325276758227
Aklan,01.1.1.12 - Rice,2025,7,2025-07-01,89.1078629332718
Aklan,01.1.1.12 - Rice,2025,8,2025-08-01,86.3598726559694
Aklan,01.1.1.12 - Rice,2025,9,2025-09-01,84.6564533434418
Aklan,01.1.1.12 - Rice,2025,10,2025-10-01,83.1115037643101
Aklan,01.1.1.12 - Rice,2025,11,2025-11-01,84.2525947848259
Aklan,01.1.1.12 - Rice,2025,12,2025-12-01,83.6916791585613
Aklan,01.1.1.12 - Rice,2026,1,2026-01-01,84.7907940200685
Aklan,01.1.1.12 - Rice,2026,2,2026-02-01,92.7137809629953
Aklan,01.1.1.12 - Rice,2026,3,2026-03-01,97.9783433798907
Aklan,01.1.1.12 - Rice,2026,4,2026-04-01,111.3847031734690
Aklan,01.1.1.12 - Rice,2026,5,2026-05-01,113.4779988336680
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2023,12,2023-12-01,122.4452233513990
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2024,1,2024-01-01,122.3790095477000
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2024,2,2024-02-01,122.5055326181640
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2024,3,2024-03-01,122.5072231101690
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2024,4,2024-04-01,122.5798009411450
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2024,5,2024-05-01,122.6579825061630
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2024,6,2024-06-01,122.6954728861400
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2024,7,2024-07-01,122.7523062782400
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2024,8,2024-08-01,122.8377899162810
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2024,9,2024-09-01,122.8464217217020
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2024,10,2024-10-01,122.8519045154920
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2024,11,2024-11-01,122.8497828551470
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2024,12,2024-12-01,122.8700562809340
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2025,1,2025-01-01,122.8745485471360
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2025,2,2025-02-01,122.8872226430240
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2025,3,2025-03-01,123.3334069274420
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2025,4,2025-04-01,123.3478697025990
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2025,5,2025-05-01,123.3470676795850
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2025,6,2025-06-01,123.3721664742790
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2025,7,2025-07-01,123.5685422036870
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2025,8,2025-08-01,123.9266573195340
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2025,9,2025-09-01,124.7318540499550
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2025,10,2025-10-01,124.7746143773900
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2025,11,2025-11-01,124.7746143773900
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2025,12,2025-12-01,124.7807519783080
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2026,1,2026-01-01,126.3732227638640
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2026,2,2026-02-01,127.0165484160210
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2026,3,2026-03-01,127.0184764830770
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2026,4,2026-04-01,130.9010781362070
Aklan,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",2026,5,2026-05-01,131.0902053550910
Aklan,01.1.1.3 - Bread and bakery products (ND),2023,12,2023-12-01,121.1899409913540
Aklan,01.1.1.3 - Bread and bakery products (ND),2024,1,2024-01-01,121.0328697323180
Aklan,01.1.1.3 - Bread and bakery products (ND),2024,2,2024-02-01,121.1874592542640
Aklan,01.1.1.3 - Bread and bakery products (ND),2024,3,2024-03-01,121.1687996337300
Aklan,01.1.1.3 - Bread and bakery products (ND),2024,4,2024-04-01,121.1687996337300
Aklan,01.1.1.3 - Bread and bakery products (ND),2024,5,2024-05-01,121.2736177994520
Aklan,01.1.1.3 - Bread and bakery products (ND),2024,6,2024-06-01,121.2624424059590
