pull_province,pull_item,pull_municipal_city,harmonized_nsu_unit,p_g,conv_rank,corrected_unit,d_reclassified,k_use,n_points,d_point_usable,unusable_why,w_g,n_g,n_disputed,n_flagged,n_uncertain,group_id,n_filled,n_empty,branch,w_use,v_use,hetero_code,n_cpi_vals,psps_month,infl_factor,share_uncertain
AKLAN,cabbage,ALTAVAS,pieces or units,60,1,g,0,1,1,1,,695,5,0,0,0,1,1,0,size-based,695,.0863309352517986,,,,,0
AKLAN,camote tops,ALTAVAS,bugkos,30,1,g,1,1,1,1,,130,3,0,0,0,1,1,0,size-based,130,.2307692307692308,,,,,0
AKLAN,camote tops,ALTAVAS,bundle,20,1,g,0,1,1,1,,810,3,2,2,3,1,1,0,size-based,810,.0246913580246914,,,,,1
AKLAN,carrot,ALTAVAS,pieces or units,25,1,g,0,1,1,1,,152.5,6,1,0,1,1,1,0,size-based,152.5,.1639344262295082,,,,,.1666666666666667
AKLAN,chicken,ALTAVAS,pieces or units,185,1,g,0,3,3,1,,390,1,0,0,0,1,2,1,size-based,390,.4743589743589743,,,,,0
AKLAN,chicken,ALTAVAS,pieces or units,300,2,g,0,3,3,1,,500,1,0,1,1,2,2,1,size-based,500,.6,,,,,1
AKLAN,chicken,ALTAVAS,pieces or units,375,3,g,0,3,3,0,this part of the cut came back empty,,,,,,,,,size-based,,,,,,,
AKLAN,chicken,ALTAVAS,whole (chicken),250,1,g,0,3,3,1,,1065,1,0,0,0,1,2,1,size-based,1065,.2347417840375587,,,,,0
AKLAN,chicken,ALTAVAS,whole (chicken),280,2,g,0,3,3,1,,1650,1,0,0,0,2,2,1,size-based,1650,.1696969696969697,,,,,0
AKLAN,chicken,ALTAVAS,whole (chicken),425,3,g,0,3,3,0,this part of the cut came back empty,,,,,,,,,size-based,,,,,,,
AKLAN,"crackers, cookies, buiscuits, chips/curls",ALTAVAS,pieces or units,40,1,g,0,1,1,1,,25.5,8,0,1,1,1,1,0,size-based,25.5,1.568627450980392,,,,,.125
AKLAN,"crackers, cookies, buiscuits, chips/curls",ALTAVAS,putos,64.5,,g,0,,1,1,,270,5,0,2,2,1,,,price-quantity,288.6768145778939,.2234332538770477,municipality_median,1,2024m1,1.069173387325533,.4
AKLAN,"crackers, cookies, buiscuits, chips/curls",ALTAVAS,putos,64.5,,g,0,,1,1,,270,5,0,2,2,1,,,price-quantity,288.3085601030905,.223718643584279,municipality_median,1,2024m2,1.067809481863298,.4
AKLAN,"crackers, cookies, buiscuits, chips/curls",ALTAVAS,putos,64.5,,g,0,,1,1,,270,5,0,2,2,1,,,price-quantity,288.3529631994082,.2236841934424497,municipality_median,1,2024m3,1.067973937775586,.4
AKLAN,"crackers, cookies, buiscuits, chips/curls",ALTAVAS,putos,64.5,,g,0,,1,1,,270,5,0,2,2,1,,,price-quantity,288.3529631994082,.2236841934424497,municipality_median,1,2024m4,1.067973937775586,.4
AKLAN,"crackers, cookies, buiscuits, chips/curls",ALTAVAS,putos,64.5,,g,0,,1,1,,270,5,0,2,2,1,,,price-quantity,288.1037315036586,.2238776973257666,municipality_median,1,2024m5,1.067050857420958,.4
AKLAN,fresh fish,ALTAVAS,pieces or units,56.375,1,g,0,2,2,1,,95,2,0,2,2,1,2,0,size-based,95,.593421052631579,,,,,1
AKLAN,fresh fish,ALTAVAS,pieces or units,92,2,g,0,2,2,1,,240,1,0,0,0,2,2,0,size-based,240,.3833333333333334,,,,,0
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ALTAVAS,putos,20,1,g,0,1,1,1,,55,2,0,0,0,1,1,0,size-based,55,.3636363636363636,,,,,0
AKLAN,"liquor (e.g, whisky, coconut wine)",ALTAVAS,lipid/lapad,75,1,mL,0,1,1,1,,375,3,0,0,0,1,1,0,size-based,375,.2,,,,,0
AKLAN,"liquor (e.g, whisky, coconut wine)",ALTAVAS,long-neck,140,,mL,0,,1,1,,750,4,0,0,0,1,,,price-quantity,776.9792313798329,.1801849963883524,municipality_median,1,2024m1,1.035972308506444,0
AKLAN,"liquor (e.g, whisky, coconut wine)",ALTAVAS,long-neck,140,,mL,0,,1,1,,750,4,0,0,0,1,,,price-quantity,776.9792313798329,.1801849963883524,municipality_median,1,2024m2,1.035972308506444,0
AKLAN,"liquor (e.g, whisky, coconut wine)",ALTAVAS,long-neck,140,,mL,0,,1,1,,750,4,0,0,0,1,,,price-quantity,775.9097781069056,.180433349276223,municipality_median,1,2024m3,1.034546370809208,0
AKLAN,"liquor (e.g, whisky, coconut wine)",ALTAVAS,long-neck,140,,mL,0,,1,1,,750,4,0,0,0,1,,,price-quantity,775.9097781069056,.180433349276223,municipality_median,1,2024m4,1.034546370809208,0
AKLAN,"liquor (e.g, whisky, coconut wine)",ALTAVAS,long-neck,140,,mL,0,,1,1,,750,4,0,0,0,1,,,price-quantity,775.9097781069056,.180433349276223,municipality_median,1,2024m5,1.034546370809208,0
AKLAN,loaf bread,ALTAVAS,large packs,79,1,g,0,1,1,1,,640,4,0,0,0,1,1,0,size-based,640,.1234375,,,,,0
AKLAN,loaf bread,ALTAVAS,medium packs,65,1,g,0,1,1,1,,450,4,0,0,0,1,1,0,size-based,450,.1444444444444444,,,,,0
AKLAN,loaf bread,ALTAVAS,small packs,52.5,1,g,0,1,1,1,,360,3,0,0,0,1,1,0,size-based,360,.1458333333333333,,,,,0
AKLAN,pork,ALTAVAS,slice,20,1,g,0,1,1,1,,160,1,0,1,1,1,1,0,size-based,160,.125,,,,,1
