hh_row,pull_province,pull_municipal_city,pull_item,pull_nsu_unit,harmonized_nsu_unit_before,q_h,p_h,cf_h_before,grams_h_before,n_g_used_before,harmonized_nsu_unit_after,cf_h_after,grams_h_after,n_g_used_after,outcome
210,ILOILO,CABATUAN,"crackers, cookies, buiscuits, chips/curls",can o lata,can o lata,1.0,243.0,,,,cans,,,,grams changed
979,ILOILO,OTON,rice,"rice cooker cup, small","rice cooker cup, small",42.0,4.761904761904762,,,,small rice cooker cup,,,,grams changed
2621,ILOILO,LAMBUNAO,"liquor (e.g, whisky, coconut wine)",baso,baso,1.0,5.0,,,,glass,,,,grams changed
2741,CAPIZ,PANAY,loaf bread,piece,piece,35.0,2.142857142857143,,,,pieces or units,,,,grams changed
4397,ANTIQUE,SIBALOM,"liquor (e.g, whisky, coconut wine)",boll,boll,1.0,20.0,,,,ball (tuba),,,,grams changed
13022,CAPIZ,PONTEVEDRA,"prawns, lobster, shrimp",1 k caltex(kabo),1 k caltex(kabo),1.0,170.0,,,,caltex,,,,grams changed
18901,CAPIZ,PILAR,cabbage,mix vegetables (per tumbok),mix vegetables (per tumbok),1.0,20.0,,,,mix vegetables (per tumpok),,,,grams changed
19716,CAPIZ,PILAR,loaf bread,piece,piece,16.0,7.0,,,,pieces or units,,,,grams changed
26814,ANTIQUE,HAMTIC,"crackers, cookies, buiscuits, chips/curls",balde,balde,1.0,335.0,1400.0,1400.0,1.0,bucket,1400.0,1400.0,1.0,relabelled only
27252,CAPIZ,PANAY,loaf bread,per piece,per piece,50.0,5.0,,,,pieces or units,,,,grams changed
30441,ILOILO,SAN DIONISIO,cabbage,sliced,sliced,1.0,20.0,65.0,65.0,2.0,slice,65.0,65.0,2.0,relabelled only
30442,ILOILO,SAN DIONISIO,carrot,sliced,sliced,1.0,20.0,,,,slice,,,,grams changed
33459,ILOILO,ALIMODIAN,chicken,patupong,patupong,1.0,150.0,,,,patupa,935.0,935.0,3.0,newly converted
35273,CAPIZ,MA-AYON,chicken,1order,1order,1.0,70.0,,,,1 order,,,,grams changed
36881,CAPIZ,JAMINDAN,loaf bread,pieces,pieces,5.0,4.0,,,,pieces or units,,,,grams changed
40200,ANTIQUE,SIBALOM,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",apa,apa,3.0,10.0,,,,cone,110.0,330.0,25.0,newly converted
49780,ANTIQUE,BELISON,"liquor (e.g, whisky, coconut wine)",jr,jr,1.0,55.0,,,,junior lapad,250.0,250.0,9.0,newly converted
50019,CAPIZ,MAMBUSAO,"crackers, cookies, buiscuits, chips/curls",balde,balde,1.0,364.0,1712.3987970955172,1712.3987970955172,1.0,bucket,1712.3987970955172,1712.3987970955172,1.0,relabelled only
57383,ILOILO,DUEAS,"crackers, cookies, buiscuits, chips/curls",balde,balde,1.0,369.0,1500.0,1500.0,3.0,bucket,1500.0,1500.0,3.0,relabelled only
62654,ANTIQUE,BELISON,"liquor (e.g, whisky, coconut wine)",bul,bul,7.0,30.0,,,,ball (tuba),,,,grams changed
63465,ILOILO,LEMERY,cabbage,buskos,buskos,1.0,20.0,,,,bugkos,,,,grams changed
67125,ILOILO,ALIMODIAN,"crackers, cookies, buiscuits, chips/curls",tupper ware,tupper ware,1.0,200.0,,,,tupperware,,,,grams changed
69100,CAPIZ,MAMBUSAO,loaf bread,pieces,pieces,20.0,5.0,,,,pieces or units,,,,grams changed
69174,CAPIZ,IVISAN,"prawns, lobster, shrimp",1 pc. prawn,1 pc. prawn,1.0,50.0,,,,pieces or units,15.0,15.0,4.0,newly converted
69694,ILOILO,OTON,rice,rice cooker cup (small),rice cooker cup (small),63.0,3.1746031746031744,,,,small rice cooker cup,,,,grams changed
70317,ILOILO,DUEAS,chicken,patopung,patopung,1.0,147.0,,,,patupa,935.0,935.0,3.0,newly converted
71758,CAPIZ,SIGMA,carrot,mix slice of carrot,mix slice of carrot,1.0,20.0,,,,putos (mix vegetable),152.5,152.5,16.0,newly converted
72894,ANTIQUE,HAMTIC,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",cone ( dirty ice cream ) 10 pesos per cone,cone ( dirty ice cream ) 10 pesos per cone,5.0,10.0,,,,cone,198.78667654089134,993.9333827044567,2.0,newly converted
74141,ILOILO,MAASIN,loaf bread,pieces,pieces,5.0,4.0,,,,pieces or units,,,,grams changed
82544,ILOILO,MAASIN,loaf bread,pieces,pieces,30.0,5.0,,,,pieces or units,,,,grams changed
83188,CAPIZ,MAMBUSAO,loaf bread,pieces,pieces,30.0,2.0,,,,pieces or units,,,,grams changed
84090,ILOILO,IGBARAS,"liquor (e.g, whisky, coconut wine)",glass/shots,glass/shots,2.0,5.0,,,,glass,,,,grams changed
84315,ANTIQUE,PANDAN,"liquor (e.g, whisky, coconut wine)",baso,baso,3.0,6.666666666666667,250.0,750.0,1.0,glass,250.0,750.0,1.0,relabelled only
84719,ILOILO,CABATUAN,pork,pcs,pcs,1.0,80.0,,,,pieces or units,244.32659206330993,244.32659206330993,4.0,newly converted
