province,municipality,item,harmonized_nsu_unit,item_weighed_in_this_municipality,n_weighings_of_item_here,other_units_weighed_here,this_unit_weighed_anywhere
AKLAN,MALINAO,loaf bread,100pcs of pandesal,1,13,large packs | medium packs | small packs,0
ANTIQUE,BELISON,"liquor (e.g, whisky, coconut wine)",bul,1,18,gin | lipid/lapad | long-neck,0
ANTIQUE,BELISON,"liquor (e.g, whisky, coconut wine)",jr,1,18,gin | lipid/lapad | long-neck,0
ANTIQUE,HAMTIC,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",cone ( dirty ice cream ) 10 pesos per cone,1,12,cone | pieces or units | putos | small cup,0
ANTIQUE,HAMTIC,"mineral or spring water, all drinking water sold in containers",tab,1,5,bottle 500ml,0
ANTIQUE,PANDAN,beef,patupa,0,0,,0
ANTIQUE,PANDAN,pork,pieces barbeque,0,0,,0
ANTIQUE,SAN REMIGIO,"liquor (e.g, whisky, coconut wine)",ball (tuba),1,16,lipid/lapad | long-neck,0
ANTIQUE,SAN REMIGIO,"liquor (e.g, whisky, coconut wine)",glass,1,16,lipid/lapad | long-neck,0
ANTIQUE,SIBALOM,carrot,tumpok,1,10,pieces or units,0
ANTIQUE,SIBALOM,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",apa,1,14,pieces or units | putos | small cup,0
ANTIQUE,SIBALOM,"liquor (e.g, whisky, coconut wine)",14 tasa,1,18,lipid/lapad | long-neck,0
ANTIQUE,SIBALOM,"liquor (e.g, whisky, coconut wine)",7 ball,1,18,lipid/lapad | long-neck,0
ANTIQUE,SIBALOM,"liquor (e.g, whisky, coconut wine)",boll,1,18,lipid/lapad | long-neck,0
ANTIQUE,SIBALOM,"liquor (e.g, whisky, coconut wine)",coconut wine,1,18,lipid/lapad | long-neck,0
ANTIQUE,SIBALOM,"liquor (e.g, whisky, coconut wine)",takal ng tuba,1,18,lipid/lapad | long-neck,0
ANTIQUE,VALDERRAMA,"prawns, lobster, shrimp",plastic,0,0,,0
CAPIZ,IVISAN,"crackers, cookies, buiscuits, chips/curls",large packs,1,5,pieces or units | putos,0
CAPIZ,IVISAN,"prawns, lobster, shrimp",1 pc. prawn,1,3,tumpok,0
CAPIZ,JAMINDAN,camote tops,cassava leaves,1,2,bugkos | bundle,0
CAPIZ,JAMINDAN,loaf bread,pieces,1,4,individual | large packs | medium packs | small packs,0
CAPIZ,MA-AYON,camote,small size plastic,1,3,bilog,0
CAPIZ,MA-AYON,chicken,1order,1,7,pack | whole (chicken),0
CAPIZ,MA-AYON,chicken,tingi tingi,1,7,pack | whole (chicken),0
