id,pull_province,pull_municipal_city,pull_item,harmonized_nsu_unit,weight,unit,w1,w3,ratio,review_step1,cell_med,cell_n
9781.0,ILOILO,SARA,fresh fish,pack,0.435,2,4.0,435.0,108.75,1,,
5337.0,ILOILO,ANILAO,fresh fish,pack,0.43,2,4.0,430.0,107.5,1,,
5773.0,ILOILO,BAROTAC VIEJO,fresh fish,tumpok,535.0,2,5.0,535.0,107.0,1,,
5770.0,ILOILO,BAROTAC VIEJO,fresh fish,tumpok,745.0,2,7.0,745.0,106.42857142857143,1,,
6583.0,ILOILO,CONCEPCION,fresh fish,tumpok,425.0,2,4.0,425.0,106.25,1,,
9776.0,ILOILO,SARA,fresh fish,pack,0.53,2,5.0,530.0,106.0,1,,
5336.0,ILOILO,ANILAO,fresh fish,pack,0.635,2,6.0,635.0,105.83333333333333,1,,
6578.0,ILOILO,CONCEPCION,fresh fish,tumpok,630.0,2,6.0,630.0,105.0,1,,
2684.0,ANTIQUE,PATNONGON,fresh fish,tumpok,0.525,2,5.0,525.0,105.0,1,,
9043.0,ILOILO,SAN ENRIQUE,fresh fish,pack,0.63,2,6.0,630.0,105.0,1,,
5691.0,ILOILO,BAROTAC NUEVO,fresh fish,pack,725.0,2,7.0,725.0,103.57142857142857,1,,
5070.0,ILOILO,AJUY,fresh fish,pack,620.0,2,6.0,620.0,103.33333333333333,1,,
6577.0,ILOILO,CONCEPCION,fresh fish,tumpok,1.445,1,14.0,1445.0,103.21428571428571,1,,
6574.0,ILOILO,CONCEPCION,fresh fish,tumpok,1.03,1,10.0,1030.0,103.0,1,,
6575.0,ILOILO,CONCEPCION,fresh fish,tumpok,610.0,2,6.0,610.0,101.66666666666667,1,,
5774.0,ILOILO,BAROTAC VIEJO,fresh fish,tumpok,1.015,1,10.0,1015.0,101.5,1,,
6453.0,ILOILO,CARLES,fresh fish,pack,1.015,1,10.0,1015.0,101.5,1,,
6576.0,ILOILO,CONCEPCION,fresh fish,tumpok,505.0,2,5.0,505.0,101.0,1,,
6581.0,ILOILO,CONCEPCION,fresh fish,tumpok,805.0,2,8.0,805.0,100.625,1,,
5075.0,ILOILO,AJUY,fresh fish,tumpok,1.0,1,10.0,1000.0,100.0,1,,
6585.0,ILOILO,CONCEPCION,fresh fish,tumpok,800.0,2,8.0,800.0,100.0,1,,
4333.0,CAPIZ,PANAY,"prawns, lobster, shrimp",cup,5.0,2,50.0,5000.0,100.0,0,90.0,1.0
5775.0,ILOILO,BAROTAC VIEJO,fresh fish,tumpok,1.395,1,14.0,1395.0,99.64285714285714,1,,
5618.0,ILOILO,BANATE,fresh fish,pack,895.0,2,9.0,895.0,99.44444444444444,1,,
5616.0,ILOILO,BANATE,fresh fish,pack,795.0,2,8.0,795.0,99.375,1,,
5077.0,ILOILO,AJUY,fresh fish,tumpok,695.0,2,7.0,695.0,99.28571428571429,1,,
6584.0,ILOILO,CONCEPCION,fresh fish,tumpok,985.0,2,10.0,985.0,98.5,1,,
4903.0,CAPIZ,SIGMA,fresh fish,pack,0.885,2,9.0,885.0,98.33333333333333,1,,
5080.0,ILOILO,AJUY,fresh fish,tumpok,1.08,1,11.0,1080.0,98.18181818181819,1,,
5615.0,ILOILO,BANATE,fresh fish,pack,880.0,2,9.0,880.0,97.77777777777777,1,,
6579.0,ILOILO,CONCEPCION,fresh fish,tumpok,975.0,2,10.0,975.0,97.5,1,,
3802.0,CAPIZ,DUMARAO,fresh fish,pack,780.0,2,8.0,780.0,97.5,1,,
5338.0,ILOILO,ANILAO,fresh fish,pack,0.485,2,5.0,485.0,97.0,1,,
6452.0,ILOILO,CARLES,fresh fish,pack,0.775,2,8.0,775.0,96.875,1,,
4901.0,CAPIZ,SIGMA,fresh fish,pack,580.0,2,6.0,580.0,96.66666666666667,1,,
5614.0,ILOILO,BANATE,fresh fish,pack,675.0,2,7.0,675.0,96.42857142857143,1,,
7821.0,ILOILO,LEMERY,fresh fish,pack,0.77,2,8.0,770.0,96.25,1,,
5771.0,ILOILO,BAROTAC VIEJO,fresh fish,tumpok,1.055,1,11.0,1055.0,95.9090909090909,1,,
9777.0,ILOILO,SARA,fresh fish,pack,0.575,2,6.0,575.0,95.83333333333333,1,,
9778.0,ILOILO,SARA,fresh fish,pack,0.575,2,6.0,575.0,95.83333333333333,1,,
6454.0,ILOILO,CARLES,fresh fish,pack,0.765,2,8.0,765.0,95.625,1,,
4587.0,CAPIZ,PILAR,fresh fish,pinutos / plastic,0.475,2,5.0,475.0,95.0,1,,
9782.0,ILOILO,SARA,fresh fish,pack,0.665,2,7.0,665.0,95.0,1,,
5079.0,ILOILO,AJUY,fresh fish,tumpok,475.0,2,5.0,475.0,95.0,1,,
5772.0,ILOILO,BAROTAC VIEJO,fresh fish,tumpok,750.0,2,8.0,750.0,93.75,1,,
6580.0,ILOILO,CONCEPCION,fresh fish,tumpok,750.0,2,8.0,750.0,93.75,1,,
5078.0,ILOILO,AJUY,fresh fish,tumpok,560.0,2,6.0,560.0,93.33333333333333,1,,
7820.0,ILOILO,LEMERY,fresh fish,pack,0.466,2,5.0,466.0,93.2,1,,
5617.0,ILOILO,BANATE,fresh fish,pack,0.455,2,5.0,455.0,91.0,1,,
5066.0,ILOILO,AJUY,"crackers, cookies, buiscuits, chips/curls",pieces or units,0.095,2,9.0,95.0,10.555555555555555,1,31.0,453.0
7814.0,ILOILO,LEMERY,"crackers, cookies, buiscuits, chips/curls",pieces or units,0.105,2,10.0,105.0,10.5,1,31.0,453.0
5401.0,ILOILO,BADIANGAN,camote,bilog,0.255,2,25.0,255.0,10.2,1,125.0,413.0
5403.0,ILOILO,BADIANGAN,camote,bilog,0.255,2,25.0,255.0,10.2,1,125.0,413.0
8408.0,ILOILO,NEW LUCENA,camote,bilog,0.265,2,26.0,265.0,10.192307692307692,1,125.0,413.0
4381.0,CAPIZ,PANITAN,camote,bilog,0.265,2,26.0,265.0,10.192307692307692,1,125.0,413.0
9007.0,ILOILO,SAN ENRIQUE,camote,bilog,0.265,2,26.0,265.0,10.192307692307692,1,125.0,413.0
7574.0,ILOILO,LAMBUNAO,camote,bilog,0.285,2,28.0,285.0,10.178571428571429,1,125.0,413.0
2615.0,ANTIQUE,PATNONGON,camote,bilog,0.295,2,29.0,295.0,10.172413793103448,1,125.0,413.0
2624.0,ANTIQUE,PATNONGON,camote,bilog,0.325,2,32.0,325.0,10.15625,1,125.0,413.0
4585.0,CAPIZ,PILAR,fresh fish,pinutos / plastic,0.345,2,34.0,345.0,10.147058823529411,1,,
