pull_province,pull_municipal_city,pull_item,harmonized_nsu_unit,corrected_unit,cf_blind,fallback_level,n_g_used,d_thin,d_unconvertible
AKLAN,ALTAVAS,cabbage,pieces or units,g,695,cell pooled across sizes,5,0,0
AKLAN,ALTAVAS,camote tops,bugkos,g,130,cell pooled across sizes,3,0,0
AKLAN,ALTAVAS,camote tops,bundle,g,810,cell pooled across sizes,3,0,0
AKLAN,ALTAVAS,carrot,pieces or units,g,152.5,cell pooled across sizes,6,0,0
AKLAN,ALTAVAS,chicken,pieces or units,g,390,province x item x unit,45,0,0
AKLAN,ALTAVAS,chicken,whole (chicken),g,1265,province x item x unit,83,0,0
AKLAN,ALTAVAS,"crackers, cookies, buiscuits, chips/curls",pieces or units,g,25.5,cell pooled across sizes,8,0,0
AKLAN,ALTAVAS,"crackers, cookies, buiscuits, chips/curls",putos,g,270,cell pooled across sizes,5,0,0
AKLAN,ALTAVAS,fresh fish,pieces or units,g,95,cell pooled across sizes,3,0,0
AKLAN,ALTAVAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,g,55,province x item x unit,7,0,0
AKLAN,ALTAVAS,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,cell pooled across sizes,3,0,0
AKLAN,ALTAVAS,"liquor (e.g, whisky, coconut wine)",long-neck,mL,750,cell pooled across sizes,4,0,0
AKLAN,ALTAVAS,loaf bread,large packs,g,640,cell pooled across sizes,4,0,0
AKLAN,ALTAVAS,loaf bread,medium packs,g,450,cell pooled across sizes,4,0,0
AKLAN,ALTAVAS,loaf bread,small packs,g,360,cell pooled across sizes,3,0,0
AKLAN,ALTAVAS,pork,slice,g,425,item x unit (regional),4,0,0
AKLAN,ALTAVAS,"prawns, lobster, shrimp",tumpok,g,135,cell pooled across sizes,3,0,0
AKLAN,ALTAVAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,g,70,cell pooled across sizes,3,0,0
AKLAN,ALTAVAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,g,305,cell pooled across sizes,4,0,0
AKLAN,BANGA,cabbage,pieces or units,g,687.5,cell pooled across sizes,18,0,0
AKLAN,BANGA,camote tops,bundle,g,1080,cell pooled across sizes,9,0,0
AKLAN,BANGA,carrot,pieces or units,g,150,cell pooled across sizes,16,0,0
AKLAN,BANGA,chicken,pieces or units,g,270,cell pooled across sizes,7,0,0
AKLAN,BANGA,chicken,whole (chicken),g,1272.5,cell pooled across sizes,10,0,0
AKLAN,BANGA,"crackers, cookies, buiscuits, chips/curls",pieces or units,g,29,cell pooled across sizes,6,0,0
AKLAN,BANGA,"crackers, cookies, buiscuits, chips/curls",putos,g,310,cell pooled across sizes,4,0,0
AKLAN,BANGA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,g,80,province x item x unit,4,0,0
AKLAN,BANGA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,g,55,province x item x unit,7,0,0
AKLAN,BANGA,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,cell pooled across sizes,6,0,0
AKLAN,BANGA,"liquor (e.g, whisky, coconut wine)",long-neck,mL,750,cell pooled across sizes,7,0,0
AKLAN,BANGA,loaf bread,large packs,g,640,cell pooled across sizes,4,0,0
AKLAN,BANGA,loaf bread,medium packs,g,450,cell pooled across sizes,5,0,0
AKLAN,BANGA,loaf bread,small packs,g,360,province x item x unit,33,0,0
AKLAN,BANGA,mango,pieces or units,g,260,cell pooled across sizes,5,0,0
AKLAN,BANGA,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,g,360,province x item x unit,81,0,0
AKLAN,BATAN,cabbage,pieces or units,g,755,cell pooled across sizes,23,0,0
AKLAN,BATAN,camote tops,bugkos,g,160,cell pooled across sizes,3,0,0
AKLAN,BATAN,carrot,pieces or units,g,175,cell pooled across sizes,15,0,0
AKLAN,BATAN,chicken,pieces or units,g,330,cell pooled across sizes,7,0,0
AKLAN,BATAN,chicken,whole (chicken),g,1607.5,cell pooled across sizes,6,0,0
AKLAN,BATAN,"crackers, cookies, buiscuits, chips/curls",pieces or units,g,48,cell pooled across sizes,5,0,0
AKLAN,BATAN,"crackers, cookies, buiscuits, chips/curls",putos,g,290,cell pooled across sizes,6,0,0
AKLAN,BATAN,fresh fish,pieces or units,g,130,cell pooled across sizes,9,0,0
AKLAN,BATAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,mL,110,province x item x unit,26,0,0
AKLAN,BATAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,mL,600,province x item x unit,20,0,0
AKLAN,BATAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,mL,100,province x item x unit,12,0,0
AKLAN,BATAN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,cell pooled across sizes,3,0,0
AKLAN,BATAN,"liquor (e.g, whisky, coconut wine)",long-neck,mL,750,cell pooled across sizes,5,0,0
AKLAN,BATAN,loaf bread,large packs,g,620,cell pooled across sizes,5,0,0
AKLAN,BATAN,loaf bread,medium packs,g,450,province x item x unit,51,0,0
AKLAN,BATAN,loaf bread,small packs,g,360,province x item x unit,33,0,0
AKLAN,BATAN,mango,pieces or units,g,245,cell pooled across sizes,15,0,0
AKLAN,BATAN,"prawns, lobster, shrimp",tumpok,g,290,province x item x unit,23,0,0
AKLAN,BATAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",cans,g,152.5,cell pooled across sizes,18,0,0
AKLAN,BATAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,g,65,province x item x unit,28,0,0
AKLAN,BATAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,g,305,cell pooled across sizes,4,0,0
AKLAN,BURUANGA,cabbage,pieces or units,g,625,cell pooled across sizes,13,0,0
AKLAN,BURUANGA,cabbage,small packs,g,235,cell pooled across sizes,3,0,0
AKLAN,BURUANGA,camote,binilog,g,100,cell pooled across sizes,8,0,0
AKLAN,BURUANGA,camote tops,bundle,g,790,province x item x unit,35,0,0
AKLAN,BURUANGA,carrot,pieces or units,g,130,cell pooled across sizes,13,0,0
AKLAN,BURUANGA,chicken,pieces or units,g,600,cell pooled across sizes,3,0,0
AKLAN,BURUANGA,chicken,whole (chicken),g,1160,cell pooled across sizes,7,0,0
AKLAN,BURUANGA,"crackers, cookies, buiscuits, chips/curls",pack,g,300,item x unit (regional),63,0,0
AKLAN,BURUANGA,"crackers, cookies, buiscuits, chips/curls",putos,g,90,cell pooled across sizes,24,0,0
AKLAN,BURUANGA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pack,g,60,cell pooled across sizes,3,0,0
AKLAN,BURUANGA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,g,115,province x item x unit,10,0,0
AKLAN,BURUANGA,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,cell pooled across sizes,9,0,0
AKLAN,BURUANGA,"liquor (e.g, whisky, coconut wine)",long-neck,mL,750,cell pooled across sizes,9,0,0
AKLAN,BURUANGA,loaf bread,large packs,g,600,cell pooled across sizes,3,0,0
AKLAN,BURUANGA,loaf bread,medium packs,g,450,cell pooled across sizes,5,0,0
AKLAN,BURUANGA,loaf bread,small packs,g,350,cell pooled across sizes,4,0,0
AKLAN,BURUANGA,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,g,250,cell pooled across sizes,3,0,0
AKLAN,BURUANGA,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,g,225,cell pooled across sizes,8,0,0
AKLAN,IBAJAY,cabbage,pieces or units,g,627.5,cell pooled across sizes,14,0,0
AKLAN,IBAJAY,camote,binilog,g,150,cell pooled across sizes,9,0,0
AKLAN,IBAJAY,camote tops,bugkos,g,162.5,cell pooled across sizes,4,0,0
AKLAN,IBAJAY,carrot,pieces or units,g,145,cell pooled across sizes,15,0,0
AKLAN,IBAJAY,chicken,pieces or units,g,335,cell pooled across sizes,7,0,0
AKLAN,IBAJAY,chicken,whole (chicken),g,1445,cell pooled across sizes,7,0,0
AKLAN,IBAJAY,"crackers, cookies, buiscuits, chips/curls",pieces or units,g,40,cell pooled across sizes,14,0,0
AKLAN,IBAJAY,"crackers, cookies, buiscuits, chips/curls",putos,g,270,province x item x unit,93,0,0
AKLAN,IBAJAY,fresh fish,pieces or units,g,325,cell pooled across sizes,14,0,0
AKLAN,IBAJAY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,mL,110,province x item x unit,26,0,0
AKLAN,IBAJAY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,mL,600,cell pooled across sizes,3,0,0
AKLAN,IBAJAY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,mL,100,cell pooled across sizes,3,0,0
AKLAN,IBAJAY,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,cell pooled across sizes,6,0,0
AKLAN,IBAJAY,"liquor (e.g, whisky, coconut wine)",long-neck,mL,750,cell pooled across sizes,7,0,0
AKLAN,IBAJAY,loaf bread,large packs,g,620,cell pooled across sizes,3,0,0
AKLAN,IBAJAY,loaf bread,medium packs,g,450,province x item x unit,51,0,0
AKLAN,IBAJAY,loaf bread,small packs,g,360,province x item x unit,33,0,0
AKLAN,IBAJAY,mango,pieces or units,g,225,cell pooled across sizes,15,0,0
AKLAN,IBAJAY,"prawns, lobster, shrimp",tumpok,g,455,cell pooled across sizes,3,0,0
AKLAN,IBAJAY,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,g,65,province x item x unit,28,0,0
AKLAN,IBAJAY,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,g,500,cell pooled across sizes,11,0,0
AKLAN,LIBACAO,cabbage,pieces or units,g,725,cell pooled across sizes,22,0,0
AKLAN,LIBACAO,camote tops,bugkos,g,170,cell pooled across sizes,3,0,0
AKLAN,LIBACAO,camote tops,bundle,g,665,cell pooled across sizes,3,0,0
AKLAN,LIBACAO,carrot,pieces or units,g,105,cell pooled across sizes,11,0,0
