pull_province,pull_item,pull_municipal_city,harmonized_nsu_unit,p_g,conv_rank,corrected_unit,d_reclassified,k_use,n_points,d_point_usable,unusable_why,w_g,n_g,n_disputed,n_uncertain,group_id,n_filled,n_empty,branch,w_use,v_use,hetero_code,share_uncertain,d_thin
AKLAN,cabbage,ALTAVAS,pieces or units,60,1,g,0,1,1,1,,695,5,0,0,1,1,0,3,695,.0863309352517986,,0,0
AKLAN,camote tops,ALTAVAS,bugkos,30,1,g,1,1,1,1,,130,3,0,0,1,1,0,3,130,.2307692307692308,,0,0
AKLAN,camote tops,ALTAVAS,bundle,20,1,g,0,1,1,1,,810,3,2,2,1,1,0,3,810,.0246913580246914,,.6666666666666666,0
AKLAN,carrot,ALTAVAS,pieces or units,25,1,g,0,1,1,1,,152.5,6,1,1,1,1,0,3,152.5,.1639344262295082,,.1666666666666667,0
AKLAN,chicken,ALTAVAS,pieces or units,185,1,g,0,3,3,1,,390,1,0,0,1,2,1,3,390,.4743589743589743,,0,1
AKLAN,chicken,ALTAVAS,pieces or units,300,2,g,0,3,3,1,,500,1,0,0,2,2,1,3,500,.6,,0,1
AKLAN,chicken,ALTAVAS,pieces or units,375,3,g,0,3,3,0,this part of the cut came back empty,,,,,,,,3,,,,,
AKLAN,chicken,ALTAVAS,whole (chicken),250,1,g,0,3,3,1,,1065,1,0,0,1,2,1,3,1065,.2347417840375587,,0,1
AKLAN,chicken,ALTAVAS,whole (chicken),280,2,g,0,3,3,1,,1650,1,0,0,2,2,1,3,1650,.1696969696969697,,0,1
AKLAN,chicken,ALTAVAS,whole (chicken),425,3,g,0,3,3,0,this part of the cut came back empty,,,,,,,,3,,,,,
AKLAN,"crackers, cookies, buiscuits, chips/curls",ALTAVAS,pieces or units,40,1,g,0,1,1,1,,25.5,8,0,0,1,1,0,3,25.5,1.568627450980392,,0,0
AKLAN,"crackers, cookies, buiscuits, chips/curls",ALTAVAS,putos,64.5,,g,0,,1,1,,270,5,0,0,1,,,2,270,.2388888888888889,municipality_median,0,0
AKLAN,fresh fish,ALTAVAS,pieces or units,56.375,1,g,0,2,2,1,,95,2,0,0,1,2,0,3,95,.593421052631579,,0,1
AKLAN,fresh fish,ALTAVAS,pieces or units,92,2,g,0,2,2,1,,240,1,0,0,2,2,0,3,240,.3833333333333334,,0,1
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ALTAVAS,putos,20,1,g,0,1,1,1,,55,2,0,0,1,1,0,3,55,.3636363636363636,,0,1
AKLAN,"liquor (e.g, whisky, coconut wine)",ALTAVAS,lipid/lapad,75,1,mL,0,1,1,1,,375,3,0,0,1,1,0,3,375,.2,,0,0
AKLAN,"liquor (e.g, whisky, coconut wine)",ALTAVAS,long-neck,140,,mL,0,,1,1,,750,4,0,0,1,,,2,750,.1866666666666667,municipality_median,0,0
AKLAN,loaf bread,ALTAVAS,large packs,79,1,g,0,1,1,1,,640,4,0,0,1,1,0,3,640,.1234375,,0,0
AKLAN,loaf bread,ALTAVAS,medium packs,65,1,g,0,1,1,1,,450,4,0,0,1,1,0,3,450,.1444444444444444,,0,0
AKLAN,loaf bread,ALTAVAS,small packs,52.5,1,g,0,1,1,1,,360,3,0,0,1,1,0,3,360,.1458333333333333,,0,0
AKLAN,pork,ALTAVAS,slice,20,1,g,0,1,1,1,,160,1,0,0,1,1,0,3,160,.125,,0,1
AKLAN,"prawns, lobster, shrimp",ALTAVAS,tumpok,40,1,g,1,1,2,1,,135,3,0,0,1,1,0,3,135,.2962962962962963,,0,0
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",ALTAVAS,pieces or units,12,,g,0,,1,1,,70,3,0,0,1,,,2,70,.1714285714285714,municipality_median,0,0
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",ALTAVAS,putos,80,1,g,0,3,3,1,,240,2,0,0,1,3,0,3,240,.3333333333333333,,0,1
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",ALTAVAS,putos,115,2,g,0,3,3,1,,360,1,0,0,2,3,0,3,360,.3194444444444444,,0,1
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",ALTAVAS,putos,152.5,3,g,0,3,3,1,,1000,1,1,1,3,3,0,3,1000,.1525,,1,1
AKLAN,cabbage,BANGA,pieces or units,54.625,1,g,0,2,2,1,,360,9,1,1,1,2,0,3,360,.1517361111111111,,.1111111111111111,0
AKLAN,cabbage,BANGA,pieces or units,105.25,2,g,0,2,2,1,,855,9,0,0,2,2,0,3,855,.1230994152046784,,0,0
AKLAN,camote tops,BANGA,bundle,30,1,g,1,1,1,1,,1080,9,8,8,1,1,0,3,1080,.0277777777777778,,.8888888888888888,0
AKLAN,carrot,BANGA,pieces or units,32.5,1,g,0,1,1,1,,150,16,1,1,1,1,0,3,150,.2166666666666667,,.0625,0
AKLAN,chicken,BANGA,pieces or units,200,1,g,0,2,2,1,,187.5,4,0,0,1,2,0,3,187.5,1.066666666666667,,0,0
AKLAN,chicken,BANGA,pieces or units,335,2,g,0,2,2,1,,560,3,1,1,2,2,0,3,560,.5982142857142857,,.3333333333333333,0
AKLAN,chicken,BANGA,whole (chicken),197.5,1,g,0,2,2,1,,1120,5,0,0,1,2,0,3,1120,.1763392857142857,,0,0
AKLAN,chicken,BANGA,whole (chicken),265,2,g,0,2,2,1,,1765,5,0,0,2,2,0,3,1765,.1501416430594901,,0,0
AKLAN,"crackers, cookies, buiscuits, chips/curls",BANGA,pieces or units,8,,g,0,,1,1,,29,6,0,0,1,,,2,29,.2758620689655172,municipality_median,0,0
AKLAN,"crackers, cookies, buiscuits, chips/curls",BANGA,putos,59,,g,0,,1,1,,310,4,0,0,1,,,2,310,.1903225806451613,municipality_median,0,0
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",BANGA,pieces or units,30,1,g,0,1,1,1,,85,1,0,0,1,1,0,3,85,.3529411764705883,,0,1
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",BANGA,putos,30,1,g,0,1,1,1,,60,1,0,0,1,1,0,3,60,.5,,0,1
AKLAN,"liquor (e.g, whisky, coconut wine)",BANGA,lipid/lapad,73.125,1,mL,0,2,2,1,,375,6,0,0,1,1,1,3,375,.195,,0,0
AKLAN,"liquor (e.g, whisky, coconut wine)",BANGA,lipid/lapad,225,2,mL,0,2,2,0,this part of the cut came back empty,,,,,,,,3,,,,,
AKLAN,"liquor (e.g, whisky, coconut wine)",BANGA,long-neck,300,1,mL,0,3,3,1,,750,7,0,0,1,1,2,3,750,.4,,0,0
AKLAN,"liquor (e.g, whisky, coconut wine)",BANGA,long-neck,550,3,mL,0,3,3,0,this part of the cut came back empty,,,,,,,,3,,,,,
AKLAN,"liquor (e.g, whisky, coconut wine)",BANGA,long-neck,440,2,mL,0,3,3,0,this part of the cut came back empty,,,,,,,,3,,,,,
AKLAN,loaf bread,BANGA,large packs,80,1,g,0,1,1,1,,640,4,0,0,1,1,0,3,640,.125,,0,0
AKLAN,loaf bread,BANGA,medium packs,60,1,g,0,1,1,1,,450,5,0,0,1,1,0,3,450,.1333333333333333,,0,0
AKLAN,loaf bread,BANGA,small packs,25,1,g,0,3,3,1,,360,2,0,0,1,1,2,3,360,.0694444444444444,,0,1
AKLAN,loaf bread,BANGA,small packs,110,3,g,0,3,3,0,this part of the cut came back empty,,,,,,,,3,,,,,
AKLAN,loaf bread,BANGA,small packs,50,2,g,0,3,3,0,this part of the cut came back empty,,,,,,,,3,,,,,
AKLAN,mango,BANGA,pieces or units,60,1,g,0,1,1,1,,260,5,0,0,1,1,0,3,260,.2307692307692308,,0,0
AKLAN,mango,BANGA,pieces or units,100,,g,0,1,1,0,"unique price, no weighing behind it",,,,,,,,3,,,,,
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",BANGA,putos,110,,g,0,,1,1,,360,1,0,0,1,,,2,360,.3055555555555556,municipality_median,0,1
AKLAN,cabbage,BATAN,pieces or units,40,1,g,0,3,3,1,,550,8,0,0,1,3,0,3,550,.0727272727272727,,0,0
AKLAN,cabbage,BATAN,pieces or units,65,2,g,0,3,3,1,,762.5,8,0,0,2,3,0,3,762.5,.0852459016393443,,0,0
AKLAN,cabbage,BATAN,pieces or units,97.5,3,g,0,3,3,1,,1060,7,0,0,3,3,0,3,1060,.0919811320754717,,0,0
AKLAN,camote tops,BATAN,bugkos,25,1,g,1,1,1,1,,160,3,0,0,1,1,0,3,160,.15625,,0,0
AKLAN,carrot,BATAN,pieces or units,30,1,g,0,1,1,1,,175,15,0,0,1,1,0,3,175,.1714285714285714,,0,0
AKLAN,chicken,BATAN,pieces or units,250,1,g,0,1,1,1,,330,7,1,1,1,1,0,3,330,.7575757575757576,,.1428571428571428,0
AKLAN,chicken,BATAN,pieces or units,180,,g,0,1,1,0,"unique price, no weighing behind it",,,,,,,,3,,,,,
AKLAN,chicken,BATAN,whole (chicken),250,1,g,0,1,1,1,,1607.5,6,0,0,1,1,0,3,1607.5,.1555209953343701,,0,0
AKLAN,"crackers, cookies, buiscuits, chips/curls",BATAN,pieces or units,64,1,g,0,1,1,1,,48,5,0,0,1,1,0,3,48,1.333333333333333,,0,0
AKLAN,"crackers, cookies, buiscuits, chips/curls",BATAN,putos,62.5,1,g,0,2,2,1,,270,3,0,0,1,2,0,3,270,.2314814814814815,,0,0
AKLAN,"crackers, cookies, buiscuits, chips/curls",BATAN,putos,123.25,2,g,0,2,2,1,,300,3,1,1,2,2,0,3,300,.4108333333333333,,.3333333333333333,0
AKLAN,fresh fish,BATAN,pieces or units,100,1,g,0,1,1,1,,130,9,2,2,1,1,0,3,130,.7692307692307693,,.2222222222222222,0
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",BATAN,pieces or units,50,1,mL,0,1,1,1,,110,2,0,0,1,1,0,3,110,.4545454545454545,,0,1
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",BATAN,putos,30,1,mL,0,1,1,1,,650,2,2,2,1,1,0,3,650,.0461538461538462,,1,1
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",BATAN,putos,125,,mL,0,1,1,0,"unique price, no weighing behind it",,,,,,,,3,,,,,
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",BATAN,small cup,60,1,mL,0,1,1,1,,110,2,0,0,1,1,0,3,110,.5454545454545454,,0,1
AKLAN,"liquor (e.g, whisky, coconut wine)",BATAN,lipid/lapad,72.5,1,mL,0,3,3,1,,375,3,0,0,1,1,2,3,375,.1933333333333333,,0,0
AKLAN,"liquor (e.g, whisky, coconut wine)",BATAN,lipid/lapad,168.75,3,mL,0,3,3,0,this part of the cut came back empty,,,,,,,,3,,,,,
AKLAN,"liquor (e.g, whisky, coconut wine)",BATAN,lipid/lapad,130,2,mL,0,3,3,0,this part of the cut came back empty,,,,,,,,3,,,,,
AKLAN,"liquor (e.g, whisky, coconut wine)",BATAN,long-neck,130,1,mL,0,2,2,1,,750,5,0,0,1,1,1,3,750,.1733333333333333,,0,0
AKLAN,"liquor (e.g, whisky, coconut wine)",BATAN,long-neck,249.5,2,mL,0,2,2,0,this part of the cut came back empty,,,,,,,,3,,,,,
AKLAN,loaf bread,BATAN,large packs,76.875,1,g,0,2,2,1,,620,3,0,0,1,2,0,3,620,.123991935483871,,0,0
AKLAN,loaf bread,BATAN,large packs,160,2,g,0,2,2,1,,670,2,0,0,2,2,0,3,670,.2388059701492537,,0,1
AKLAN,loaf bread,BATAN,medium packs,62.5,1,g,0,2,2,1,,450,1,0,0,1,1,1,3,450,.1388888888888889,,0,1
AKLAN,loaf bread,BATAN,medium packs,130,2,g,0,2,2,0,this part of the cut came back empty,,,,,,,,3,,,,,
AKLAN,loaf bread,BATAN,small packs,60,1,g,0,1,1,1,,330,2,0,0,1,1,0,3,330,.1818181818181818,,0,1
AKLAN,mango,BATAN,pieces or units,65,1,g,0,1,1,1,,245,15,0,0,1,1,0,3,245,.2653061224489796,,0,0
AKLAN,"prawns, lobster, shrimp",BATAN,tumpok,50,1,g,1,1,2,1,,190,2,0,0,1,1,0,3,190,.2631578947368421,,0,1
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",BATAN,cans,85,1,g,0,1,1,1,,152.5,18,0,0,1,1,0,3,152.5,.5573770491803278,,0,0
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",BATAN,cans,120,,g,0,1,1,0,"unique price, no weighing behind it",,,,,,,,3,,,,,
