"row id; same id space as hh_row in psps_households.dta","household identifier","PSPS item code","acquisition slot: 2 purchased, 3 own production, 4 gift","acquisition route: purchased, own_production, or gift","province","municipality","food item","unit as the household reported it","harmonized market-survey unit; blank where none applies","quantity reported, in the unit named by pull_nsu_unit","implied unit value, PHP per unit; all acquisition modes (A10)","grams (or mL) per unit for this household's row","q_h * cf_h; total grams for this row; missing if not converted","20a conversion path: 1 standard unit, 2 NSU, 3 not an NSU","how this row got its grams, or why it did not","1 = this row has a gram figure","0 matched or standard-unit; 1-3 a borrowed rung; missing if unconverted","1 = the household price ratio was clamped to t=5 (conv_path 2 only)","1 = no computable unit value on this row (e_h or q_h absent)","weighings behind cf_h, at the level used; missing off conv_path 2","1 = fewer than 3 weighings behind the estimate; treat as uncertain","hetero-blind: grams in one unit of this NSU, cell pooled across hetero-groups","hetero-blind: q_h * cf_h_blind -- the no-price-matching counterfactual","hetero-blind: dimension of cf_h_blind (1 = g, 2 = mL)","hetero-blind rung: 1 cell pooled, 2 province, 3 regional (never 0)","hetero-blind: how this row got its grams, or why it did not","hetero-blind: weighings behind cf_h_blind","1 = the hetero-blind ladder produced grams for this row"
1,H000001,bev_1,2,purchased,CAPIZ,SIGMA,"mineral or spring water, all drinking water sold in containers",gallons,,7,17.85714285714286,3785.41,26497.87,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
2,H000001,fish_1,2,purchased,CAPIZ,SIGMA,fresh fish,kilograms (kg),,7,100,1000,7000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
3,H000001,fruit_1,2,purchased,CAPIZ,SIGMA,mango,kilograms (kg),,1,150,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
4,H000001,grain_1,2,purchased,CAPIZ,SIGMA,rice,gantang,,2,120,2250,4500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
5,H000001,meat_2,2,purchased,CAPIZ,SIGMA,pork,grams (g),,500,.4,1,500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
6,H000001,meat_3,2,purchased,CAPIZ,SIGMA,chicken,grams (g),,500,.2,1,500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
7,H000001,sweet_1,2,purchased,CAPIZ,SIGMA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,putos,4,27.5,60,240,NSU via market survey,fallback: province pool,1,province x item x unit,0,0,22,0,60,240,2,2,blind: province pool,22,1
8,H000001,veg_3,2,purchased,CAPIZ,SIGMA,camote tops,bugkos,bugkos,2,10,100,200,NSU via market survey,matched price point,1,the cell's own weighings,0,0,3,0,200,400,1,1,blind: cell pooled,3,1
9,H000002,bev_1,2,purchased,ILOILO,CABATUAN,"mineral or spring water, all drinking water sold in containers",gallons,,5,20,3785.41,18927.05,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
10,H000002,grain_1,2,purchased,ILOILO,CABATUAN,rice,gantang,,7,140,2250,15750,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
11,H000002,grain_2,2,purchased,ILOILO,CABATUAN,loaf bread,large,large packs,1,80,649.6969696969697,649.6969696969697,NSU via market survey,matched price point,1,the cell's own weighings,0,0,3,0,677.5,677.5,1,1,blind: cell pooled,6,1
12,H000002,meat_2,2,purchased,ILOILO,CABATUAN,pork,kilograms (kg),,1,300,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13,H000002,meat_3,2,purchased,ILOILO,CABATUAN,chicken,kilograms (kg),,1,260,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
14,H000002,meat_4,2,purchased,ILOILO,CABATUAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,putos,2,135,250,500,NSU via market survey,fallback: province pool,1,province x item x unit,0,0,182,0,250,500,1,2,blind: province pool,182,1
15,H000002,veg_3,3,own_production,ILOILO,CABATUAN,camote tops,bugkos,bugkos,4,10,96.25,385,NSU via market survey,matched price point,1,the cell's own weighings,0,0,8,0,192.5,770,1,1,blind: cell pooled,8,1
16,H000003,fish_1,2,purchased,ANTIQUE,HAMTIC,fresh fish,kilograms (kg),,2,150,1000,2000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
17,H000003,grain_1,2,purchased,ANTIQUE,HAMTIC,rice,gantang,,9,130,2250,20250,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
18,H000004,bev_1,2,purchased,ILOILO,LAMBUNAO,"mineral or spring water, all drinking water sold in containers",5-gallon blue container,,4,30,18927.1,75708.39999999999,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
19,H000004,bev_3,2,purchased,ILOILO,LAMBUNAO,"liquor (e.g, whisky, coconut wine)",lipid / lapad,lipid/lapad,7,80,400,2800,NSU via market survey,matched price point,1,the cell's own weighings,0,0,5,0,375,2625,2,1,blind: cell pooled,5,1
20,H000004,fish_1,2,purchased,ILOILO,LAMBUNAO,fresh fish,kilograms (kg),,1,200,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
21,H000004,grain_1,2,purchased,ILOILO,LAMBUNAO,rice,kilograms (kg),,21,60,1000,21000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
22,H000004,meat_3,2,purchased,ILOILO,LAMBUNAO,chicken,kilograms (kg),,1,220,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
23,H000004,meat_4,2,purchased,ILOILO,LAMBUNAO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,putos,2,45,139.5,279,NSU via market survey,matched price point,1,the cell's own weighings,0,0,2,1,265,530,1,1,blind: cell pooled,6,1
24,H000004,sweet_1,2,purchased,ILOILO,LAMBUNAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",gamay nga tasa,small cup,5,20,88.88888888888889,444.4444444444445,NSU via market survey,matched price point,1,the cell's own weighings,0,0,5,0,100,500,1,1,blind: cell pooled,8,1
25,H000004,veg_1,2,purchased,ILOILO,LAMBUNAO,cabbage,binilog,pieces or units,1,60,558.2608695652174,558.2608695652174,NSU via market survey,matched price point,1,the cell's own weighings,0,0,17,0,535,535,1,1,blind: cell pooled,17,1
26,H000004,veg_2,2,purchased,ILOILO,LAMBUNAO,carrot,binilog,pieces or units,1,20,81.53846153846153,81.53846153846153,NSU via market survey,matched price point,1,the cell's own weighings,0,0,20,0,132.5,132.5,1,1,blind: cell pooled,20,1
27,H000004,veg_3,3,own_production,ILOILO,LAMBUNAO,camote tops,bugkos,bugkos,3,10,78,234,NSU via market survey,matched price point,1,the cell's own weighings,0,0,7,0,195,585,1,1,blind: cell pooled,7,1
28,H000005,bev_1,2,purchased,ILOILO,DINGLE,"mineral or spring water, all drinking water sold in containers",5-gallon blue container,,2,25,18927.1,37854.2,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
29,H000005,fish_1,2,purchased,ILOILO,DINGLE,fresh fish,kilograms (kg),,1.5,186.6666666666667,1000,1500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
30,H000005,grain_1,4,gift,ILOILO,DINGLE,rice,gantang,,2,118,2250,4500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
31,H000005,meat_2,2,purchased,ILOILO,DINGLE,pork,kilograms (kg),,1,340,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
32,H000005,meat_3,2,purchased,ILOILO,DINGLE,chicken,kilograms (kg),,1,170,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33,H000005,meat_4,2,purchased,ILOILO,DINGLE,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,putos,3,38,250,750,NSU via market survey,fallback: province pool,1,province x item x unit,0,0,182,0,250,750,1,2,blind: province pool,182,1
34,H000005,veg_1,2,purchased,ILOILO,DINGLE,cabbage,bilog,pieces or units,1,80,1052,1052,NSU via market survey,matched price point,1,the cell's own weighings,0,0,8,0,657.5,657.5,1,1,blind: cell pooled,8,1
35,H000005,veg_2,2,purchased,ILOILO,DINGLE,carrot,bilog,pieces or units,2,20,116.6666666666667,233.3333333333333,NSU via market survey,matched price point,1,the cell's own weighings,0,0,7,0,175,350,1,1,blind: cell pooled,7,1
36,H000005,veg_3,3,own_production,ILOILO,DINGLE,camote tops,bugkos,bugkos,2,20,175,350,NSU via market survey,matched price point,1,the cell's own weighings,0,0,3,0,175,350,1,1,blind: cell pooled,3,1
37,H000006,fish_1,2,purchased,ILOILO,SAN ENRIQUE,fresh fish,kilograms (kg),,1,200,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
38,H000006,grain_1,3,own_production,ILOILO,SAN ENRIQUE,rice,gantang,,2,130,2250,4500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
39,H000006,meat_4,2,purchased,ILOILO,SAN ENRIQUE,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,putos,1,45,180,180,NSU via market survey,matched price point,1,the cell's own weighings,0,0,4,0,200,200,1,1,blind: cell pooled,4,1
40,H000006,veg_3,3,own_production,ILOILO,SAN ENRIQUE,camote tops,bugkos,bugkos,2,20,235,470,NSU via market survey,matched price point,1,the cell's own weighings,0,0,5,0,235,470,1,1,blind: cell pooled,5,1
41,H000007,bev_1,2,purchased,ANTIQUE,CULASI,"mineral or spring water, all drinking water sold in containers",5-gallon blue container,,2,25,18927.1,37854.2,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
42,H000007,fish_1,2,purchased,ANTIQUE,CULASI,fresh fish,kilograms (kg),,1.5,200,1000,1500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
43,H000007,grain_1,2,purchased,ANTIQUE,CULASI,rice,kilograms (kg),,12.5,50,1000,12500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
44,H000007,grain_2,2,purchased,ANTIQUE,CULASI,loaf bread,large,large packs,1,60,415.1351351351352,415.1351351351352,NSU via market survey,matched price point,1,the cell's own weighings,0,0,5,0,640,640,1,1,blind: cell pooled,5,1
45,H000007,veg_3,3,own_production,ANTIQUE,CULASI,camote tops,bugkos,bugkos,3,10,105,315,NSU via market survey,matched price point,1,the cell's own weighings,0,0,5,0,210,630,1,1,blind: cell pooled,5,1
46,H000007,veg_4,2,purchased,ANTIQUE,CULASI,camote,kilograms (kg),,1,45,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
47,H000008,bev_1,2,purchased,ILOILO,DUEAS,"mineral or spring water, all drinking water sold in containers",5-gallon blue container,,4,5,18927.1,75708.39999999999,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
48,H000008,fish_1,2,purchased,ILOILO,DUEAS,fresh fish,kilograms (kg),,1,200,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
49,H000008,grain_1,3,own_production,ILOILO,DUEAS,rice,gantang,,7,120,2250,15750,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
50,H000008,meat_3,3,own_production,ILOILO,DUEAS,chicken,whole (chicken),whole (chicken),2,250,1192.5,2385,NSU via market survey,matched price point,1,the cell's own weighings,0,0,2,1,1130,2260,1,1,blind: cell pooled,5,1
51,H000009,bev_3,2,purchased,ANTIQUE,BUGASONG,"liquor (e.g, whisky, coconut wine)",lipid / lapad,lipid/lapad,7,80,375,2625,NSU via market survey,matched price point,1,the cell's own weighings,0,0,6,0,375,2625,2,1,blind: cell pooled,6,1
52,H000009,fish_1,2,purchased,ANTIQUE,BUGASONG,fresh fish,grams (g),,500,.2,1,500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
53,H000009,fruit_1,2,purchased,ANTIQUE,BUGASONG,mango,kilograms (kg),,2,100,1000,2000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
54,H000009,grain_1,2,purchased,ANTIQUE,BUGASONG,rice,gantang,,2.5,140,2250,5625,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
55,H000009,grain_2,4,gift,ANTIQUE,BUGASONG,loaf bread,daragkul nga putos,large packs,1,65,463.7837837837838,463.7837837837838,NSU via market survey,matched price point,1,the cell's own weighings,0,0,2,1,640,640,1,2,blind: cell pooled,47,1
56,H000009,meat_2,2,purchased,ANTIQUE,BUGASONG,pork,kilograms (kg),,1,4000,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
57,H000009,meat_4,2,purchased,ANTIQUE,BUGASONG,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,putos,1,60,187.5,187.5,NSU via market survey,matched price point,1,the cell's own weighings,0,0,4,0,250,250,1,1,blind: cell pooled,4,1
58,H000009,veg_1,2,purchased,ANTIQUE,BUGASONG,cabbage,grams (g),,125,.2,1,125,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
59,H000009,veg_2,2,purchased,ANTIQUE,BUGASONG,carrot,grams (g),,125,.2,1,125,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
60,H000010,bev_3,2,purchased,NEGROS OCCIDENTAL,SAN ENRIQUE,"liquor (e.g, whisky, coconut wine)",lipid / lapad,lipid/lapad,3,70,332.2784810126582,996.8354430379748,NSU via market survey,matched price point,1,the cell's own weighings,0,0,6,0,375,1125,2,1,blind: cell pooled,7,1
61,H000010,fish_1,2,purchased,NEGROS OCCIDENTAL,SAN ENRIQUE,fresh fish,kilograms (kg),,7,100,1000,7000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
62,H000010,grain_1,3,own_production,NEGROS OCCIDENTAL,SAN ENRIQUE,rice,gantang,,7,85,2250,15750,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
