pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,corrected_unit,size_ord,w_l0,n_l0,nu_l0,weighing_approach,w_l1,n_l1,nu_l1,w_l2,n_l2,nu_l2,w_l3,n_l3,nu_l3,grams_used,n_g_used,nu_used,fallback_level,unconvertible,share_uncertain_used
cabbage,AKLAN,ALTAVAS,pieces or units,g,small,527.5,2,0,3,695,5,0,722.5,226,14,655,1306,73,695,5,0,cell pooled across sizes,0,0
cabbage,AKLAN,ALTAVAS,pieces or units,g,medium,725,2,0,3,695,5,0,722.5,226,14,655,1306,73,695,5,0,cell pooled across sizes,0,0
cabbage,AKLAN,ALTAVAS,pieces or units,g,large,1200,1,0,3,695,5,0,722.5,226,14,655,1306,73,695,5,0,cell pooled across sizes,0,0
camote tops,AKLAN,ALTAVAS,bugkos,g,medium,130,3,0,1,130,3,0,150,37,2,195,449,63,130,3,0,the cell's own weighings,0,0
camote tops,AKLAN,ALTAVAS,bundle,g,medium,700,2,2,3,810,3,3,790,35,28,500,101,48,810,3,3,cell pooled across sizes,0,1
camote tops,AKLAN,ALTAVAS,bundle,g,large,1130,1,1,3,810,3,3,790,35,28,500,101,48,810,3,3,cell pooled across sizes,0,1
carrot,AKLAN,ALTAVAS,pieces or units,g,small,90,2,0,3,152.5,6,1,145,195,31,140,1169,152,152.5,6,1,cell pooled across sizes,0,.1666666666666667
carrot,AKLAN,ALTAVAS,pieces or units,g,medium,180,3,0,3,152.5,6,1,145,195,31,140,1169,152,152.5,6,1,cell pooled across sizes,0,.1666666666666667
carrot,AKLAN,ALTAVAS,pieces or units,g,large,630,1,1,3,152.5,6,1,145,195,31,140,1169,152,152.5,6,1,cell pooled across sizes,0,.1666666666666667
chicken,AKLAN,ALTAVAS,pieces or units,g,small,390,1,0,3,445,2,1,385,45,23,380,108,50,385,45,23,province x item x unit,0,.5111111111111111
