id,pull_item,tick,m_dualcase,m_liqmass,m_solvol,mass,vol,liquid,icecream
1,cabbage,grams (g),0,0,0,1,0,0,0
2,cabbage,grams (g),0,0,0,1,0,0,0
3,cabbage,grams (g),0,0,0,1,0,0,0
4,cabbage,Kilograms (Kgs),0,0,0,1,0,0,0
5,cabbage,grams (g),0,0,0,1,0,0,0
6,camote tops,grams (g),0,0,0,1,0,0,0
7,camote tops,grams (g),0,0,0,1,0,0,0
8,camote tops,grams (g),0,0,0,1,0,0,0
9,camote tops,grams (g),0,0,0,1,0,0,0
10,camote tops,Kilograms (Kgs),0,0,0,1,0,0,0
11,camote tops,grams (g),0,0,0,1,0,0,0
12,carrot,grams (g),0,0,0,1,0,0,0
13,carrot,grams (g),0,0,0,1,0,0,0
14,carrot,grams (g),0,0,0,1,0,0,0
15,carrot,grams (g),0,0,0,1,0,0,0
16,carrot,grams (g),0,0,0,1,0,0,0
17,carrot,grams (g),0,0,0,1,0,0,0
18,chicken,grams (g),0,0,0,1,0,0,0
19,chicken,grams (g),0,0,0,1,0,0,0
20,chicken,Kilograms (Kgs),0,0,0,1,0,0,0
21,chicken,Kilograms (Kgs),0,0,0,1,0,0,0
22,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
23,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
24,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
25,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
26,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
27,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
28,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
29,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
30,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
31,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
32,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
33,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
34,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
35,fresh fish,grams (g),0,0,0,1,0,0,0
36,fresh fish,grams (g),0,0,0,1,0,0,0
37,fresh fish,grams (g),0,0,0,1,0,0,0
38,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",grams (g),0,0,0,1,0,0,1
39,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",grams (g),0,0,0,1,0,0,1
40,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
41,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
42,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
43,"liquor (e.g, whisky, coconut wine)",Litres (L),1,0,0,0,1,1,0
44,"liquor (e.g, whisky, coconut wine)",grams (g),1,1,0,1,0,1,0
45,"liquor (e.g, whisky, coconut wine)",grams (g),1,1,0,1,0,1,0
46,"liquor (e.g, whisky, coconut wine)",grams (g),1,1,0,1,0,1,0
47,loaf bread,grams (g),0,0,0,1,0,0,0
48,loaf bread,grams (g),0,0,0,1,0,0,0
49,loaf bread,grams (g),0,0,0,1,0,0,0
50,loaf bread,grams (g),0,0,0,1,0,0,0
51,loaf bread,grams (g),0,0,0,1,0,0,0
52,loaf bread,grams (g),0,0,0,1,0,0,0
53,loaf bread,grams (g),0,0,0,1,0,0,0
54,loaf bread,grams (g),0,0,0,1,0,0,0
55,loaf bread,grams (g),0,0,0,1,0,0,0
56,loaf bread,grams (g),0,0,0,1,0,0,0
57,loaf bread,grams (g),0,0,0,1,0,0,0
58,pork,grams (g),0,0,0,1,0,0,0
59,"prawns, lobster, shrimp",grams (g),0,0,0,1,0,0,0
60,"prawns, lobster, shrimp",grams (g),0,0,0,1,0,0,0
61,"prawns, lobster, shrimp",grams (g),0,0,0,1,0,0,0
62,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
63,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
