id,pull_item,rawtick,dim,raw_weight,corrected_weight,judgement,magchg,dimchg,trivial,nopub,snap_rule
1,cabbage,grams (g),g,.57999998,580,1,1,0,0,0,log10 median
2,cabbage,grams (g),g,475,475,0,0,0,1,0,log10 median
3,cabbage,grams (g),g,695,695,0,0,0,1,0,log10 median
4,cabbage,Kilograms (Kgs),g,1.2,1200,0,0,0,1,0,log10 median
5,cabbage,grams (g),g,.755,755,1,1,0,0,0,log10 median
6,camote tops,grams (g),g,.145,145,1,1,0,0,0,log10 median
7,camote tops,grams (g),g,.13,130,1,1,0,0,0,log10 median
8,camote tops,grams (g),g,.125,125,1,1,0,0,0,log10 median
9,camote tops,grams (g),g,.81,810,1,1,0,0,0,log10 median
10,camote tops,Kilograms (Kgs),g,1.13,1130,0,0,0,1,0,log10 median
11,camote tops,grams (g),g,.58999997,590,1,1,0,0,0,log10 median
12,carrot,grams (g),g,.090000004,90,1,1,0,0,0,log10 median
13,carrot,grams (g),g,.18000001,180,1,1,0,0,0,log10 median
14,carrot,grams (g),g,.090000004,90,1,1,0,0,0,log10 median
15,carrot,grams (g),g,.23,230,1,1,0,0,0,log10 median
16,carrot,grams (g),g,.63,630,1,1,0,0,0,log10 median
17,carrot,grams (g),g,.125,125,1,1,0,0,0,log10 median
18,chicken,grams (g),g,.38999999,390,1,1,0,0,0,log10 median
19,chicken,grams (g),g,.5,500,1,1,0,0,0,log10 median
20,chicken,Kilograms (Kgs),g,1.0650001,1065,0,0,0,1,0,log10 median
21,chicken,Kilograms (Kgs),g,1.65,1650,0,0,0,1,0,log10 median
22,"crackers, cookies, buiscuits, chips/curls",grams (g),g,17,17,0,0,0,1,0,log10 median
23,"crackers, cookies, buiscuits, chips/curls",grams (g),g,26,26,0,0,0,1,0,log10 median
24,"crackers, cookies, buiscuits, chips/curls",grams (g),g,90,90,0,0,0,1,0,log10 median
25,"crackers, cookies, buiscuits, chips/curls",grams (g),g,28,28,0,0,0,1,0,log10 median
26,"crackers, cookies, buiscuits, chips/curls",grams (g),g,25,25,0,0,0,1,0,log10 median
27,"crackers, cookies, buiscuits, chips/curls",grams (g),g,24,24,0,0,0,1,0,log10 median
28,"crackers, cookies, buiscuits, chips/curls",grams (g),g,30,30,0,0,0,1,0,log10 median
29,"crackers, cookies, buiscuits, chips/curls",grams (g),g,25,25,0,0,0,1,0,log10 median
30,"crackers, cookies, buiscuits, chips/curls",grams (g),g,320,320,0,0,0,1,0,log10 median
31,"crackers, cookies, buiscuits, chips/curls",grams (g),g,270,270,0,0,0,1,0,log10 median
