pull_province,pull_item,pull_municipal_city,harmonized_nsu_unit,p_g,has_mun_med,has_prov_med,has_unique,branch,n_points,n_points_conv
AKLAN,mango,BANGA,pieces or units,100,0,0,1,3,2,1
AKLAN,chicken,BATAN,pieces or units,180,0,0,1,3,2,1
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",BATAN,putos,125,0,0,1,3,2,1
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",BATAN,cans,120,0,0,1,3,2,1
AKLAN,chicken,BURUANGA,pieces or units,200,0,0,1,3,2,1
AKLAN,"liquor (e.g, whisky, coconut wine)",BURUANGA,long-neck,130,0,0,1,3,2,1
AKLAN,"liquor (e.g, whisky, coconut wine)",IBAJAY,lipid/lapad,160,0,0,1,3,3,1
AKLAN,"liquor (e.g, whisky, coconut wine)",IBAJAY,lipid/lapad,225,0,0,1,3,3,1
AKLAN,"prawns, lobster, shrimp",IBAJAY,tumpok,100,0,0,1,3,2,1
AKLAN,fresh fish,LIBACAO,pieces or units,135,0,0,1,3,3,1
AKLAN,fresh fish,LIBACAO,pieces or units,280,0,0,1,3,3,1
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",LIBACAO,putos,8,0,0,1,3,2,1
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",LIBACAO,small cup,100,0,0,1,3,2,1
AKLAN,cabbage,MADALAG,pieces or units,150,0,0,1,3,2,1
AKLAN,mango,MADALAG,pieces or units,25,0,0,1,3,2,1
AKLAN,mango,MAKATO,pieces or units,30,0,0,1,3,2,1
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",MALAY,putos,120,0,0,1,3,2,1
AKLAN,"liquor (e.g, whisky, coconut wine)",MALAY,lipid/lapad,130,0,0,1,3,2,1
AKLAN,fresh fish,MALINAO,pieces or units,500,0,0,1,3,2,1
AKLAN,chicken,NABAS,pieces or units,205,0,0,1,3,2,1
AKLAN,chicken,NABAS,whole (chicken),200,0,0,1,3,2,1
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",NABAS,putos,180,0,0,1,3,2,1
AKLAN,"liquor (e.g, whisky, coconut wine)",NABAS,lipid/lapad,120,0,0,1,3,3,1
AKLAN,"liquor (e.g, whisky, coconut wine)",NABAS,lipid/lapad,260,0,0,1,3,3,1
AKLAN,cabbage,NEW WASHINGTON,pieces or units,75,0,0,1,3,2,1
AKLAN,loaf bread,NEW WASHINGTON,small packs,100,0,0,1,3,2,1
AKLAN,"prawns, lobster, shrimp",NEW WASHINGTON,tumpok,120,0,0,1,3,2,1
AKLAN,cabbage,TANGALAN,pieces or units,174,0,0,1,3,2,1
AKLAN,carrot,TANGALAN,pieces or units,90,0,0,1,3,2,1
AKLAN,"liquor (e.g, whisky, coconut wine)",TANGALAN,long-neck,120,0,0,1,3,2,1
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",TANGALAN,pieces or units,33,0,0,1,3,2,1
ANTIQUE,camote,BARBAZA,bilog,100,0,0,1,3,2,1
ANTIQUE,"liquor (e.g, whisky, coconut wine)",BARBAZA,long-neck,250,0,0,1,2,2,1
ANTIQUE,loaf bread,BARBAZA,large packs,180,0,0,1,3,2,1
ANTIQUE,mango,BARBAZA,pieces or units,20,0,0,1,3,2,1
ANTIQUE,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",BELISON,small cup,100,0,0,1,3,3,1
ANTIQUE,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",BELISON,small cup,200,0,0,1,3,3,1
ANTIQUE,"liquor (e.g, whisky, coconut wine)",BELISON,long-neck,130,0,0,1,2,2,1
ANTIQUE,loaf bread,BELISON,large packs,168,0,0,1,3,2,1
ANTIQUE,mango,BELISON,pieces or units,140,0,0,1,3,3,1
ANTIQUE,mango,BELISON,pieces or units,200,0,0,1,3,3,1
ANTIQUE,"preserved or processed meat (tocino, tapa, longaniza, etc)",BELISON,bilog,300,0,0,1,3,2,1
ANTIQUE,camote,BUGASONG,bilog,50,0,0,1,3,2,1
ANTIQUE,fresh fish,BUGASONG,pieces or units,35,0,0,1,3,3,1
ANTIQUE,fresh fish,BUGASONG,pieces or units,450,0,0,1,3,3,1
ANTIQUE,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",BUGASONG,putos,15,0,0,1,3,2,1
ANTIQUE,loaf bread,BUGASONG,large packs,255,0,0,1,3,2,1
ANTIQUE,mango,BUGASONG,pieces or units,200,0,0,1,3,2,1
ANTIQUE,cabbage,CULASI,pieces or units,100,0,0,1,3,2,1
ANTIQUE,fresh fish,CULASI,pieces or units,20,0,0,1,3,2,1
ANTIQUE,loaf bread,CULASI,medium packs,180,0,0,1,3,2,1
ANTIQUE,mango,CULASI,pieces or units,50,0,0,1,3,2,1
ANTIQUE,fresh fish,HAMTIC,pieces or units,50,0,0,1,3,2,1
ANTIQUE,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",HAMTIC,small cup,150,0,0,1,3,2,1
ANTIQUE,"prawns, lobster, shrimp",HAMTIC,tumpok,300,0,0,1,3,2,1
ANTIQUE,"preserved or processed meat (tocino, tapa, longaniza, etc)",HAMTIC,bilog,80,0,0,1,3,2,1
ANTIQUE,rice,HAMTIC,gantang,300,0,0,1,1,2,1
ANTIQUE,fresh fish,LAUA-AN,pieces or units,100,0,0,1,3,2,1
ANTIQUE,mango,LAUA-AN,pieces or units,130,0,0,1,3,2,1
ANTIQUE,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",PANDAN,putos,250,0,0,1,3,2,1
ANTIQUE,cabbage,PATNONGON,pieces or units,90,0,0,1,3,3,1
ANTIQUE,cabbage,PATNONGON,pieces or units,156,0,0,1,3,3,1
ANTIQUE,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",PATNONGON,putos,20,0,0,1,3,3,1
ANTIQUE,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",PATNONGON,putos,200,0,0,1,3,3,1
ANTIQUE,camote,SAN REMIGIO,tumpok,20,0,0,1,1,2,1
ANTIQUE,fresh fish,SAN REMIGIO,pieces or units,400,0,0,1,3,2,1
ANTIQUE,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",SAN REMIGIO,putos,105,0,0,1,3,2,1
ANTIQUE,loaf bread,SAN REMIGIO,large packs,65,0,0,1,3,2,1
ANTIQUE,"preserved or processed meat (tocino, tapa, longaniza, etc)",SAN REMIGIO,bilog,240,0,0,1,2,2,1
ANTIQUE,chicken,SEBASTE,whole (chicken),290,0,0,1,3,2,1
ANTIQUE,fresh fish,SEBASTE,pieces or units,50,0,0,1,3,2,1
ANTIQUE,fresh fish,SIBALOM,pieces or units,200,0,0,1,3,2,1
ANTIQUE,cabbage,TIBIAO,pieces or units,80,0,0,1,3,2,1
ANTIQUE,chicken,TIBIAO,whole (chicken),180,0,0,1,3,2,1
ANTIQUE,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",TIBIAO,small cup,10,0,0,1,3,2,1
ANTIQUE,"liquor (e.g, whisky, coconut wine)",TIBIAO,long-neck,240,0,0,1,3,3,1
ANTIQUE,"liquor (e.g, whisky, coconut wine)",TIBIAO,long-neck,300,0,0,1,3,3,1
ANTIQUE,loaf bread,TIBIAO,large packs,290,0,0,1,3,2,1
ANTIQUE,fresh fish,TOBIAS FORNIER,pieces or units,210,0,0,1,3,2,1
ANTIQUE,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",TOBIAS FORNIER,putos,15,0,0,1,3,2,1
ANTIQUE,mango,TOBIAS FORNIER,pieces or units,60,0,0,1,3,2,1
ANTIQUE,"preserved or processed meat (tocino, tapa, longaniza, etc)",TOBIAS FORNIER,cans,54,0,0,1,3,2,1
ANTIQUE,rice,TOBIAS FORNIER,gantang,200,0,0,1,1,2,1
ANTIQUE,"liquor (e.g, whisky, coconut wine)",VALDERRAMA,long-neck,260,0,0,1,3,3,1
ANTIQUE,"liquor (e.g, whisky, coconut wine)",VALDERRAMA,long-neck,400,0,0,1,3,3,1
ANTIQUE,loaf bread,VALDERRAMA,small packs,105,0,0,1,3,2,1
CAPIZ,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CUARTERO,putos,20,0,0,1,2,3,1
CAPIZ,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CUARTERO,putos,250,0,0,1,2,3,1
CAPIZ,mango,CUARTERO,pieces or units,120,0,0,1,3,2,1
CAPIZ,fresh fish,DUMALAG,pieces or units,150,0,0,1,3,2,1
CAPIZ,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",DUMALAG,putos,160,0,0,1,2,3,1
CAPIZ,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",DUMALAG,putos,200,0,0,1,2,3,1
CAPIZ,"liquor (e.g, whisky, coconut wine)",IVISAN,long-neck,300,0,0,1,3,2,1
CAPIZ,fresh fish,JAMINDAN,pieces or units,200,0,0,1,3,2,1
CAPIZ,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",JAMINDAN,tub,120,0,0,1,3,2,1
CAPIZ,"liquor (e.g, whisky, coconut wine)",JAMINDAN,long-neck,390,0,0,1,3,2,1
CAPIZ,"preserved or processed meat (tocino, tapa, longaniza, etc)",JAMINDAN,bilog,75,0,0,1,3,3,1
CAPIZ,"preserved or processed meat (tocino, tapa, longaniza, etc)",JAMINDAN,bilog,165,0,0,1,3,3,1
CAPIZ,mango,PANAY,pieces or units,125,0,0,1,3,3,1
CAPIZ,mango,PANAY,pieces or units,230,0,0,1,3,3,1
CAPIZ,fresh fish,PILAR,pieces or units,80,0,0,1,3,3,1
CAPIZ,fresh fish,PILAR,pieces or units,350,0,0,1,3,3,1
CAPIZ,cabbage,PONTEVEDRA,pieces or units,120,0,0,1,3,2,1
CAPIZ,chicken,PONTEVEDRA,bilog,210,0,0,1,3,3,1
CAPIZ,chicken,PONTEVEDRA,bilog,1200,0,0,1,3,3,1
CAPIZ,chicken,PRESIDENT ROXAS,bilog,170,0,0,1,3,2,1
CAPIZ,mango,PRESIDENT ROXAS,pieces or units,100,0,0,1,3,2,1
CAPIZ,"prawns, lobster, shrimp",PRESIDENT ROXAS,tumpok,100,0,0,1,3,2,1
CAPIZ,"preserved or processed meat (tocino, tapa, longaniza, etc)",PRESIDENT ROXAS,bilog,150,0,0,1,3,2,1
CAPIZ,fresh fish,SAPI-AN,pieces or units,50,0,0,1,3,3,1
CAPIZ,fresh fish,SAPI-AN,pieces or units,85,0,0,1,3,3,1
CAPIZ,mango,SAPI-AN,pieces or units,50,0,0,1,3,2,1
CAPIZ,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",SIGMA,tub,420,0,0,1,3,2,1
CAPIZ,cabbage,TAPAZ,pack,50,0,0,1,2,2,1
ILOILO,fresh fish,AJUY,tumpok,350,0,0,1,3,2,1
ILOILO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AJUY,putos,100,0,0,1,3,3,1
ILOILO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AJUY,putos,300,0,0,1,3,3,1
ILOILO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ALIMODIAN,small cup,100,0,0,1,3,2,1
ILOILO,"liquor (e.g, whisky, coconut wine)",ALIMODIAN,long-neck,150,0,0,1,3,2,1
ILOILO,chicken,ANILAO,bilog,205,0,0,1,3,3,1
ILOILO,chicken,ANILAO,bilog,250,0,0,1,3,3,1
ILOILO,carrot,BALASAN,pieces or units,120,0,0,1,3,2,1
