pull_province,pull_item,pull_municipal_city,p,rung,harmonized_nsu_unit,grams,n_g,weighing_approach,d_thin,gpp,cv_gpp,n_pairs,n_price,n_mun,gpp_loo,w_pred,ratio
AKLAN,chicken,ALTAVAS,185,1,pieces or units,390,1,size-based,1,2.108108108108108,.4315057725351732,14,11,6,1.689473684210526,312.5526315789474,.8014170040485831
AKLAN,chicken,ALTAVAS,300,2,pieces or units,500,1,size-based,1,1.666666666666667,.4315057725351732,14,11,6,1.689473684210526,506.8421052631579,1.013684210526316
AKLAN,chicken,ALTAVAS,425,3,whole (chicken),1357.5,2,size-based,1,3.194117647058824,.2552423897717816,13,12,9,4.26067546583851,1810.787072981367,1.333913129268042
AKLAN,"crackers, cookies, buiscuits, chips/curls",ALTAVAS,65,2,putos,270,5,price-quantity,0,4.153846153846154,.4922658415644239,15,13,10,3.245614035087719,210.9649122807018,.7813515269655621
AKLAN,"liquor (e.g, whisky, coconut wine)",ALTAVAS,85,2,lipid/lapad,375,3,size-based,0,4.411764705882353,.2637839245228962,10,8,9,3.846153846153846,326.9230769230769,.8717948717948717
AKLAN,"liquor (e.g, whisky, coconut wine)",ALTAVAS,150,2,long-neck,750,4,price-quantity,0,5,.5724217485176846,14,14,9,1.886792452830189,283.0188679245283,.3773584905660378
AKLAN,loaf bread,ALTAVAS,153.75,3,large packs,640,4,size-based,0,4.162601626016261,.1855166627815084,6,6,6,4.129032258064516,634.8387096774194,.9919354838709677
AKLAN,loaf bread,ALTAVAS,65,2,medium packs,450,4,size-based,0,6.923076923076923,.1652133810060914,6,5,5,6.888888888888889,447.7777777777778,.9950617283950618
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",ALTAVAS,53.5,2,pieces or units,70,3,price-quantity,0,1.308411214953271,.2996553737966628,6,6,6,.9285714285714286,49.67857142857143,.7096938775510204
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",ALTAVAS,80,1,putos,240,2,size-based,1,3,.4449233113013139,15,11,9,2.5625,205,.8541666666666666
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",ALTAVAS,152.5,3,putos,680,2,size-based,1,4.459016393442623,.4449233113013139,15,11,9,2.5625,390.78125,.5746783088235294
AKLAN,cabbage,BANGA,51.25,1,pieces or units,345,6,size-based,0,6.73170731707317,.2722285212767123,12,12,4,9.823529411764707,503.4558823529412,1.459292412617221
AKLAN,cabbage,BANGA,58,2,pieces or units,725,7,size-based,0,12.5,.2722285212767123,12,12,4,9.823529411764707,569.7647058823529,.7858823529411765
AKLAN,cabbage,BANGA,105.25,3,pieces or units,1140,5,size-based,0,10.83135391923991,.2722285212767123,12,12,4,9.823529411764707,1033.926470588235,.9069530443756451
AKLAN,chicken,BANGA,200,1,pieces or units,187.5,4,size-based,0,.9375,.4315057725351732,14,11,6,1.733333333333333,346.6666666666667,1.848888888888889
AKLAN,chicken,BANGA,200,2,pieces or units,560,3,size-based,0,2.8,.4315057725351732,14,11,6,1.733333333333333,346.6666666666667,.6190476190476191
AKLAN,chicken,BANGA,200,2,whole (chicken),1120,5,size-based,0,5.6,.2552423897717816,13,12,9,3.785714285714286,757.1428571428571,.6760204081632653
AKLAN,chicken,BANGA,265,3,whole (chicken),1765,5,size-based,0,6.660377358490566,.2552423897717816,13,12,9,3.785714285714286,1003.214285714286,.5683933630109267
AKLAN,"crackers, cookies, buiscuits, chips/curls",BANGA,70,2,pieces or units,29,6,price-quantity,0,.4142857142857143,.3394942041398167,8,7,4,.8624338624338624,60.37037037037037,2.081736909323116
AKLAN,"crackers, cookies, buiscuits, chips/curls",BANGA,66.5,2,putos,310,4,price-quantity,0,4.661654135338346,.4922658415644239,15,13,10,3.245614035087719,215.8333333333333,.6962365591397849
AKLAN,"liquor (e.g, whisky, coconut wine)",BANGA,77.5,2,lipid/lapad,375,6,size-based,0,4.838709677419355,.2637839245228962,10,8,9,3.846153846153846,298.0769230769231,.7948717948717949
AKLAN,"liquor (e.g, whisky, coconut wine)",BANGA,550,3,long-neck,750,7,size-based,0,1.363636363636364,.5724217485176846,14,14,9,2.5,1375,1.833333333333333
AKLAN,loaf bread,BANGA,25,1,small packs,360,2,size-based,1,14.4,.409339472265992,6,6,5,10.78260869565217,269.5652173913044,.7487922705314011
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",BANGA,115,2,putos,360,1,price-quantity,1,3.130434782608696,.4449233113013139,15,11,9,2.585597826086957,297.34375,.8259548611111112
AKLAN,cabbage,BATAN,40,1,pieces or units,550,8,size-based,0,13.75,.2722285212767123,12,12,4,8.385416666666666,335.4166666666666,.6098484848484848
AKLAN,cabbage,BATAN,65,2,pieces or units,762.5,8,size-based,0,11.73076923076923,.2722285212767123,12,12,4,8.385416666666666,545.0520833333333,.7148224043715846
AKLAN,cabbage,BATAN,97.5,3,pieces or units,1060,7,size-based,0,10.87179487179487,.2722285212767123,12,12,4,8.385416666666666,817.5781249999999,.7713001179245282
AKLAN,"crackers, cookies, buiscuits, chips/curls",BATAN,60,1,putos,270,3,size-based,0,4.5,.4922658415644239,15,13,10,3.157894736842105,189.4736842105263,.7017543859649124
