hhid,pull_item,q_h,pull_nsu_unit,pull_province,pull_municipal_city,source,p_h,harmonized_nsu_unit,gap_sym,conv_route
H000039,"crackers, cookies, buiscuits, chips/curls",1,can o lata,ILOILO,CABATUAN,purchased,243,cans,,refused: nothing anywhere
H000058,loaf bread,3,dalagku nga putos,CAPIZ,DUMALAG,purchased,75,large packs,2.352941176470588,refused: A11 spelling gap
H000060,loaf bread,1,large,CAPIZ,TAPAZ,purchased,65,large packs,2.125,refused: A11 spelling gap
H000083,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,binilog,AKLAN,IBAJAY,purchased,5,pieces or units,3.5,refused: A11 spelling gap
H000165,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",1,binilog,AKLAN,IBAJAY,purchased,15,pieces or units,3.5,refused: A11 spelling gap
H000180,rice,42,"rice cooker cup, small",ILOILO,OTON,purchased,4.761904761904762,small rice cooker cup,,refused: nothing anywhere
H000198,fresh fish,1,putos,ILOILO,LEMERY,purchased,45,pack,1.305555555555556,refused: unique price
H000241,loaf bread,2,dalagku nga putos,CAPIZ,IVISAN,purchased,45,large packs,2.047058823529412,refused: A11 spelling gap
H000243,loaf bread,2,dalagku nga putos,ILOILO,MAASIN,purchased,80,large packs,2,refused: A11 spelling gap
H000282,loaf bread,7,gagmay nga putos,ILOILO,SARA,purchased,5,small packs,3.136363636363637,refused: A11 spelling gap
H000314,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",4,binilog,AKLAN,IBAJAY,purchased,10,pieces or units,3.5,refused: A11 spelling gap
H000355,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,binilog,AKLAN,IBAJAY,purchased,5,pieces or units,3.5,refused: A11 spelling gap
H000364,fresh fish,10,bilog,ILOILO,BAROTAC VIEJO,gift,2,pieces or units,,refused: unique price
H000396,loaf bread,10,gagmay nga putos,ANTIQUE,PATNONGON,purchased,5,small packs,2.625,refused: A11 spelling gap
H000451,cabbage,3,binilog,AKLAN,MALAY,purchased,60,pieces or units,2.4,refused: A11 spelling gap
H000462,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",3,gamay nga tasa,ANTIQUE,TOBIAS FORNIER,purchased,30,small cup,3.142857142857143,refused: A11 spelling gap
H000468,"liquor (e.g, whisky, coconut wine)",1,baso,ILOILO,LAMBUNAO,own_production,5,glass,,refused: nothing anywhere
H000470,"liquor (e.g, whisky, coconut wine)",2,takal ng tuba,ANTIQUE,SIBALOM,own_production,20,takal ng tuba,,refused: nothing anywhere
H000474,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",63,gamay nga tasa,ANTIQUE,TOBIAS FORNIER,purchased,10,small cup,3.142857142857143,refused: A11 spelling gap
H000490,loaf bread,35,piece,CAPIZ,PANAY,purchased,2.142857142857143,pieces or units,,refused: nothing anywhere
H000490,pork,1,pack,CAPIZ,PANAY,purchased,50,pack,,refused: nothing anywhere
H000506,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",10,binilog,AKLAN,MALAY,purchased,5,pieces or units,4.2,refused: A11 spelling gap
H000516,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",3,piraso,AKLAN,IBAJAY,purchased,5,pieces or units,2.8,refused: A11 spelling gap
H000612,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",1,putos,ILOILO,SAN JOAQUIN,purchased,25,putos,,refused: unique price
H000612,carrot,1,binilog,ILOILO,SAN JOAQUIN,purchased,35,pieces or units,2.166666666666667,refused: A11 spelling gap
H000613,carrot,1,putos,ILOILO,DUEAS,purchased,20,pack,,refused: nothing anywhere
H000667,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",12,pieces or units,ILOILO,BAROTAC VIEJO,purchased,20,pieces or units,4.142857142857143,refused: A11 spelling gap
H000668,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",4,binilog,AKLAN,MALAY,purchased,10,pieces or units,4.2,refused: A11 spelling gap
H000686,fresh fish,3,bilog,ILOILO,SAN ENRIQUE,purchased,50,pieces or units,,refused: unique price
H000698,carrot,2,putos,ILOILO,SAN RAFAEL,purchased,10,pack,,refused: nothing anywhere
H000720,loaf bread,4,gagmay nga putos,ILOILO,SARA,purchased,8,small packs,3.136363636363637,refused: A11 spelling gap
H000721,"liquor (e.g, whisky, coconut wine)",5,lipid / lapad,CAPIZ,SAPI-AN,purchased,70,lipid/lapad,4.333333333333333,refused: A11 spelling gap
H000724,fresh fish,3,putos,ILOILO,LEMERY,purchased,100,pack,1.305555555555556,refused: unique price
H000778,"liquor (e.g, whisky, coconut wine)",1,boll,ANTIQUE,SIBALOM,purchased,20,ball (tuba),,refused: nothing anywhere
