pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,corrected_unit,o2_cf,o2_rows,o2_maxrung,o1_grams,o1_n,ratio,logr
cabbage,AKLAN,ALTAVAS,pieces or units,g,579.1666666666666,13,0,695,5,.8333333333333333,-.0791812460476249
camote tops,AKLAN,ALTAVAS,bugkos,g,86.66666666666666,8,0,130,3,.6666666666666666,-.1760912590556812
camote tops,AKLAN,ALTAVAS,bundle,g,405,168,0,810,3,.5,-.3010299956639811
carrot,AKLAN,ALTAVAS,pieces or units,g,122,22,0,152.5,6,.8,-.0969100130080564
chicken,AKLAN,ALTAVAS,pieces or units,g,421.6216216216216,10,0,445,2,.9474643182508351,-.023437136693465
chicken,AKLAN,ALTAVAS,whole (chicken),g,1065,16,2,1357.5,2,.7845303867403315,-.105390230486128
"crackers, cookies, buiscuits, chips/curls",AKLAN,ALTAVAS,pieces or units,g,5.1,18,0,25.5,8,.2,-.6989700043360187
"crackers, cookies, buiscuits, chips/curls",AKLAN,ALTAVAS,putos,g,288.3085601030905,10,0,270,5,1.067809481863298,.0284937729581379
fresh fish,AKLAN,ALTAVAS,pieces or units,g,68.24833702882484,6,0,95,3,.7184035476718403,-.1436315316713484
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,ALTAVAS,putos,g,27.5,5,0,55,2,.5,-.3010299956639811
"liquor (e.g, whisky, coconut wine)",AKLAN,ALTAVAS,lipid/lapad,mL,375,45,0,375,3,1,0
"liquor (e.g, whisky, coconut wine)",AKLAN,ALTAVAS,long-neck,mL,775.9097781069056,15,0,750,4,1.034546370809208,.0147499615413609
loaf bread,AKLAN,ALTAVAS,large packs,g,526.5822784810126,19,0,640,4,.8227848101265822,-.0847137346475859
loaf bread,AKLAN,ALTAVAS,medium packs,g,415.3846153846154,35,0,450,4,.9230769230769231,-.0347621062592119
loaf bread,AKLAN,ALTAVAS,small packs,g,222.8571428571428,14,0,360,3,.619047619047619,-.2082759424270825
