pull_item,cf_min,cf_p25,cf_med,cf_p75,cf_max,n_rows,tot_g
camote tops,22,90,145,244.980072911026,2890,10536,5549810.030728535
"preserved or processed meat (tocino, tapa, longaniza, etc)",4,150,227.3542600896861,250,4068.845065449645,4541,2129508.403201286
"liquor (e.g, whisky, coconut wine)",50,351.1496533757222,375,401.2216028777082,1611.666662668386,3917,3359985.289667684
loaf bread,12,330.7852675469076,440,524.5901639344262,3200,3821,3950097.660766563
chicken,14.37937286795525,922.8887932475373,1072.5,1165,2925,2648,3748287.570528976
"crackers, cookies, buiscuits, chips/curls",3.854166666666667,9.600000000000001,45.91304347826087,231.6325183734232,1712.398797095517,2578,747798.1835438352
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",6.315789473684211,27.45098039215686,55,100,1025.331427593639,2532,743995.7705951605
carrot,18,64.61538461538461,92.94871794871796,125,625,1471,278943.6293253646
cabbage,39.58333333333334,396.6666666666667,571.0870343938554,770,3375,1309,1035797.609496378
rice,310,410,410,425,25000,517,5115282.801160812
fresh fish,24,131.6666666666667,289.5454545454545,516.6666666666666,1307.142857142857,418,373655.2717656228
"prawns, lobster, shrimp",15,147.5,225,316.6666666666667,1325.333333333333,289,104550.7542006265
mango,30.5,55.55555555555556,78.0625,139.5355572104997,572.4038865278909,174,83064.365638851
camote,16.5,33.33333333333334,52,122.8362410549468,1070,125,52396.25250363016
pork,5,113.1512933824664,259.5970040672668,472.100602110916,1562.5,10,3946.064892507341
beef,517.5,734.3382352941176,1250.588235294118,1807.226279652712,2064.452559305424,4,5083.129029893659
"mineral or spring water, all drinking water sold in containers",250,250,625,1000,1000,2,2000
beer,4611.117876804712,4611.117876804712,4611.117876804712,4611.117876804712,4611.117876804712,1,4611.117876804712
