pull_item,n_hh,gppd_med,gppd_p90,tot
rice,14970,321.4285714285714,642.8571428571429,158355762.7193329
fresh fish,13666,61.22448979591837,142.8571428571429,26993801.57530731
camote tops,10544,11.12698412698413,50.89285714285715,5583075.280728533
chicken,7543,35.71428571428572,92.85714285714286,9529153.368036155
"mineral or spring water, all drinking water sold in containers",6828,1351.935714285714,3379.839285714286,307434918.374229
"preserved or processed meat (tocino, tapa, longaniza, etc)",4784,11.9047619047619,35.71428571428572,2378697.0993363
"liquor (e.g, whisky, coconut wine)",4105,23.24455205811138,80.35714285714286,4077524.259839416
pork,3802,35.71428571428572,71.42857142857143,4190041.815007276
loaf bread,3799,22.41758241758242,73.33333333333334,3931769.523369915
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2740,6.190476190476191,28.57142857142857,949618.2755528007
camote,2687,47.61904761904761,142.8571428571429,4567148.502581116
"crackers, cookies, buiscuits, chips/curls",2562,5.451243671582654,24.79591836734694,748524.2219974742
cabbage,2377,20,59.57142857142857,1786436.121064643
carrot,2033,7.142857142857143,28.57142857142857,656122.1358181752
mango,1784,47.61904761904761,142.8571428571429,3004839.365662693
"prawns, lobster, shrimp",1043,20.40816326530612,71.42857142857143,762701.2541350613
beef,921,35.71428571428572,71.42857142857143,843998.129021549
beer,445,47.14285714285715,142.8571428571429,687473.1178768047
