measure,weighings,share_of_all
weighings in the built dataset,11433,100.0
  published at the typed magnitude (conversion only),9252,80.9
  published at a CORRECTED magnitude,2169,19.0
    ... x1000: a kilogram number ticked as grams (or mL as L),1988,17.4
    ... /1000: a gram number ticked as kilograms (or mL as L),153,1.3
"    ... one decade, either way: a decimal slip",5,0.0
    ... any other distance,23,0.2
uncertain -- either of the two below,950,8.3
"  disputed: the two readings differ, block published",942,8.2
"  unusable: no defensible reading, weight is .c",8,0.1
