grp,pull_province,pull_item,harmonized_nsu_unit,gpp_med,cv_gpp,n_pairs,n_price,n_mun,estimable
AKLAN cabbage pieces or units,AKLAN,cabbage,pieces or units,10.32744166550231,.2722285212767123,12,12,4,1
AKLAN carrot pieces or units,AKLAN,carrot,pieces or units,3.313253012048193,.0538566804318721,3,3,1,0
AKLAN chicken pieces or units,AKLAN,chicken,pieces or units,1.733333333333333,.4315057725351732,14,11,6,1
AKLAN chicken whole (chicken),AKLAN,chicken,whole (chicken),4.119565217391305,.2552423897717816,13,12,9,1
"AKLAN crackers, cookies, buiscuits, chips/curls pieces or units",AKLAN,"crackers, cookies, buiscuits, chips/curls",pieces or units,.8478835978835979,.3394942041398168,8,7,4,1
"AKLAN crackers, cookies, buiscuits, chips/curls putos",AKLAN,"crackers, cookies, buiscuits, chips/curls",putos,3.333333333333333,.492265841564424,15,13,10,1
AKLAN fresh fish pieces or units,AKLAN,fresh fish,pieces or units,1.948717948717949,,1,1,1,0
"AKLAN ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) pieces or units",AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,2.2,,1,1,1,0
"AKLAN ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) small cup",AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,3.833333333333333,.0614875461901346,2,2,2,0
"AKLAN liquor (e.g, whisky, coconut wine) lipid/lapad",AKLAN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,4.1289592760181,.2637839245228962,10,8,9,1
"AKLAN liquor (e.g, whisky, coconut wine) long-neck",AKLAN,"liquor (e.g, whisky, coconut wine)",long-neck,2.193396226415095,.5724217485176846,14,14,9,1
AKLAN loaf bread large packs,AKLAN,loaf bread,large packs,4.145816942040389,.1855166627815084,6,6,6,1
AKLAN loaf bread medium packs,AKLAN,loaf bread,medium packs,6.905982905982906,.1652133810060914,6,5,5,1
AKLAN loaf bread small packs,AKLAN,loaf bread,small packs,12.59130434782609,.409339472265992,6,6,5,1
"AKLAN preserved or processed meat (tocino, tapa, longaniza, etc) pieces or units",AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,1.072981366459627,.2996553737966628,6,6,6,1
"AKLAN preserved or processed meat (tocino, tapa, longaniza, etc) putos",AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,2.608695652173913,.4449233113013137,15,11,9,1
ANTIQUE cabbage pieces or units,ANTIQUE,cabbage,pieces or units,8.169811320754716,.290512168532138,9,9,3,1
ANTIQUE carrot pieces or units,ANTIQUE,carrot,pieces or units,4.027777777777778,.1083118734988781,5,5,2,1
ANTIQUE chicken bilog,ANTIQUE,chicken,bilog,4.275833333333333,.0939869079651579,2,2,1,0
ANTIQUE chicken pieces or units,ANTIQUE,chicken,pieces or units,1.19047619047619,.6437922242077724,15,8,7,1
ANTIQUE chicken whole (chicken),ANTIQUE,chicken,whole (chicken),4,.218660053999757,21,10,9,1
"ANTIQUE crackers, cookies, buiscuits, chips/curls pieces or units",ANTIQUE,"crackers, cookies, buiscuits, chips/curls",pieces or units,.8235294117647058,.2615639535900149,5,4,4,1
"ANTIQUE crackers, cookies, buiscuits, chips/curls putos",ANTIQUE,"crackers, cookies, buiscuits, chips/curls",putos,1.033561643835617,.6843445354072835,12,11,5,1
"ANTIQUE drinks at restaurant, hotel, cafe, or kiosk pieces",ANTIQUE,"drinks at restaurant, hotel, cafe, or kiosk",pieces,12.53875968992248,.4743189227742838,2,2,2,0
"ANTIQUE ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) pieces or units",ANTIQUE,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,3.818181818181818,1.083859465520417,3,2,3,0
"ANTIQUE ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) small cup",ANTIQUE,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,3.484848484848485,.4016934370353236,6,6,5,1
"ANTIQUE liquor (e.g, whisky, coconut wine) lipid/lapad",ANTIQUE,"liquor (e.g, whisky, coconut wine)",lipid/lapad,2.777777777777778,.3081164744290383,13,12,13,1
"ANTIQUE liquor (e.g, whisky, coconut wine) long-neck",ANTIQUE,"liquor (e.g, whisky, coconut wine)",long-neck,3.508771929824561,.2972971017009297,11,11,8,1
ANTIQUE loaf bread large packs,ANTIQUE,loaf bread,large packs,3.950617283950617,.354994742440736,5,5,4,1
ANTIQUE loaf bread medium packs,ANTIQUE,loaf bread,medium packs,5.294117647058823,.2249306562582088,3,3,3,1
ANTIQUE loaf bread small packs,ANTIQUE,loaf bread,small packs,9.285714285714285,.5426212688101449,6,6,5,1
ANTIQUE loaf bread tama-tama nga putos,ANTIQUE,loaf bread,tama-tama nga putos,4.75,,1,1,1,0
"ANTIQUE preserved or processed meat (tocino, tapa, longaniza, etc) cans",ANTIQUE,"preserved or processed meat (tocino, tapa, longaniza, etc)",cans,1.209964412811388,.2052675837293309,3,3,1,0
