pull_nsu_unit,std_grams,std_basis,drop_reason,conv_path,n_obs
kilograms (kg),1000,metric,,standard unit -- convert directly,27969
gantang,2250,measured,,standard unit -- convert directly,11647
grams (g),1,metric,,standard unit -- convert directly,5084
5-gallon blue container,18927.1,metric,,standard unit -- convert directly,4939
gallons,3785.41,metric,,standard unit -- convert directly,1718
litro (l),1000,metric,,standard unit -- convert directly,563
millileters (ml),1,metric,,standard unit -- convert directly,160
botelya (330ml),330,stated,,standard unit -- convert directly,155
botelya (500ml),500,stated,,standard unit -- convert directly,127
bote (500ml),500,stated,,standard unit -- convert directly,53
bote (330ml),330,stated,,standard unit -- convert directly,20
ganta,2250,measured,,standard unit -- convert directly,18
lata (500 ml),500,stated,,standard unit -- convert directly,14
lata (330 ml),330,stated,,standard unit -- convert directly,7
grams,1,metric,,standard unit -- convert directly,5
liters,1000,metric,,standard unit -- convert directly,3
liters (l),1000,metric,,standard unit -- convert directly,2
kilo,1000,metric,,standard unit -- convert directly,2
bottle (500 ml),500,stated,standard quantity,standard unit -- convert directly,1
kilograms,1000,metric,,standard unit -- convert directly,1
kilos,1000,metric,,standard unit -- convert directly,1
bugkos,,,,"NSU, resolvable via the crosswalk",8546
bilog,,,,"NSU, resolvable via the crosswalk",6223
putos,,,,"NSU, resolvable via the crosswalk",5813
lipid / lapad,,,,"NSU, resolvable via the crosswalk",3473
bundle,,,,"NSU, resolvable via the crosswalk",1987
binilog,,,,"NSU, resolvable via the crosswalk",1384
whole (chicken),,,,"NSU, resolvable via the crosswalk",1260
gagmay nga putos,,,,"NSU, resolvable via the crosswalk",822
medium,,,,"NSU, resolvable via the crosswalk",695
gamay nga cup,,,,"NSU, resolvable via the crosswalk",666
large,,,,"NSU, resolvable via the crosswalk",581
tama-tama nga putos,,,,"NSU, resolvable via the crosswalk",424
small,,,,"NSU, resolvable via the crosswalk",389
salmon,,,,"NSU, resolvable via the crosswalk",381
long-neck,,,,"NSU, resolvable via the crosswalk",316
dalagku nga putos,,,,"NSU, resolvable via the crosswalk",312
tumpok,,,,"NSU, resolvable via the crosswalk",306
lapad,,,,"NSU, resolvable via the crosswalk",180
kasarangan nga putos,,,,"NSU, resolvable via the crosswalk",161
mabahoe nga putos,,,,"NSU, resolvable via the crosswalk",161
bilog nga manok,,,,"NSU, resolvable via the crosswalk",144
maisot nga putos,,,,"NSU, resolvable via the crosswalk",135
letse,,,,"NSU, resolvable via the crosswalk",134
medium nga putos,,,,"NSU, resolvable via the crosswalk",101
daragkul nga putos,,,,"NSU, resolvable via the crosswalk",97
maisot nga tasa,,,,"NSU, resolvable via the crosswalk",85
small cup (translate),,,,"NSU, resolvable via the crosswalk",75
packs,,,,"NSU, resolvable via the crosswalk",68
pieces or units,,,,"NSU, resolvable via the crosswalk",63
pack,,,,"NSU, resolvable via the crosswalk",56
gamay nga tasa,,,,"NSU, resolvable via the crosswalk",55
lata,,,,"NSU, resolvable via the crosswalk",35
gmay nga cup,,,,"NSU, resolvable via the crosswalk",22
piraso,,,,"NSU, resolvable via the crosswalk",20
small packs,,,,"NSU, resolvable via the crosswalk",18
cone,,,,"NSU, resolvable via the crosswalk",12
pakete,,,,"NSU, resolvable via the crosswalk",12
mixmix,,,,"NSU, resolvable via the crosswalk",12
pieces,,,,"NSU, resolvable via the crosswalk",9
medium packs,,,,"NSU, resolvable via the crosswalk",9
large packs,,,,"NSU, resolvable via the crosswalk",7
slice,,,,"NSU, resolvable via the crosswalk",7
medium nga pakete,,,,"NSU, resolvable via the crosswalk",6
cup,,,,"NSU, resolvable via the crosswalk",5
per pack,,,,"NSU, resolvable via the crosswalk",4
cone of an ice cream,,,,"NSU, resolvable via the crosswalk",4
malaking packs,,,,"NSU, resolvable via the crosswalk",4
balde,,,,"NSU, resolvable via the crosswalk",3
patupa,,,,"NSU, resolvable via the crosswalk",3
piece,,,,"NSU, resolvable via the crosswalk",3
small cup,,,,"NSU, resolvable via the crosswalk",3
maliit na tasa,,,,"NSU, resolvable via the crosswalk",3
sliced,,,,"NSU, resolvable via the crosswalk",3
1/2,,,,"NSU, resolvable via the crosswalk",2
tupperware,,,,"NSU, resolvable via the crosswalk",2
plastic cup,,,,"NSU, resolvable via the crosswalk",2
whole chicken,,,,"NSU, resolvable via the crosswalk",2
per packs,,,,"NSU, resolvable via the crosswalk",2
container,,,,"NSU, resolvable via the crosswalk",2
1 case,,,,"NSU, resolvable via the crosswalk",2
pack of mixed vegetables,,,,"NSU, resolvable via the crosswalk",2
ice cream in cone,,,,"NSU, resolvable via the crosswalk",2
tub,,,,"NSU, resolvable via the crosswalk",2
bowl,,,,"NSU, resolvable via the crosswalk",2
pack of ice wrapper,,,,"NSU, resolvable via the crosswalk",2
putos /mix mix,,,,"NSU, resolvable via the crosswalk",2
baso,,,,"NSU, resolvable via the crosswalk",2
2bond,,,,"NSU, resolvable via the crosswalk",2
can,,,,"NSU, resolvable via the crosswalk",2
gallon,,,,"NSU, resolvable via the crosswalk",2
putos (pack),,,,"NSU, resolvable via the crosswalk",2
tupok,,,,"NSU, resolvable via the crosswalk",2
whole,,,,"NSU, resolvable via the crosswalk",1
14 tasa,,,,"NSU, resolvable via the crosswalk",1
5 gallon black container,,,,"NSU, resolvable via the crosswalk",1
100pcs of pandesal,,,,"NSU, resolvable via the crosswalk",1
1bugkus,,,,"NSU, resolvable via the crosswalk",1
intestine,,,,"NSU, resolvable via the crosswalk",1
3bugkos,,,,"NSU, resolvable via the crosswalk",1
pieces of fried chicken,,,,"NSU, resolvable via the crosswalk",1
jr,,,,"NSU, resolvable via the crosswalk",1
mix vegetables (per tumpok),,,,"NSU, resolvable via the crosswalk",1
1/2 of whole,,,,"NSU, resolvable via the crosswalk",1
small box,,,,"NSU, resolvable via the crosswalk",1
individual,,,,"NSU, resolvable via the crosswalk",1
1 cone,,,,"NSU, resolvable via the crosswalk",1
small pack for pancit (noodles),,,,"NSU, resolvable via the crosswalk",1
"rice cooker cup, small",,,,"NSU, resolvable via the crosswalk",1
putos or pack,,,,"NSU, resolvable via the crosswalk",1
