statistic,grouping,level,value
weighing_grain_check,overall,n_rows,11495.0
weighing_grain_check,overall,n_distinct_groups,11495.0
n_weighings,overall,all,11495.0
n_unique_items,overall,all,19.0
n_provinces,overall,all,5.0
n_prov_mun_pairs,overall,all,104.0
n_vendors,overall,all,7857.0
n_markets,overall,all,709.0
n_unique_nsu_raw_label,overall,all,129.0
n_unique_item_x_nsu_raw_label,overall,all,173.0
n_unique_cases,overall,all,2001.0
n_weighings_by_province,pull_province,AKLAN,1566.0
n_weighings_by_province,pull_province,ANTIQUE,1949.0
n_weighings_by_province,pull_province,CAPIZ,1554.0
n_weighings_by_province,pull_province,ILOILO,5272.0
n_weighings_by_province,pull_province,NEGROS OCCIDENTAL,1154.0
n_weighings_by_municipality,prov_mun,AKLAN | ALTAVAS,68.0
n_weighings_by_municipality,prov_mun,AKLAN | BANGA,102.0
n_weighings_by_municipality,prov_mun,AKLAN | BATAN,136.0
n_weighings_by_municipality,prov_mun,AKLAN | BURUANGA,124.0
n_weighings_by_municipality,prov_mun,AKLAN | IBAJAY,146.0
n_weighings_by_municipality,prov_mun,AKLAN | LIBACAO,110.0
n_weighings_by_municipality,prov_mun,AKLAN | MADALAG,107.0
n_weighings_by_municipality,prov_mun,AKLAN | MAKATO,143.0
n_weighings_by_municipality,prov_mun,AKLAN | MALAY,170.0
n_weighings_by_municipality,prov_mun,AKLAN | MALINAO,105.0
n_weighings_by_municipality,prov_mun,AKLAN | NABAS,105.0
n_weighings_by_municipality,prov_mun,AKLAN | NEW WASHINGTON,112.0
n_weighings_by_municipality,prov_mun,AKLAN | TANGALAN,138.0
n_weighings_by_municipality,prov_mun,ANTIQUE | BARBAZA,128.0
n_weighings_by_municipality,prov_mun,ANTIQUE | BELISON,140.0
n_weighings_by_municipality,prov_mun,ANTIQUE | BUGASONG,144.0
n_weighings_by_municipality,prov_mun,ANTIQUE | CULASI,169.0
n_weighings_by_municipality,prov_mun,ANTIQUE | HAMTIC,200.0
n_weighings_by_municipality,prov_mun,ANTIQUE | LAUA-AN,80.0
n_weighings_by_municipality,prov_mun,ANTIQUE | LIBERTAD,93.0
n_weighings_by_municipality,prov_mun,ANTIQUE | PANDAN,77.0
n_weighings_by_municipality,prov_mun,ANTIQUE | PATNONGON,136.0
n_weighings_by_municipality,prov_mun,ANTIQUE | SAN REMIGIO,120.0
n_weighings_by_municipality,prov_mun,ANTIQUE | SEBASTE,120.0
n_weighings_by_municipality,prov_mun,ANTIQUE | SIBALOM,166.0
n_weighings_by_municipality,prov_mun,ANTIQUE | TIBIAO,88.0
n_weighings_by_municipality,prov_mun,ANTIQUE | TOBIAS FORNIER,160.0
n_weighings_by_municipality,prov_mun,ANTIQUE | VALDERRAMA,128.0
n_weighings_by_municipality,prov_mun,CAPIZ | CUARTERO,114.0
n_weighings_by_municipality,prov_mun,CAPIZ | DAO,69.0
n_weighings_by_municipality,prov_mun,CAPIZ | DUMALAG,96.0
n_weighings_by_municipality,prov_mun,CAPIZ | DUMARAO,51.0
n_weighings_by_municipality,prov_mun,CAPIZ | IVISAN,125.0
n_weighings_by_municipality,prov_mun,CAPIZ | JAMINDAN,49.0
n_weighings_by_municipality,prov_mun,CAPIZ | MA-AYON,95.0
n_weighings_by_municipality,prov_mun,CAPIZ | MAMBUSAO,118.0
n_weighings_by_municipality,prov_mun,CAPIZ | PANAY,139.0
n_weighings_by_municipality,prov_mun,CAPIZ | PANITAN,156.0
n_weighings_by_municipality,prov_mun,CAPIZ | PILAR,122.0
n_weighings_by_municipality,prov_mun,CAPIZ | PONTEVEDRA,100.0
n_weighings_by_municipality,prov_mun,CAPIZ | PRESIDENT ROXAS,53.0
n_weighings_by_municipality,prov_mun,CAPIZ | SAPI-AN,92.0
n_weighings_by_municipality,prov_mun,CAPIZ | SIGMA,81.0
n_weighings_by_municipality,prov_mun,CAPIZ | TAPAZ,94.0
n_weighings_by_municipality,prov_mun,ILOILO | AJUY,62.0
n_weighings_by_municipality,prov_mun,ILOILO | ALIMODIAN,185.0
n_weighings_by_municipality,prov_mun,ILOILO | ANILAO,91.0
n_weighings_by_municipality,prov_mun,ILOILO | BADIANGAN,83.0
n_weighings_by_municipality,prov_mun,ILOILO | BALASAN,73.0
n_weighings_by_municipality,prov_mun,ILOILO | BANATE,106.0
n_weighings_by_municipality,prov_mun,ILOILO | BAROTAC NUEVO,81.0
n_weighings_by_municipality,prov_mun,ILOILO | BAROTAC VIEJO,93.0
n_weighings_by_municipality,prov_mun,ILOILO | BATAD,129.0
n_weighings_by_municipality,prov_mun,ILOILO | BINGAWAN,123.0
n_weighings_by_municipality,prov_mun,ILOILO | CABATUAN,156.0
n_weighings_by_municipality,prov_mun,ILOILO | CALINOG,158.0
n_weighings_by_municipality,prov_mun,ILOILO | CARLES,112.0
n_weighings_by_municipality,prov_mun,ILOILO | CONCEPCION,142.0
n_weighings_by_municipality,prov_mun,ILOILO | DINGLE,91.0
n_weighings_by_municipality,prov_mun,ILOILO | DUEĂ‘AS,191.0
n_weighings_by_municipality,prov_mun,ILOILO | DUMANGAS,41.0
n_weighings_by_municipality,prov_mun,ILOILO | ESTANCIA,110.0
n_weighings_by_municipality,prov_mun,ILOILO | GUIMBAL,129.0
n_weighings_by_municipality,prov_mun,ILOILO | IGBARAS,136.0
n_weighings_by_municipality,prov_mun,ILOILO | JANIUAY,200.0
n_weighings_by_municipality,prov_mun,ILOILO | LAMBUNAO,135.0
n_weighings_by_municipality,prov_mun,ILOILO | LEGANES,107.0
n_weighings_by_municipality,prov_mun,ILOILO | LEMERY,69.0
n_weighings_by_municipality,prov_mun,ILOILO | LEON,163.0
n_weighings_by_municipality,prov_mun,ILOILO | MAASIN,106.0
n_weighings_by_municipality,prov_mun,ILOILO | MIAGAO,138.0
n_weighings_by_municipality,prov_mun,ILOILO | MINA,137.0
n_weighings_by_municipality,prov_mun,ILOILO | NEW LUCENA,122.0
n_weighings_by_municipality,prov_mun,ILOILO | OTON,192.0
n_weighings_by_municipality,prov_mun,ILOILO | POTOTAN,200.0
n_weighings_by_municipality,prov_mun,ILOILO | SAN DIONISIO,79.0
n_weighings_by_municipality,prov_mun,ILOILO | SAN ENRIQUE,95.0
n_weighings_by_municipality,prov_mun,ILOILO | SAN JOAQUIN,177.0
n_weighings_by_municipality,prov_mun,ILOILO | SAN MIGUEL,133.0
n_weighings_by_municipality,prov_mun,ILOILO | SAN RAFAEL,99.0
n_weighings_by_municipality,prov_mun,ILOILO | SANTA BARBARA,219.0
n_weighings_by_municipality,prov_mun,ILOILO | SARA,146.0
n_weighings_by_municipality,prov_mun,ILOILO | TIGBAUAN,232.0
n_weighings_by_municipality,prov_mun,ILOILO | TUBUNGAN,120.0
n_weighings_by_municipality,prov_mun,ILOILO | ZARRAGA,111.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | BINALBAGAN,57.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | CALATRAVA,46.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | CANDONI,44.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | CAUAYAN,60.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | ENRIQUE B. MAGALONA (SARAVIA),68.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | HINIGARAN,67.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | HINOBA-AN (ASIA),66.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | ILOG,65.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | ISABELA,73.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | LA CASTELLANA,47.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | MANAPLA,83.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | MOISES PADILLA (MAGALLON),63.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | MURCIA,30.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | PONTEVEDRA,93.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | PULUPANDAN,47.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | SALVADOR BENEDICTO,38.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | SAN ENRIQUE,113.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | TOBOSO,46.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | VALLADOLID,48.0
n_weighings_by_item,pull_item,Beef,8.0
n_weighings_by_item,pull_item,Beer,6.0
n_weighings_by_item,pull_item,Cabbage,1425.0
n_weighings_by_item,pull_item,Camote,591.0
n_weighings_by_item,pull_item,Camote tops,559.0
n_weighings_by_item,pull_item,Carrot,1200.0
n_weighings_by_item,pull_item,Chicken,849.0
n_weighings_by_item,pull_item,"Crackers, Cookies, Buiscuits, Chips/Curls",1086.0
n_weighings_by_item,pull_item,"Drinks at restaurant, hotel, cafÃ©, or kiosk",189.0
n_weighings_by_item,pull_item,Fresh Fish,759.0
n_weighings_by_item,pull_item,"Ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",878.0
n_weighings_by_item,pull_item,"Liquor (e.g, whisky, coconut wine)",1129.0
n_weighings_by_item,pull_item,Loaf Bread,1049.0
n_weighings_by_item,pull_item,Mango,550.0
n_weighings_by_item,pull_item,"Mineral or spring water, all drinking water sold in containers",23.0
n_weighings_by_item,pull_item,Pork,25.0
n_weighings_by_item,pull_item,"Prawns, Lobster, shrimp",160.0
n_weighings_by_item,pull_item,"Preserved or Processed Meat (Tocino, Tapa, Longaniza, etc)",952.0
n_weighings_by_item,pull_item,Rice,57.0
n_weighings_by_weighing_approach,weighing_approach,"Conventional NSU (eg. ganta, salmon, salop)",470.0
n_weighings_by_weighing_approach,weighing_approach,"Price-quantity based (lower, median, higher price)",1229.0
n_weighings_by_weighing_approach,weighing_approach,"Size-based (small, medium, large)",9796.0
n_weighings_by_hetero_type,obs_type,conventional_nsu,470.0
n_weighings_by_hetero_type,obs_type,large_size,2609.0
n_weighings_by_hetero_type,obs_type,medium_size,3338.0
n_weighings_by_hetero_type,obs_type,mp25_price,74.0
n_weighings_by_hetero_type,obs_type,mp50_price,104.0
n_weighings_by_hetero_type,obs_type,mp75_price,70.0
n_weighings_by_hetero_type,obs_type,municipality_median,531.0
n_weighings_by_hetero_type,obs_type,province_median,414.0
n_weighings_by_hetero_type,obs_type,small_size,3849.0
n_weighings_by_hetero_type,obs_type,unique_mun_price6,31.0
n_weighings_by_hetero_type,obs_type,unique_mun_price7,5.0
n_weighings_by_market_type,market_type_lbl,Public Market,6343.0
n_weighings_by_market_type,market_type_lbl,Roadside Vendors,3239.0
n_weighings_by_market_type,market_type_lbl,Talipapa,1913.0
n_cases_by_province,pull_province,AKLAN,231.0
n_cases_by_province,pull_province,ANTIQUE,294.0
n_cases_by_province,pull_province,CAPIZ,326.0
n_cases_by_province,pull_province,ILOILO,842.0
n_cases_by_province,pull_province,NEGROS OCCIDENTAL,308.0
n_items_by_municipality,prov_mun,AKLAN | ALTAVAS,12.0
n_items_by_municipality,prov_mun,AKLAN | BANGA,10.0
n_items_by_municipality,prov_mun,AKLAN | BATAN,12.0
n_items_by_municipality,prov_mun,AKLAN | BURUANGA,11.0
n_items_by_municipality,prov_mun,AKLAN | IBAJAY,13.0
n_items_by_municipality,prov_mun,AKLAN | LIBACAO,10.0
n_items_by_municipality,prov_mun,AKLAN | MADALAG,12.0
n_items_by_municipality,prov_mun,AKLAN | MAKATO,12.0
n_items_by_municipality,prov_mun,AKLAN | MALAY,12.0
n_items_by_municipality,prov_mun,AKLAN | MALINAO,10.0
n_items_by_municipality,prov_mun,AKLAN | NABAS,8.0
n_items_by_municipality,prov_mun,AKLAN | NEW WASHINGTON,10.0
n_items_by_municipality,prov_mun,AKLAN | TANGALAN,9.0
n_items_by_municipality,prov_mun,ANTIQUE | BARBAZA,12.0
n_items_by_municipality,prov_mun,ANTIQUE | BELISON,11.0
n_items_by_municipality,prov_mun,ANTIQUE | BUGASONG,13.0
n_items_by_municipality,prov_mun,ANTIQUE | CULASI,13.0
n_items_by_municipality,prov_mun,ANTIQUE | HAMTIC,15.0
n_items_by_municipality,prov_mun,ANTIQUE | LAUA-AN,11.0
n_items_by_municipality,prov_mun,ANTIQUE | LIBERTAD,11.0
n_items_by_municipality,prov_mun,ANTIQUE | PANDAN,9.0
n_items_by_municipality,prov_mun,ANTIQUE | PATNONGON,11.0
n_items_by_municipality,prov_mun,ANTIQUE | SAN REMIGIO,13.0
n_items_by_municipality,prov_mun,ANTIQUE | SEBASTE,11.0
n_items_by_municipality,prov_mun,ANTIQUE | SIBALOM,14.0
n_items_by_municipality,prov_mun,ANTIQUE | TIBIAO,10.0
n_items_by_municipality,prov_mun,ANTIQUE | TOBIAS FORNIER,14.0
n_items_by_municipality,prov_mun,ANTIQUE | VALDERRAMA,10.0
n_items_by_municipality,prov_mun,CAPIZ | CUARTERO,12.0
n_items_by_municipality,prov_mun,CAPIZ | DAO,13.0
n_items_by_municipality,prov_mun,CAPIZ | DUMALAG,15.0
n_items_by_municipality,prov_mun,CAPIZ | DUMARAO,11.0
n_items_by_municipality,prov_mun,CAPIZ | IVISAN,13.0
n_items_by_municipality,prov_mun,CAPIZ | JAMINDAN,14.0
n_items_by_municipality,prov_mun,CAPIZ | MA-AYON,14.0
