hhid,pull_item,q_h,pull_nsu_unit,e_h,pull_province,pull_municipal_city,p_h,p_g,n_points,cf_h,grams_h,r_h_raw,r_h,d_cap,cf_h_uncapped
H000001,camote tops,2,bugkos,20,CAPIZ,SIGMA,10,20,1,100,200,.5,.5,0,100
H000002,loaf bread,1,large,80,ILOILO,CABATUAN,80,82.5,2,649.6969696969697,649.6969696969697,.9696969696969697,.9696969696969697,0,649.6969696969697
H000004,"liquor (e.g, whisky, coconut wine)",7,lipid / lapad,560,ILOILO,LAMBUNAO,80,75,3,400,2800,1.066666666666667,1.066666666666667,0,400
H000004,"preserved or processed meat (tocino, tapa, longaniza, etc)",2,putos,90,ILOILO,LAMBUNAO,45,50,3,139.5,279,.9,.9,0,139.5
H000004,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",5,gamay nga tasa,100,ILOILO,LAMBUNAO,20,22.5,3,88.88888888888889,444.4444444444445,.8888888888888888,.8888888888888888,0,88.88888888888889
H000004,cabbage,1,binilog,60,ILOILO,LAMBUNAO,60,57.5,1,584.3478260869565,584.3478260869565,1.043478260869565,1.043478260869565,0,584.3478260869565
H000004,carrot,1,binilog,20,ILOILO,LAMBUNAO,20,32.5,1,81.53846153846153,81.53846153846153,.6153846153846154,.6153846153846154,0,81.53846153846153
H000005,cabbage,1,bilog,80,ILOILO,DINGLE,80,50,1,1052,1052,1.6,1.6,0,1052
H000005,carrot,2,bilog,40,ILOILO,DINGLE,20,30,1,116.6666666666667,233.3333333333333,.6666666666666666,.6666666666666666,0,116.6666666666667
H000006,"preserved or processed meat (tocino, tapa, longaniza, etc)",1,putos,45,ILOILO,SAN ENRIQUE,45,50,3,180,180,.9,.9,0,180
H000007,loaf bread,1,large,60,ANTIQUE,CULASI,60,92.5,1,415.1351351351352,415.1351351351352,.6486486486486487,.6486486486486487,0,415.1351351351352
H000009,"liquor (e.g, whisky, coconut wine)",7,lipid / lapad,560,ANTIQUE,BUGASONG,80,80,3,375,2625,1,1,0,375
H000009,"preserved or processed meat (tocino, tapa, longaniza, etc)",1,putos,60,ANTIQUE,BUGASONG,60,80,2,168.75,168.75,.75,.75,0,168.75
H000010,"liquor (e.g, whisky, coconut wine)",3,lipid / lapad,210,NEGROS OCCIDENTAL,SAN ENRIQUE,70,79,3,332.2784810126582,996.8354430379748,.8860759493670886,.8860759493670886,0,332.2784810126582
H000010,"preserved or processed meat (tocino, tapa, longaniza, etc)",1,putos,38,NEGROS OCCIDENTAL,SAN ENRIQUE,38,50,3,186.2,186.2,.76,.76,0,186.2
H000010,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",4,gamay nga cup,80,NEGROS OCCIDENTAL,SAN ENRIQUE,20,27.5,2,72.72727272727272,290.9090909090909,.7272727272727273,.7272727272727273,0,72.72727272727272
H000010,cabbage,1,bilog,40,NEGROS OCCIDENTAL,SAN ENRIQUE,40,35,1,782.8571428571429,782.8571428571429,1.142857142857143,1.142857142857143,0,782.8571428571429
H000010,camote,2,bilog,20,NEGROS OCCIDENTAL,SAN ENRIQUE,10,10,1,191.3614260390244,382.7228520780487,1,1,0,191.3614260390244
H000012,cabbage,1,bilog,30,ILOILO,ESTANCIA,30,45,1,416.6666666666667,416.6666666666667,.6666666666666666,.6666666666666666,0,416.6666666666667
H000012,carrot,1,bilog,25,ILOILO,ESTANCIA,25,27.5,1,109.0909090909091,109.0909090909091,.9090909090909091,.9090909090909091,0,109.0909090909091
H000013,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",4,bilog,20,CAPIZ,TAPAZ,5,10,1,21.31313518533718,85.25254074134874,.5,.5,0,21.31313518533718
H000015,"crackers, cookies, buiscuits, chips/curls",13,putos,150,ILOILO,ALIMODIAN,11.53846153846154,60,1,16,208,.1923076923076923,.2,1,15.38461538461539
H000016,loaf bread,1,medium,60,NEGROS OCCIDENTAL,CANDONI,60,60,1,450,450,1,1,0,450
H000017,"liquor (e.g, whisky, coconut wine)",4,lipid / lapad,320,ILOILO,CALINOG,80,75,3,400,1600,1.066666666666667,1.066666666666667,0,400
H000022,"liquor (e.g, whisky, coconut wine)",1,lipid / lapad,80,NEGROS OCCIDENTAL,MURCIA,80,80,1,401.2216028777082,401.2216028777082,1,1,0,401.2216028777082
H000024,loaf bread,1,medium nga putos,45,ANTIQUE,TIBIAO,45,62.5,1,360,360,.72,.72,0,360
H000025,"liquor (e.g, whisky, coconut wine)",3,lipid / lapad,240,ILOILO,SANTA BARBARA,80,77.5,3,387.0967741935484,1161.290322580645,1.032258064516129,1.032258064516129,0,387.0967741935484
H000025,"preserved or processed meat (tocino, tapa, longaniza, etc)",2,putos,105,ILOILO,SANTA BARBARA,52.5,45,3,236.25,472.5,1.166666666666667,1.166666666666667,0,236.25
H000028,"liquor (e.g, whisky, coconut wine)",5,lipid / lapad,400,ILOILO,MINA,80,75.375,3,398.0099502487562,1990.049751243781,1.061359867330017,1.061359867330017,0,398.0099502487562
H000031,loaf bread,2,kasarangan nga putos,80,AKLAN,MAKATO,40,58.75,2,306.3829787234042,612.7659574468084,.6808510638297872,.6808510638297872,0,306.3829787234042
H000031,camote tops,1,bundle,10,AKLAN,MAKATO,10,20,1,387.5,387.5,.5,.5,0,387.5
H000034,"liquor (e.g, whisky, coconut wine)",7,lipid / lapad,476,ILOILO,BAROTAC NUEVO,68,77.5,2,329.0322580645162,2303.225806451613,.8774193548387097,.8774193548387097,0,329.0322580645162
H000035,"liquor (e.g, whisky, coconut wine)",2,lipid / lapad,120,CAPIZ,MA-AYON,60,80,3,281.25,562.5,.75,.75,0,281.25
H000035,loaf bread,1,small,50,CAPIZ,MA-AYON,50,55,1,272.7272727272727,272.7272727272727,.9090909090909091,.9090909090909091,0,272.7272727272727
H000036,loaf bread,1,dalagku nga putos,80,ILOILO,NEW LUCENA,80,88.75,3,576.9014084507043,576.9014084507043,.9014084507042254,.9014084507042254,0,576.9014084507043
H000036,"crackers, cookies, buiscuits, chips/curls",5,putos,250,ILOILO,NEW LUCENA,50,52.5,3,223.8095238095238,1119.047619047619,.9523809523809523,.9523809523809523,0,223.8095238095238
H000036,"preserved or processed meat (tocino, tapa, longaniza, etc)",3,putos,150,ILOILO,NEW LUCENA,50,75,3,71.66666666666667,215,.6666666666666666,.6666666666666666,0,71.66666666666667
