pull_province,pull_item,pull_municipal_city,harmonized_nsu_unit,point_id,p_g,n_merged,has_mp25,has_mp50,has_mp75,has_mun_med,has_prov_med,has_unique,d_uniq_weighed,branch,d_point_unconvertible,n_points,n_points_conv
AKLAN,cabbage,ALTAVAS,pieces or units,1,60,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,camote tops,ALTAVAS,bugkos,1,30,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,camote tops,ALTAVAS,bundle,1,20,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,carrot,ALTAVAS,pieces or units,1,25,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,chicken,ALTAVAS,pieces or units,1,185,1,1,0,0,0,0,0,0,3,0,3,3
AKLAN,chicken,ALTAVAS,pieces or units,2,300,1,0,1,0,0,0,0,0,3,0,3,3
AKLAN,chicken,ALTAVAS,pieces or units,3,375,1,0,0,1,0,0,0,0,3,0,3,3
AKLAN,chicken,ALTAVAS,whole (chicken),1,250,1,1,0,0,0,0,0,0,3,0,3,3
AKLAN,chicken,ALTAVAS,whole (chicken),2,280,1,0,1,0,0,0,0,0,3,0,3,3
AKLAN,chicken,ALTAVAS,whole (chicken),3,425,1,0,0,1,0,0,0,0,3,0,3,3
AKLAN,"crackers, cookies, buiscuits, chips/curls",ALTAVAS,pieces or units,1,40,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,"crackers, cookies, buiscuits, chips/curls",ALTAVAS,putos,1,65,1,1,1,0,0,0,0,0,2,0,2,2
AKLAN,"crackers, cookies, buiscuits, chips/curls",ALTAVAS,putos,2,108.75,1,0,0,1,0,0,0,0,2,0,2,2
AKLAN,fresh fish,ALTAVAS,pieces or units,1,56.375,2,1,1,0,0,0,0,0,3,0,2,2
AKLAN,fresh fish,ALTAVAS,pieces or units,2,92,1,0,0,1,0,0,0,0,3,0,2,2
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ALTAVAS,putos,1,20,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,"liquor (e.g, whisky, coconut wine)",ALTAVAS,lipid/lapad,1,75,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,"liquor (e.g, whisky, coconut wine)",ALTAVAS,long-neck,1,142.5,2,1,1,0,0,0,0,0,2,0,2,2
AKLAN,"liquor (e.g, whisky, coconut wine)",ALTAVAS,long-neck,2,293,1,0,0,1,0,0,0,0,2,0,2,2
AKLAN,loaf bread,ALTAVAS,large packs,1,79,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,loaf bread,ALTAVAS,medium packs,1,65,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,loaf bread,ALTAVAS,small packs,1,52.5,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,pork,ALTAVAS,slice,1,20,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,"prawns, lobster, shrimp",ALTAVAS,tumpok,1,40,2,1,1,0,0,0,0,0,3,0,2,2
AKLAN,"prawns, lobster, shrimp",ALTAVAS,tumpok,2,100,1,0,0,1,0,0,0,0,3,0,2,2
