pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,corrected_unit,size_ord,w_l0,n_l0,weighing_approach,w_l1,n_l1,w_l2,n_l2,w_l3,n_l3,grams_used,n_g_used,fallback_level,unconvertible
cabbage,AKLAN,ALTAVAS,pieces or units,g,small,527.5,2,3,695,5,722.5,226,655,1306,695,5,cell pooled across sizes,0
cabbage,AKLAN,ALTAVAS,pieces or units,g,medium,725,2,3,695,5,722.5,226,655,1306,695,5,cell pooled across sizes,0
cabbage,AKLAN,ALTAVAS,pieces or units,g,large,1200,1,3,695,5,722.5,226,655,1306,695,5,cell pooled across sizes,0
camote tops,AKLAN,ALTAVAS,bugkos,g,conventional_nsu,130,3,1,130,3,150,37,195,449,130,3,own cell x size,0
camote tops,AKLAN,ALTAVAS,bundle,g,medium,700,2,3,810,3,790,35,500,101,810,3,cell pooled across sizes,0
camote tops,AKLAN,ALTAVAS,bundle,g,large,1130,1,3,810,3,790,35,500,101,810,3,cell pooled across sizes,0
carrot,AKLAN,ALTAVAS,pieces or units,g,small,90,2,3,152.5,6,145,195,140,1169,152.5,6,cell pooled across sizes,0
carrot,AKLAN,ALTAVAS,pieces or units,g,medium,180,3,3,152.5,6,145,195,140,1169,152.5,6,cell pooled across sizes,0
carrot,AKLAN,ALTAVAS,pieces or units,g,large,630,1,3,152.5,6,145,195,140,1169,152.5,6,cell pooled across sizes,0
chicken,AKLAN,ALTAVAS,pieces or units,g,small,390,1,3,445,2,385,45,380,108,385,45,province x item x unit,0
chicken,AKLAN,ALTAVAS,pieces or units,g,medium,500,1,3,445,2,385,45,380,108,385,45,province x item x unit,0
chicken,AKLAN,ALTAVAS,whole (chicken),g,large,1357.5,2,3,1357.5,2,1265,83,1120,468,1265,83,province x item x unit,0
"crackers, cookies, buiscuits, chips/curls",AKLAN,ALTAVAS,pieces or units,g,small,24.5,4,3,25.5,8,30,96,32,505,25.5,8,cell pooled across sizes,0
"crackers, cookies, buiscuits, chips/curls",AKLAN,ALTAVAS,pieces or units,g,medium,27,2,3,25.5,8,30,96,32,505,25.5,8,cell pooled across sizes,0
"crackers, cookies, buiscuits, chips/curls",AKLAN,ALTAVAS,pieces or units,g,large,60,2,3,25.5,8,30,96,32,505,25.5,8,cell pooled across sizes,0
"crackers, cookies, buiscuits, chips/curls",AKLAN,ALTAVAS,putos,g,medium,270,5,2,270,5,280,93,210,482,270,5,own cell x size,0
fresh fish,AKLAN,ALTAVAS,pieces or units,g,small,95,3,3,95,3,387.5,62,390,685,95,3,own cell x size,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,ALTAVAS,putos,g,small,55,2,3,55,2,55,7,58,82,55,7,province x item x unit,0
"liquor (e.g, whisky, coconut wine)",AKLAN,ALTAVAS,lipid/lapad,mL,medium,375,3,3,375,3,375,76,375,618,375,3,own cell x size,0
"liquor (e.g, whisky, coconut wine)",AKLAN,ALTAVAS,long-neck,mL,medium,750,4,2,750,4,750,104,750,478,750,4,own cell x size,0
loaf bread,AKLAN,ALTAVAS,large packs,g,large,640,4,3,640,4,640,43,640,411,640,4,own cell x size,0
loaf bread,AKLAN,ALTAVAS,medium packs,g,medium,450,4,3,450,4,450,51,450,352,450,4,own cell x size,0
loaf bread,AKLAN,ALTAVAS,small packs,g,small,360,3,3,360,3,360,33,370,259,360,3,own cell x size,0
pork,AKLAN,ALTAVAS,slice,g,small,160,1,3,160,1,160,1,425,4,425,4,item x unit (national),0
"prawns, lobster, shrimp",AKLAN,ALTAVAS,tumpok,g,conventional_nsu,135,3,1,135,3,290,23,260,147,135,3,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,ALTAVAS,pieces or units,g,medium,70,3,2,70,3,65,28,65,33,70,3,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,ALTAVAS,putos,g,small,240,2,3,305,4,300,81,250,473,305,4,cell pooled across sizes,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,ALTAVAS,putos,g,large,680,2,3,305,4,300,81,250,473,305,4,cell pooled across sizes,0
cabbage,AKLAN,BANGA,pieces or units,g,small,345,6,3,717.5,18,722.5,226,655,1306,345,6,own cell x size,0
cabbage,AKLAN,BANGA,pieces or units,g,medium,725,7,3,717.5,18,722.5,226,655,1306,725,7,own cell x size,0
cabbage,AKLAN,BANGA,pieces or units,g,large,1140,5,3,717.5,18,722.5,226,655,1306,1140,5,own cell x size,0
camote tops,AKLAN,BANGA,bundle,g,conventional_nsu,1080,9,1,1080,9,790,35,500,101,1080,9,own cell x size,0
carrot,AKLAN,BANGA,pieces or units,g,small,98,6,3,140,16,145,195,140,1169,98,6,own cell x size,0
carrot,AKLAN,BANGA,pieces or units,g,medium,145,5,3,140,16,145,195,140,1169,145,5,own cell x size,0
carrot,AKLAN,BANGA,pieces or units,g,large,205,5,3,140,16,145,195,140,1169,205,5,own cell x size,0
chicken,AKLAN,BANGA,pieces or units,g,small,187.5,4,3,270,7,385,45,380,108,187.5,4,own cell x size,0
chicken,AKLAN,BANGA,pieces or units,g,medium,560,3,3,270,7,385,45,380,108,560,3,own cell x size,0
chicken,AKLAN,BANGA,whole (chicken),g,medium,1120,5,3,1272.5,10,1265,83,1120,468,1120,5,own cell x size,0
chicken,AKLAN,BANGA,whole (chicken),g,large,1765,5,3,1272.5,10,1265,83,1120,468,1765,5,own cell x size,0
"crackers, cookies, buiscuits, chips/curls",AKLAN,BANGA,pieces or units,g,medium,29,6,2,29,6,30,96,32,505,29,6,own cell x size,0
"crackers, cookies, buiscuits, chips/curls",AKLAN,BANGA,putos,g,medium,310,4,2,310,4,280,93,210,482,310,4,own cell x size,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,BANGA,pieces or units,g,small,85,1,3,85,1,75,5,60,94,75,5,province x item x unit,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,BANGA,putos,g,medium,60,1,3,60,1,55,7,58,82,55,7,province x item x unit,0
"liquor (e.g, whisky, coconut wine)",AKLAN,BANGA,lipid/lapad,mL,medium,375,6,3,375,6,375,76,375,618,375,6,own cell x size,0
