grp,pull_province,pull_item,harmonized_nsu_unit,n_pairs,n_price,n_mun,gpp_med,cv_gpp,cv_grams,cv_p,estimable,tighten
"ILOILO ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) putos",ILOILO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,7,7,4,2.125,2.081701871244471,1.055846623366894,1.129616632868275,1,1.971594950605913
"CAPIZ ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) pieces or units",CAPIZ,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,6,6,6,1.466666666666667,1.057949424341498,1.208151661231633,.224156599362472,1,.8756760084764414
"NEGROS OCCIDENTAL ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) pieces or units",NEGROS OCCIDENTAL,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,11,11,7,2.346938775510204,.9651883825720137,1.191067088262283,.4442855476348756,1,.8103560177959273
"NEGROS OCCIDENTAL preserved or processed meat (tocino, tapa, longaniza, etc) bilog",NEGROS OCCIDENTAL,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,5,5,5,1.136363636363636,.963779122348502,.7053343479708603,.2766312312317148,1,1.366414559451341
"CAPIZ preserved or processed meat (tocino, tapa, longaniza, etc) bilog",CAPIZ,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,5,5,3,3.611111111111111,.9271761299601827,.8693568689379101,.4429381155347505,1,1.066508085560893
"CAPIZ preserved or processed meat (tocino, tapa, longaniza, etc) putos",CAPIZ,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,21,13,13,3.470588235294118,.8071833597774747,.803095519515441,.3765055797588994,1,1.005090104679578
"ILOILO crackers, cookies, buiscuits, chips/curls putos",ILOILO,"crackers, cookies, buiscuits, chips/curls",putos,57,39,26,1.472,.7171551501990487,.7043358495204313,.4904500821214591,1,1.018200551182147
ILOILO chicken pieces or units,ILOILO,chicken,pieces or units,4,3,2,1.108333333333333,.7041708284040389,.6086059658869399,.2013289182738867,1,1.157022552971247
"ANTIQUE crackers, cookies, buiscuits, chips/curls putos",ANTIQUE,"crackers, cookies, buiscuits, chips/curls",putos,12,11,5,1.033561643835617,.6843445354072837,.7211113437069953,.3181993450595831,1,.9490136875247233
"NEGROS OCCIDENTAL preserved or processed meat (tocino, tapa, longaniza, etc) putos",NEGROS OCCIDENTAL,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,21,13,17,2.5,.6557051692001471,.6050152318795381,.2852462370031357,1,1.083782910990746
ANTIQUE chicken pieces or units,ANTIQUE,chicken,pieces or units,15,8,7,1.19047619047619,.6437922242077723,.5473627358654196,.2965755031652991,1,1.17617108733186
CAPIZ loaf bread small packs,CAPIZ,loaf bread,small packs,6,6,5,6.75,.6366341072973977,.2637993590653305,.6283368936655355,1,2.4133269677116
"ANTIQUE preserved or processed meat (tocino, tapa, longaniza, etc) putos",ANTIQUE,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,6,5,3,4.534636318654131,.6350531491661832,.634273969402823,.2985948600094483,1,1.001228459310878
"ILOILO preserved or processed meat (tocino, tapa, longaniza, etc) bilog",ILOILO,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,8,8,5,1.373469387755102,.6062423058277026,.956779263130628,.6055169926418557,1,.6336281827890463
"AKLAN liquor (e.g, whisky, coconut wine) long-neck",AKLAN,"liquor (e.g, whisky, coconut wine)",long-neck,14,14,9,2.193396226415095,.5724217485176846,.2483258164938444,.4780349441225619,1,2.305123795019814
"ILOILO crackers, cookies, buiscuits, chips/curls pieces or units",ILOILO,"crackers, cookies, buiscuits, chips/curls",pieces or units,39,26,18,.84375,.5590017405823504,.6087133943808828,.6628275262666069,1,.9183332348894776
ILOILO fresh fish pieces or units,ILOILO,fresh fish,pieces or units,58,29,21,3.15,.5574492849233514,.4907838053602703,.5193669534785865,1,1.135834717517103
"ILOILO prawns, lobster, shrimp tumpok",ILOILO,"prawns, lobster, shrimp",tumpok,10,4,6,4.55,.5502670689212779,.4538210463014783,.3843032803989253,1,1.212519942399783
"ILOILO ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) pieces or units",ILOILO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,22,20,14,1.727551020408163,.5484499874118975,.3289536371043439,.6064859533840458,1,1.667256189169082
ANTIQUE loaf bread small packs,ANTIQUE,loaf bread,small packs,6,6,5,9.285714285714285,.5426212688101448,.0730296743340221,.3621075127391329,1,7.430147727734769
"AKLAN crackers, cookies, buiscuits, chips/curls putos",AKLAN,"crackers, cookies, buiscuits, chips/curls",putos,15,13,10,3.333333333333333,.4922658415644239,.382175752885203,.5202428343349058,1,1.288061416372193
"ILOILO ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) small cup",ILOILO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,21,17,11,3.125,.4736502394721013,.7084774128047444,.4630878667438654,1,.6685467043995075
"AKLAN preserved or processed meat (tocino, tapa, longaniza, etc) putos",AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,15,11,9,2.608695652173913,.4449233113013137,.60185425342499,.2053355751269088,1,.7392542443114347
AKLAN chicken pieces or units,AKLAN,chicken,pieces or units,14,11,6,1.733333333333333,.4315057725351732,.5188748607640562,.4656037277320638,1,.8316181899808563
"ILOILO liquor (e.g, whisky, coconut wine) lipid/lapad",ILOILO,"liquor (e.g, whisky, coconut wine)",lipid/lapad,50,23,40,3.681120144534779,.4264443011096874,.3627537758837756,.3431677260097923,1,1.175575085526657
CAPIZ fresh fish pieces or units,CAPIZ,fresh fish,pieces or units,19,16,7,2.9375,.426013627955194,.5585144442928112,.3170889155904024,1,.7627620597970582
"ILOILO preserved or processed meat (tocino, tapa, longaniza, etc) putos",ILOILO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,55,34,28,3.333333333333333,.4137080058826433,.6818840876428512,.4480544998347892,1,.6067130959350531
AKLAN loaf bread small packs,AKLAN,loaf bread,small packs,6,6,5,12.59130434782609,.409339472265992,.1862688743000064,.4469341160879106,1,2.197573125431069
"ANTIQUE ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) small cup",ANTIQUE,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,6,6,5,3.484848484848485,.4016934370353236,.2456228379292054,.4947676274807333,1,1.635407523265819
