pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,pull_price,item_nsu_hetero_type,corrected_weight,p_real,gpp,n_pairs,n_price,n_mun,gpp_loo,w_pred,ratio
"crackers, cookies, buiscuits, chips/curls",AKLAN,ALTAVAS,putos,64.5,municipality_median,320,64.5,4.961240310077519,59,8,9,4.615384615384615,297.6923076923077,.9302884615384615
"crackers, cookies, buiscuits, chips/curls",AKLAN,ALTAVAS,putos,64.5,municipality_median,270,64.5,4.186046511627907,59,8,9,4.615384615384615,297.6923076923077,1.102564102564102
"crackers, cookies, buiscuits, chips/curls",AKLAN,ALTAVAS,putos,64.5,municipality_median,250,64.5,3.875968992248062,59,8,9,4.615384615384615,297.6923076923077,1.190769230769231
"crackers, cookies, buiscuits, chips/curls",AKLAN,ALTAVAS,putos,64.5,municipality_median,220,64.5,3.410852713178294,59,8,9,4.615384615384615,297.6923076923077,1.353146853146853
"crackers, cookies, buiscuits, chips/curls",AKLAN,ALTAVAS,putos,64.5,municipality_median,320,64.5,4.961240310077519,59,8,9,4.615384615384615,297.6923076923077,.9302884615384615
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,ALTAVAS,pieces or units,12,municipality_median,65,12.10129893909801,5.371324212972866,11,3,4,5.909090909090909,71.50767554921552,1.100118085372547
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,ALTAVAS,pieces or units,12,municipality_median,70,12.10129893909801,5.784502998586163,11,3,4,5.909090909090909,71.50767554921552,1.02153822213165
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,ALTAVAS,pieces or units,12,municipality_median,70,12.10129893909801,5.784502998586163,11,3,4,5.909090909090909,71.50767554921552,1.02153822213165
"crackers, cookies, buiscuits, chips/curls",AKLAN,BANGA,pieces or units,8,municipality_median,28,8,3.5,35,3,5,3.703703703703704,29.62962962962963,1.058201058201058
"crackers, cookies, buiscuits, chips/curls",AKLAN,BANGA,pieces or units,8,municipality_median,25,8,3.125,35,3,5,3.703703703703704,29.62962962962963,1.185185185185185
"crackers, cookies, buiscuits, chips/curls",AKLAN,BANGA,pieces or units,8,municipality_median,32,8,4,35,3,5,3.703703703703704,29.62962962962963,.9259259259259259
"crackers, cookies, buiscuits, chips/curls",AKLAN,BANGA,pieces or units,8,municipality_median,25,8,3.125,35,3,5,3.703703703703704,29.62962962962963,1.185185185185185
"crackers, cookies, buiscuits, chips/curls",AKLAN,BANGA,pieces or units,8,municipality_median,30,8,3.75,35,3,5,3.703703703703704,29.62962962962963,.9876543209876544
"crackers, cookies, buiscuits, chips/curls",AKLAN,BANGA,pieces or units,8,municipality_median,30,8,3.75,35,3,5,3.703703703703704,29.62962962962963,.9876543209876544
"crackers, cookies, buiscuits, chips/curls",AKLAN,BANGA,putos,59,municipality_median,330,59,5.593220338983051,59,8,9,4.615384615384615,272.3076923076923,.825174825174825
"crackers, cookies, buiscuits, chips/curls",AKLAN,BANGA,putos,59,municipality_median,280,59,4.745762711864407,59,8,9,4.615384615384615,272.3076923076923,.9725274725274724
"crackers, cookies, buiscuits, chips/curls",AKLAN,BANGA,putos,59,municipality_median,320,59,5.423728813559322,59,8,9,4.615384615384615,272.3076923076923,.8509615384615383
"crackers, cookies, buiscuits, chips/curls",AKLAN,BANGA,putos,59,municipality_median,300,59,5.084745762711864,59,8,9,4.615384615384615,272.3076923076923,.9076923076923076
