pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,corrected_unit,o2_cf,o2_rows,o2_maxrung,o1_grams,o1_n,ratio,logr
cabbage,AKLAN,ALTAVAS,pieces or units,g,695,13,0,695,5,1,0
camote tops,AKLAN,ALTAVAS,bugkos,g,130,8,0,130,3,1,0
camote tops,AKLAN,ALTAVAS,bundle,g,810,168,0,810,3,1,0
carrot,AKLAN,ALTAVAS,pieces or units,g,122,22,0,152.5,6,.8,-.0969100130080564
chicken,AKLAN,ALTAVAS,pieces or units,g,390,10,0,445,2,.8764044943820225,-.0572954039544324
chicken,AKLAN,ALTAVAS,whole (chicken),g,1065,16,0,1357.5,2,.7845303867403315,-.105390230486128
"crackers, cookies, buiscuits, chips/curls",AKLAN,ALTAVAS,pieces or units,g,5.1,18,0,25.5,8,.2,-.6989700043360187
"crackers, cookies, buiscuits, chips/curls",AKLAN,ALTAVAS,putos,g,287.1910850639313,10,0,270,5,1.063670685421968,.0268071903262024
fresh fish,AKLAN,ALTAVAS,pieces or units,g,68.24833702882484,6,0,95,3,.7184035476718403,-.1436315316713484
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,ALTAVAS,putos,g,27.5,5,0,55,2,.5,-.3010299956639811
"liquor (e.g, whisky, coconut wine)",AKLAN,ALTAVAS,lipid/lapad,mL,375,45,0,375,3,1,0
"liquor (e.g, whisky, coconut wine)",AKLAN,ALTAVAS,long-neck,mL,775.9097781069056,15,0,750,4,1.034546370809208,.0147499615413609
loaf bread,AKLAN,ALTAVAS,large packs,g,607.5949367088607,19,0,640,4,.9493670886075949,-.0225658278987414
loaf bread,AKLAN,ALTAVAS,medium packs,g,415.3846153846154,35,0,450,4,.9230769230769231,-.0347621062592119
loaf bread,AKLAN,ALTAVAS,small packs,g,222.8571428571428,14,0,360,3,.619047619047619,-.2082759424270825
pork,AKLAN,ALTAVAS,slice,g,160,1,0,160,1,1,0
"prawns, lobster, shrimp",AKLAN,ALTAVAS,tumpok,g,135,18,0,135,3,1,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,ALTAVAS,pieces or units,g,67.7561256219323,24,0,70,3,.9679446517418899,-.0141494754708545
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,ALTAVAS,putos,g,313.0434782608696,56,0,305,4,1.026372059871703,.0113048210668897
cabbage,AKLAN,BANGA,pieces or units,g,476.6304347826087,6,0,725,18,.6574212893553223,-.1821562362144896
camote tops,AKLAN,BANGA,bundle,g,1080,64,0,1080,9,1,0
carrot,AKLAN,BANGA,pieces or units,g,80.76923076923077,8,0,145,16,.5570291777188329,-.2541220554718736
chicken,AKLAN,BANGA,pieces or units,g,187.5,6,0,373.75,7,.5016722408026756,-.2995799292687484
chicken,AKLAN,BANGA,whole (chicken),g,1120,7,0,1442.5,10,.7764298093587522,-.1098977991575874
"crackers, cookies, buiscuits, chips/curls",AKLAN,BANGA,pieces or units,g,30.96647497403565,15,0,29,6,1.067809481863298,.0284937729581379
"crackers, cookies, buiscuits, chips/curls",AKLAN,BANGA,putos,g,331.4437500709152,22,0,310,4,1.069173387325533,.0290481402439555
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,BANGA,pieces or units,g,28.33333333333333,19,0,85,1,.3333333333333333,-.4771212547196624
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,BANGA,putos,g,12,1,0,60,1,.2,-.6989700043360187
"liquor (e.g, whisky, coconut wine)",AKLAN,BANGA,lipid/lapad,mL,375,16,0,375,6,1,0
"liquor (e.g, whisky, coconut wine)",AKLAN,BANGA,long-neck,mL,337.5,6,0,750,7,.45,-.3467874862246563
loaf bread,AKLAN,BANGA,large packs,g,512,12,0,640,4,.8,-.0969100130080564
loaf bread,AKLAN,BANGA,medium packs,g,450,9,0,450,5,1,0
loaf bread,AKLAN,BANGA,small packs,g,216,17,2,360,2,.6,-.2218487496163564
mango,AKLAN,BANGA,pieces or units,g,72.22222222222223,1,0,260,5,.2777777777777778,-.5563025007672872
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,BANGA,putos,g,365.9405940594059,18,0,360,1,1.016501650165016,.0071080879981392
cabbage,AKLAN,BATAN,pieces or units,g,703.8461538461539,9,0,762.5,23,.9230769230769231,-.0347621062592119
camote tops,AKLAN,BATAN,bugkos,g,160,8,0,160,3,1,0
carrot,AKLAN,BATAN,pieces or units,g,116.6666666666667,17,0,180,15,.6481481481481481,-.1883257154726929
chicken,AKLAN,BATAN,pieces or units,g,330,1,0,330,7,1,0
chicken,AKLAN,BATAN,whole (chicken),g,1607.5,9,0,1665,6,.9654654654654654,-.015263256246079
"crackers, cookies, buiscuits, chips/curls",AKLAN,BATAN,pieces or units,g,9.600000000000001,9,0,48,5,.2,-.6989700043360187
"crackers, cookies, buiscuits, chips/curls",AKLAN,BATAN,putos,g,259.2,26,0,285,6,.9094736842105263,-.0412098628099545
fresh fish,AKLAN,BATAN,pieces or units,g,155,2,0,155,9,1,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,BATAN,pieces or units,mL,22,28,0,110,2,.2,-.6989700043360187
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,BATAN,putos,mL,541.6666666666666,1,0,650,2,.8333333333333333,-.0791812460476249
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,BATAN,small cup,mL,27.5,11,0,110,2,.2500000000000001,-.6020599913279622
"liquor (e.g, whisky, coconut wine)",AKLAN,BATAN,lipid/lapad,mL,336.2068965517241,24,0,375,3,.896551724137931,-.0474246499281381
"liquor (e.g, whisky, coconut wine)",AKLAN,BATAN,long-neck,mL,721.1538461538461,18,0,750,5,.9615384615384615,-.0170333392987804
loaf bread,AKLAN,BATAN,large packs,g,564.5528455284552,20,0,620,5,.9105691056910569,-.0406870887692163
loaf bread,AKLAN,BATAN,medium packs,g,468,17,0,450,1,1.04,.0170333392987804
loaf bread,AKLAN,BATAN,small packs,g,288.75,6,0,330,2,.875,-.0579919469776868
mango,AKLAN,BATAN,pieces or units,g,81.66666666666667,3,0,250,15,.3266666666666667,-.4858951790271675
"prawns, lobster, shrimp",AKLAN,BATAN,tumpok,g,152,7,0,190,2,.8,-.0969100130080564
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,BATAN,cans,g,152.5,1,0,155,18,.9838709677419355,-.0070618544874868
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,BATAN,pieces or units,g,9.191489361702127,19,0,45,1,.2042553191489362,-.689826624896149
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,BATAN,putos,g,279.5833333333333,23,0,305,4,.9166666666666666,-.0377885608893998
cabbage,AKLAN,BURUANGA,pieces or units,g,750,2,0,707.5,13,1.060070671378092,.0253348191953722
cabbage,AKLAN,BURUANGA,small packs,g,117.5,1,0,235,3,.5,-.3010299956639811
camote,AKLAN,BURUANGA,binilog,g,100,1,0,107.5,8,.9302325581395349,-.0314084642516241
camote tops,AKLAN,BURUANGA,bundle,g,897.5,22,0,897.5,2,1,0
carrot,AKLAN,BURUANGA,pieces or units,g,74.48275862068965,4,0,137.5,13,.541692789968652,-.2662469449143067
chicken,AKLAN,BURUANGA,pieces or units,g,600,1,0,600,3,1,0
chicken,AKLAN,BURUANGA,whole (chicken),g,1180,8,0,1185,7,.9957805907172996,-.0018363430399973
"crackers, cookies, buiscuits, chips/curls",AKLAN,BURUANGA,pack,g,104.6431881731044,2,0,98,1,1.067787634419433,.0284848871769741
"crackers, cookies, buiscuits, chips/curls",AKLAN,BURUANGA,putos,g,309.6584139816356,8,0,290,24,1.067787634419433,.0284848871769741
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,BURUANGA,pack,g,20,1,0,60,3,.3333333333333333,-.4771212547196624
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,BURUANGA,small cup,g,39.16666666666667,3,0,117.5,2,.3333333333333334,-.4771212547196623
"liquor (e.g, whisky, coconut wine)",AKLAN,BURUANGA,lipid/lapad,mL,375,5,0,375,9,1,0
loaf bread,AKLAN,BURUANGA,large packs,g,600,1,0,600,3,1,0
loaf bread,AKLAN,BURUANGA,medium packs,g,232.5,2,0,450,5,.5166666666666667,-.2867895565493709
loaf bread,AKLAN,BURUANGA,small packs,g,171.6666666666667,9,0,350,4,.4904761904761905,-.3093820700287471
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,BURUANGA,pieces or units,g,60.04672897196262,2,0,250,3,.2401869158878505,-.619450654353915
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,BURUANGA,putos,g,206.25,7,0,295,8,.6991525423728814,-.1554280587562003
cabbage,AKLAN,IBAJAY,pieces or units,g,502,29,0,645,14,.7782945736434108,-.1088559974902484
camote,AKLAN,IBAJAY,binilog,g,150,1,0,150,9,1,0
camote tops,AKLAN,IBAJAY,bugkos,g,162.5,15,0,162.5,4,1,0
carrot,AKLAN,IBAJAY,pieces or units,g,74.35897435897436,41,0,145,15,.5128205128205129,-.290034611362518
chicken,AKLAN,IBAJAY,pieces or units,g,172.5,5,0,335,7,.5149253731343284,-.2882557076275523
chicken,AKLAN,IBAJAY,whole (chicken),g,1445,27,0,1455,7,.993127147766323,-.0029951462293594
"crackers, cookies, buiscuits, chips/curls",AKLAN,IBAJAY,pieces or units,g,5.76,30,0,40,14,.144,-.8416375079047503
"crackers, cookies, buiscuits, chips/curls",AKLAN,IBAJAY,putos,g,320.3428445589895,27,0,300,2,1.067809481863298,.028493772958138
fresh fish,AKLAN,IBAJAY,pieces or units,g,188,1,0,240,14,.7833333333333333,-.1060533924479262
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,IBAJAY,pieces or units,mL,31.42857142857143,3,0,110,2,.2857142857142857,-.5440680443502756
