pull_item,cf_min,cf_p25,cf_med,cf_p75,cf_max,n_rows,tot_g
camote tops,22,155,210,317.5,2890,10536,7633449.924398323
"preserved or processed meat (tocino, tapa, longaniza, etc)",4,151.1965931438849,229,250,4068.845065449645,4542,2135278.66020285
"liquor (e.g, whisky, coconut wine)",50,351.5625,375,401.2216028777082,1611.666662668386,3917,3383631.676681696
loaf bread,12,339.8601398601399,442.3076923076923,526.5822784810126,3200,3822,3998052.744853493
chicken,14.37937286795525,963.2044198895027,1072.5,1150,2360.70796460177,2654,3667862.319461909
"crackers, cookies, buiscuits, chips/curls",3.854166666666667,10,46,236.2962962962963,1712.398797095517,2578,762670.0020687751
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",6.315789473684211,27.77777777777778,57.14285714285715,100,1025.331427593639,2530,784701.7103252657
carrot,18,65.71428571428571,94.28571428571429,127.8108552530516,625,1470,283090.6923346798
cabbage,39.58333333333334,403.9166666666667,581.5384615384615,763.6363636363636,3375,1309,1050355.131102044
rice,310,410,410,425,25000,517,5115282.801160812
fresh fish,24,167.6211741361408,367.4999999999999,570,1450,426,450685.6172113361
"prawns, lobster, shrimp",15,155.343137254902,230,298.8460537814762,1291.666666666667,288,105190.4789088188
mango,44.44444444444444,149.9044495297475,201.4142659627809,238.353023086891,572.4038865278909,186,191298.7463611818
camote,20.82142857142857,100,140,185,1070,125,97060.61061726746
pork,5,160,262.1471427630883,472.100602110916,1562.5,9,3679.399502126787
beef,517.5,836.25,1352.5,1807.226279652712,2064.452559305424,4,5286.952559305424
"mineral or spring water, all drinking water sold in containers",250,250,625,1000,1000,2,2000
beer,4611.117876804712,4611.117876804712,4611.117876804712,4611.117876804712,4611.117876804712,1,4611.117876804712
