pull_item,n_hh,gppd_med,gppd_p90,tot
rice,14970,321.4285714285714,642.8571428571429,158355762.7193329
fresh fish,13674,61.22448979591837,142.8571428571429,27070831.92075302
camote tops,10544,17.14285714285714,65.71428571428571,7650079.924398324
chicken,7549,35.71428571428572,88.71428571428571,9449062.883087927
"mineral or spring water, all drinking water sold in containers",6828,1351.935714285714,3379.839285714286,307434918.374229
"preserved or processed meat (tocino, tapa, longaniza, etc)",4785,11.9047619047619,35.71428571428572,2384467.356337863
"liquor (e.g, whisky, coconut wine)",4105,23.4375,80.35714285714286,4101170.646853428
pork,3801,35.71428571428572,71.42857142857143,4189775.149616896
loaf bread,3800,22.56183938106135,74.85714285714286,3979724.607456845
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2738,6.285714285714286,30.95238095238095,990324.2152829056
camote,2687,47.61904761904761,142.8571428571429,4611812.860694755
"crackers, cookies, buiscuits, chips/curls",2562,5.639097744360903,25.02017756255045,763396.0405224139
cabbage,2377,20.35714285714286,60.31746031746031,1800993.642670309
carrot,2032,7.142857142857143,28.57142857142857,660269.1988274903
mango,1796,47.61904761904761,142.8571428571429,3113073.746385024
"prawns, lobster, shrimp",1042,20.40816326530612,71.42857142857143,763340.9788432536
beef,921,35.71428571428572,71.42857142857143,844201.9525509608
beer,445,47.14285714285715,142.8571428571429,687473.1178768047
