id,pull_province,pull_municipal_city,pull_item,harmonized_nsu_unit,weighing_approach,item_nsu_hetero_type,unit,weight,raw_canonical,published,corrected_unit,magnitude_corrected,decades_moved,snap_rule,snap_referee,snap_block,disputed,step1_flagged,unusable,any_uncertainty,cleaning_notes
2,AKLAN,ALTAVAS,cabbage,pieces or units,"Size-based (small, medium, large)",small_size,2,475.0,475.0,475.0,g,False,0.0,log10 median,prov_hetero,0,False,False,False,False,
1,AKLAN,ALTAVAS,cabbage,pieces or units,"Size-based (small, medium, large)",medium_size,2,0.58,0.58,580.0,g,True,3.0,log10 median,prov_hetero,0,False,False,False,False,
3,AKLAN,ALTAVAS,cabbage,pieces or units,"Size-based (small, medium, large)",medium_size,2,695.0,695.0,695.0,g,False,0.0,log10 median,prov_hetero,0,False,False,False,False,
5,AKLAN,ALTAVAS,cabbage,pieces or units,"Size-based (small, medium, large)",medium_size,2,0.755,0.755,755.0,g,True,3.0,log10 median,prov_hetero,0,False,False,False,False,
4,AKLAN,ALTAVAS,cabbage,pieces or units,"Size-based (small, medium, large)",large_size,1,1.2,1200.0,1200.0,g,False,0.0,log10 median,prov_hetero,0,False,False,False,False,
8,AKLAN,ALTAVAS,camote tops,bugkos,"Conventional NSU (eg. ganta, salmon, salop)",conventional_nsu,2,0.125,0.125,125.0,g,True,3.0,log10 median,prov_hetero,0,False,False,False,False,
6,AKLAN,ALTAVAS,camote tops,bugkos,"Conventional NSU (eg. ganta, salmon, salop)",conventional_nsu,2,0.145,0.145,145.0,g,True,3.0,log10 median,prov_hetero,0,False,False,False,False,
7,AKLAN,ALTAVAS,camote tops,bugkos,"Conventional NSU (eg. ganta, salmon, salop)",conventional_nsu,2,0.13,0.13,130.0,g,True,3.0,log10 median,prov_hetero,0,False,False,False,False,
11,AKLAN,ALTAVAS,camote tops,bundle,"Size-based (small, medium, large)",medium_size,2,0.59,0.59,590.0,g,True,3.0,log10 median,prov,0,False,True,False,True,
9,AKLAN,ALTAVAS,camote tops,bundle,"Size-based (small, medium, large)",medium_size,2,0.81,0.81,810.0,g,True,3.0,log10 median,prov,1,True,True,False,True,
