province,pull_municipal_city,cons_name,unit_raw,n_weighings,has_price_row,has_price_value,price_composition
AKLAN,ALTAVAS,camote tops,bugkos,3,True,True,mun_median
AKLAN,ALTAVAS,"prawns, lobster, shrimp",tumpok,3,True,True,full_triple
AKLAN,BANGA,camote tops,bundle,9,True,True,mun_median
AKLAN,BATAN,camote tops,bugkos,3,True,True,mun_median
AKLAN,BATAN,"prawns, lobster, shrimp",tumpok,2,True,True,full_triple
AKLAN,BURUANGA,camote tops,bundle,2,True,True,mun_median
AKLAN,IBAJAY,camote tops,bugkos,4,True,True,mun_median
AKLAN,IBAJAY,"prawns, lobster, shrimp",tumpok,3,True,True,prov_median + unique
AKLAN,LIBACAO,camote tops,bugkos,3,True,True,mun_median
AKLAN,LIBACAO,camote tops,bundle,3,True,True,mun_median
AKLAN,MADALAG,camote tops,bugkos,4,True,True,prov_median
AKLAN,MAKATO,camote tops,bundle,6,True,True,mun_median
AKLAN,MALAY,camote tops,bugkos,6,True,True,mun_median
AKLAN,MALINAO,camote tops,1bugkus,4,True,True,prov_median
AKLAN,MALINAO,camote tops,2bond,4,True,True,prov_median
AKLAN,MALINAO,camote tops,3bugkos,4,True,True,prov_median
AKLAN,NABAS,camote tops,bugkos,5,True,True,prov_median
AKLAN,NEW WASHINGTON,camote tops,bugkos,5,True,True,prov_median
AKLAN,NEW WASHINGTON,camote tops,bundle,5,True,True,mun_median
AKLAN,NEW WASHINGTON,"prawns, lobster, shrimp",tumpok,4,True,True,prov_median + unique
AKLAN,TANGALAN,camote tops,bundle,3,True,True,mun_median
ANTIQUE,BUGASONG,"crackers, cookies, buiscuits, chips/curls",bilog,7,True,True,mun_median
ANTIQUE,BUGASONG,"crackers, cookies, buiscuits, chips/curls",putos,7,True,True,full_triple
ANTIQUE,BUGASONG,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,4,True,True,full_triple
ANTIQUE,CULASI,"crackers, cookies, buiscuits, chips/curls",putos,9,True,True,mun_median
ANTIQUE,CULASI,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,7,True,True,full_triple
ANTIQUE,HAMTIC,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,5,True,True,prov_median
ANTIQUE,HAMTIC,"liquor (e.g, whisky, coconut wine)",lipid / lapad,8,True,True,full_triple
ANTIQUE,HAMTIC,"prawns, lobster, shrimp",tumpok,2,True,True,prov_median + unique
ANTIQUE,HAMTIC,rice,ganta,3,True,True,prov_median + unique
ANTIQUE,LAUA-AN,camote tops,bugkos,8,True,True,mun_median
ANTIQUE,LAUA-AN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,2,True,True,prov_median
ANTIQUE,LAUA-AN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,3,True,True,full_triple
ANTIQUE,LIBERTAD,loaf bread,gagmay nga putos,3,True,True,full_triple
ANTIQUE,LIBERTAD,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,5,True,True,full_triple
ANTIQUE,PANDAN,cabbage,pack,3,True,True,prov_median
ANTIQUE,PANDAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,2,True,True,prov_median + unique
ANTIQUE,PANDAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,5,True,True,full_triple
ANTIQUE,PATNONGON,cabbage,mixmix,3,True,True,prov_median
ANTIQUE,PATNONGON,camote,tumpok,9,True,True,prov_median
ANTIQUE,PATNONGON,camote tops,bugkos,9,True,True,mun_median
ANTIQUE,PATNONGON,carrot,mixmix,4,True,True,prov_median
ANTIQUE,PATNONGON,"crackers, cookies, buiscuits, chips/curls",putos,6,True,True,full_triple
ANTIQUE,PATNONGON,fresh fish,tumpok,1,True,True,prov_median
ANTIQUE,PATNONGON,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,5,True,True,prov_median + unique
ANTIQUE,PATNONGON,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,5,True,True,full_triple
ANTIQUE,SAN REMIGIO,camote,tumpok,4,True,True,prov_median + unique
ANTIQUE,SAN REMIGIO,camote tops,bugkos,6,True,True,mun_median
ANTIQUE,SAN REMIGIO,"crackers, cookies, buiscuits, chips/curls",putos,9,True,True,full_triple
ANTIQUE,SAN REMIGIO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,1,True,True,prov_median + unique
ANTIQUE,SAN REMIGIO,loaf bread,dalagku nga putos,3,True,True,prov_median + unique
ANTIQUE,SAN REMIGIO,loaf bread,medium nga putos,4,True,True,full_triple
ANTIQUE,SAN REMIGIO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,4,True,True,full_triple
ANTIQUE,SEBASTE,camote tops,bugkos,3,True,True,mun_median
ANTIQUE,SEBASTE,"crackers, cookies, buiscuits, chips/curls",bilog,7,True,True,mun_median
ANTIQUE,SEBASTE,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,4,True,True,prov_median
ANTIQUE,SEBASTE,loaf bread,daragkul nga putos,3,True,True,full_triple
ANTIQUE,SEBASTE,"preserved or processed meat (tocino, tapa, longaniza, etc)",lata,5,True,True,full_triple
ANTIQUE,SIBALOM,camote,tumpok,4,True,True,prov_median
ANTIQUE,SIBALOM,camote tops,bugkos,4,True,True,mun_median
