province,pull_municipal_city,cons_name,harmonized_nsu_unit,n_kept,n_discarded,med_kept,med_discarded,med_ratio,units_kept,units_discarded
ILOILO,TIGBAUAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,4,1,95.0,49.0,1.9387755102040816,gamay nga cup,small cup
ILOILO,CARLES,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,6,2,57.0,87.5,1.5350877192982457,gmay nga cup,gamay nga cup
ILOILO,TIGBAUAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,8,3,51.0,75.0,1.4705882352941178,bilog,pieces or units
ILOILO,DUMANGAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,2,2,62.5,46.5,1.3440860215053763,bilog,piraso
CAPIZ,JAMINDAN,cabbage,pieces or units,7,3,840.0,730.0,1.1506849315068493,bilog,binilog
ANTIQUE,HAMTIC,loaf bread,large packs,2,4,680.0,640.0,1.0625,large,large packs
ILOILO,JANIUAY,chicken,whole (chicken),5,4,1105.0,1047.5,1.0548926014319808,whole (chicken),whole
ILOILO,CABATUAN,loaf bread,large packs,1,5,700.0,675.0,1.037037037037037,dalagku nga putos,large
ILOILO,CABATUAN,loaf bread,small packs,2,2,382.5,372.5,1.0268456375838926,small,gagmay nga putos
ILOILO,MINA,"liquor (e.g, whisky, coconut wine)",lipid/lapad,1,4,375.0,375.0,1.0,lipid / lapad,lapad
