case,price_type,n_levels,lo,hi,ratio,branch
CAPIZ / SIGMA / fresh fish / pack,province median,2,100.0,400.0,4.0,price-quantity
ANTIQUE / PANDAN / loaf bread / large packs,province median,3,80.0,300.0,3.75,(no MS rows)
"ANTIQUE / VALDERRAMA / preserved or processed meat (tocino, tapa, longaniza, etc) / cans",province median,2,25.0,93.0,3.72,conventional
"ANTIQUE / SIBALOM / ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) / small cup",province median,2,10.0,35.0,3.5,size-based
"ILOILO / LEON / ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) / cone",province median,2,32.5,100.0,3.076923076923077,size-based
ANTIQUE / PATNONGON / fresh fish / pieces or units,province median,2,70.0,180.0,2.5714285714285716,size-based
ILOILO / AJUY / cabbage / pack,province median,4,20.0,50.0,2.5,price-quantity
ANTIQUE / PANDAN / carrot / pieces or units,province median,2,32.5,80.0,2.4615384615384617,size-based
ILOILO / GUIMBAL / carrot / pieces or units,municipality median,2,35.0,80.0,2.2857142857142856,size-based
CAPIZ / PANITAN / loaf bread / small packs,municipality median,2,20.0,45.0,2.25,size-based
ANTIQUE / LIBERTAD / cabbage / pack,province median,2,20.0,42.5,2.125,(no MS rows)
"AKLAN / MADALAG / ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) / pieces or units",province median,2,30.0,60.0,2.0,size-based
"ANTIQUE / PATNONGON / ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) / pieces or units",municipality median,2,20.0,38.0,1.9,(no MS rows)
"AKLAN / IBAJAY / ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) / small cup",municipality median,2,50.0,90.0,1.8,size-based
NEGROS OCCIDENTAL / HINOBA-AN (ASIA) / loaf bread / large packs,province median,2,90.0,160.0,1.7777777777777777,size-based
CAPIZ / PILAR / fresh fish / pack,province median,2,200.0,350.0,1.75,(no MS rows)
ILOILO / DINGLE / loaf bread / small packs,municipality median,2,32.0,55.0,1.71875,size-based
CAPIZ / DUMARAO / cabbage / pack,province median,2,15.0,25.0,1.6666666666666667,size-based
"ILOILO / TUBUNGAN / ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) / pieces or units",municipality median,2,30.0,50.0,1.6666666666666667,size-based
ANTIQUE / LAUA-AN / cabbage / pieces or units,municipality median,2,40.0,65.0,1.625,size-based
ANTIQUE / PATNONGON / fresh fish / tumpok,province median,2,200.0,300.0,1.5,conventional
"ANTIQUE / SEBASTE / ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) / pieces or units",municipality median,2,20.0,30.0,1.5,price-quantity
"ILOILO / BADIANGAN / ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) / small cup",municipality median,2,20.0,30.0,1.5,size-based
CAPIZ / JAMINDAN / mango / pieces or units,province median,2,50.0,75.0,1.5,price-quantity
ANTIQUE / HAMTIC / carrot / pieces or units,municipality median,2,30.0,45.0,1.5,size-based
"ILOILO / BAROTAC VIEJO / ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) / small cup",municipality median,2,20.0,30.0,1.5,size-based
ILOILO / TUBUNGAN / carrot / pieces or units,municipality median,2,30.0,45.0,1.5,size-based
"AKLAN / BURUANGA / crackers, cookies, buiscuits, chips/curls / pieces or units",province median,2,50.0,72.0,1.44,(no MS rows)
AKLAN / IBAJAY / carrot / pieces or units,municipality median,2,27.5,39.0,1.4181818181818182,size-based
NEGROS OCCIDENTAL / CALATRAVA / chicken / whole (chicken),province median,2,250.0,350.0,1.4,price-quantity
ANTIQUE / SEBASTE / carrot / pieces or units,municipality median,2,25.0,35.0,1.4,size-based
ILOILO / DUMANGAS / cabbage / pack,province median,2,20.0,27.5,1.375,(no MS rows)
ILOILO / DINGLE / cabbage / pack,province median,2,20.0,27.5,1.375,size-based
ILOILO / BAROTAC VIEJO / cabbage / pack,province median,2,20.0,27.5,1.375,size-based
AKLAN / ALTAVAS / carrot / pieces or units,municipality median,2,25.0,33.5,1.34,size-based
"CAPIZ / PILAR / ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) / cone",province median,2,30.0,40.0,1.3333333333333333,(no MS rows)
"ANTIQUE / PANDAN / ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) / small cup",province median,2,30.0,40.0,1.3333333333333333,size-based
ANTIQUE / BUGASONG / cabbage / pieces or units,municipality median,2,25.0,32.5,1.3,size-based
CAPIZ / DAO / cabbage / putos (mix vegetable),province median,2,20.0,25.0,1.25,price-quantity
AKLAN / IBAJAY / cabbage / pieces or units,municipality median,2,40.0,50.0,1.25,size-based
ILOILO / IGBARAS / carrot / pack,province median,2,20.0,25.0,1.25,(no MS rows)
CAPIZ / MAMBUSAO / loaf bread / small packs,municipality median,2,50.0,62.5,1.25,size-based
ANTIQUE / SIBALOM / carrot / pieces or units,municipality median,2,40.0,50.0,1.25,size-based
"ANTIQUE / BUGASONG / ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) / pieces or units",municipality median,2,20.0,25.0,1.25,size-based
ILOILO / DINGLE / carrot / pack,province median,2,20.0,25.0,1.25,(no MS rows)
ILOILO / MIAGAO / carrot / pieces or units,municipality median,2,33.0,40.0,1.2121212121212122,size-based
ILOILO / BAROTAC VIEJO / loaf bread / large packs,municipality median,2,70.5,85.0,1.2056737588652482,size-based
"CAPIZ / SAPI-AN / preserved or processed meat (tocino, tapa, longaniza, etc) / pieces or units",province median,2,50.0,60.0,1.2,(no MS rows)
ILOILO / IGBARAS / loaf bread / small packs,municipality median,2,50.0,60.0,1.2,size-based
ILOILO / LAMBUNAO / carrot / pieces or units,municipality median,2,30.0,35.0,1.1666666666666667,size-based
ANTIQUE / PATNONGON / carrot / pieces or units,municipality median,2,30.0,35.0,1.1666666666666667,size-based
"ANTIQUE / PATNONGON / ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) / small cup",province median,2,35.0,40.0,1.1428571428571428,size-based
ILOILO / POTOTAN / loaf bread / small packs,municipality median,2,35.0,40.0,1.1428571428571428,size-based
CAPIZ / MAMBUSAO / loaf bread / large packs,municipality median,2,75.0,85.0,1.1333333333333333,size-based
"ANTIQUE / SIBALOM / ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) / small cup",municipality median,2,20.0,22.5,1.125,size-based
CAPIZ / PILAR / loaf bread / small packs,municipality median,2,45.0,50.0,1.1111111111111112,(no MS rows)
ANTIQUE / PANDAN / chicken / whole (chicken),municipality median,2,208.5,230.0,1.1031175059952039,size-based
ANTIQUE / CULASI / carrot / pieces or units,municipality median,2,25.0,27.5,1.1,size-based
ILOILO / LAMBUNAO / cabbage / pieces or units,municipality median,2,55.0,60.0,1.0909090909090908,size-based
"ANTIQUE / VALDERRAMA / ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) / pieces or units",municipality median,2,27.5,30.0,1.0909090909090908,price-quantity
ILOILO / GUIMBAL / loaf bread / large packs,province median,2,85.0,92.5,1.088235294117647,size-based
ANTIQUE / BUGASONG / loaf bread / medium packs,province median,2,60.0,65.0,1.0833333333333333,size-based
ILOILO / SAN JOAQUIN / loaf bread / medium packs,municipality median,2,65.0,70.0,1.0769230769230769,size-based
"ANTIQUE / SAN REMIGIO / ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) / pieces or units",municipality median,2,32.5,35.0,1.0769230769230769,price-quantity
"AKLAN / BURUANGA / liquor (e.g, whisky, coconut wine) / lipid/lapad",province median,2,75.0,80.0,1.0666666666666667,size-based
ILOILO / BANATE / loaf bread / large packs,province median,2,85.0,90.0,1.0588235294117647,size-based
ILOILO / BANATE / loaf bread / medium packs,province median,2,65.0,68.0,1.0461538461538462,(no MS rows)
ILOILO / DUEAS / loaf bread / small packs,municipality median,2,56.0,58.5,1.0446428571428572,size-based
ILOILO / BADIANGAN / loaf bread / small packs,municipality median,2,36.0,37.5,1.0416666666666667,(no MS rows)
ILOILO / ALIMODIAN / loaf bread / large packs,province median,2,90.0,92.5,1.0277777777777777,size-based
ANTIQUE / PATNONGON / loaf bread / medium packs,municipality median,2,62.5,64.0,1.024,size-based
ILOILO / SAN RAFAEL / loaf bread / small packs,province median,2,49.0,50.0,1.0204081632653061,size-based
