province,pull_municipal_city,cons_name,harmonized_nsu_unit,corrected_unit,n,n_units,k_pooled,k_best_single_unit,k_inflated_by_pooling,n_shared_labels,within_label_ratio,vendors_disjoint,unit_med_ratio_UNFAIR,grp_purity_by_unit,grp_purity_by_label,n_min_unit,units
ILOILO,ALIMODIAN,carrot,pieces or units,1.0,11,2,3,3,0,3,5.13,1,3.25,0.727,0.636,3,"bilog:n8,med195 | binilog:n3,med60"
CAPIZ,DUMARAO,cabbage,pack,1.0,5,2,3,3,0,1,4.06,1,1.1363636363636365,0.8,0.8,2,"pack:n2,med88 | packs:n3,med77"
ILOILO,BADIANGAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,1.0,3,2,1,1,0,1,2.5,1,2.5,0.667,1.0,1,"gamay nga cup:n1,med35 | gmay nga cup:n2,med88"
NEGROS OCCIDENTAL,ILOG,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,1.0,5,2,1,1,0,1,1.88,1,1.875,0.6,1.0,2,"gamay na tasa:n2,med188 | gamay nga cup:n3,med100"
ILOILO,CONCEPCION,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,2.0,2,2,1,1,0,1,1.83,1,1.8333333333333333,0.5,1.0,1,"bilog:n1,med60 | pieces or units:n1,med110"
ILOILO,CARLES,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,1.0,8,2,3,3,0,1,1.75,1,1.5350877192982457,0.75,0.625,2,"gamay nga cup:n2,med88 | gmay nga cup:n6,med57"
ILOILO,LAMBUNAO,cabbage,pieces or units,1.0,17,2,3,3,0,1,1.68,1,3.0121951219512195,0.824,0.765,3,"bilog:n14,med618 | binilog:n3,med205"
ILOILO,DUEAS,loaf bread,small packs,1.0,8,2,1,1,0,1,1.64,1,1.6363636363636365,0.5,1.0,4,"gagmay nga putos:n4,med220 | small:n4,med360"
ILOILO,DUEAS,loaf bread,large packs,1.0,8,2,1,1,0,1,1.56,1,1.5555555555555556,0.625,1.0,3,"dalagku nga putos:n3,med450 | large:n5,med700"
ILOILO,TIGBAUAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1.0,9,2,3,3,0,2,1.5,1,1.24,0.778,0.778,2,"bilog:n7,med50 | pieces or units:n2,med62"
