province,pull_municipal_city,cons_name,harmonized_nsu_unit,n_raw_units,raw_units,points_pooled,points_naive
ANTIQUE,HAMTIC,loaf bread,large packs,4,dalagku nga putos | daragkul nga putos | large | large packs,6,6
ILOILO,LAMBUNAO,loaf bread,large packs,3,dalagku nga putos | daragkul nga putos | large,6,6
AKLAN,BATAN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,2,lapad | lipid / lapad,6,6
AKLAN,BURUANGA,loaf bread,small packs,2,maisot nga putos | small packs,6,6
ANTIQUE,BUGASONG,chicken,whole (chicken),2,bilog nga manok | whole (chicken),6,6
ANTIQUE,PATNONGON,loaf bread,small packs,2,gagmay nga putos | small,6,6
ANTIQUE,SAN REMIGIO,chicken,whole (chicken),2,bilog nga manok | whole (chicken),6,6
CAPIZ,CUARTERO,loaf bread,large packs,2,dalagku nga putos | large,6,6
CAPIZ,PANAY,loaf bread,large packs,2,dalagku nga putos | large,6,6
CAPIZ,SIGMA,loaf bread,large packs,2,dalagku nga putos | large,6,6
CAPIZ,TAPAZ,loaf bread,large packs,2,dalagku nga putos | large,6,6
ILOILO,AJUY,loaf bread,large packs,2,dalagku nga putos | large,6,6
ILOILO,BADIANGAN,"crackers, cookies, buiscuits, chips/curls",pieces or units,2,bilog | pieces or units,6,6
ILOILO,CONCEPCION,loaf bread,large packs,2,dalagku nga putos | large,6,6
ILOILO,DUEAS,loaf bread,large packs,2,dalagku nga putos | large,6,6
ILOILO,JANIUAY,loaf bread,large packs,2,dalagku nga putos | large,6,6
ILOILO,LAMBUNAO,chicken,whole (chicken),2,bilog nga manok | whole (chicken),6,6
ILOILO,LAMBUNAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,2,gamay nga cup | gamay nga tasa,6,6
ILOILO,TIGBAUAN,"crackers, cookies, buiscuits, chips/curls",pieces or units,2,bilog | pieces or units,6,6
ILOILO,TIGBAUAN,loaf bread,large packs,2,dalagku nga putos | large,6,6
ILOILO,TIGBAUAN,loaf bread,small packs,2,gagmay nga putos | small packs,6,6
ILOILO,TUBUNGAN,chicken,whole (chicken),2,bilog nga manok | whole (chicken),6,6
ILOILO,LEMERY,loaf bread,small packs,3,gagmay nga putos | small | small packs,5,6
ILOILO,MINA,loaf bread,large packs,3,dalagku nga putos | large | malaking packs,5,6
ANTIQUE,SIBALOM,chicken,whole (chicken),2,bilog nga manok | whole (chicken),5,6
ILOILO,BADIANGAN,loaf bread,large packs,2,dalagku nga putos | large,5,6
ILOILO,MIAGAO,chicken,whole (chicken),2,bilog nga manok | whole (chicken),5,6
ILOILO,ALIMODIAN,chicken,whole (chicken),2,bilog nga manok | whole (chicken),4,6
ILOILO,LEMERY,fresh fish,pack,4,fish sold per pack 90 each pack | pack | pack/ putos | putos,3,3
AKLAN,ALTAVAS,loaf bread,large packs,3,large | mabahoe nga putos | malaking packs,3,3
AKLAN,BATAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,3,gamay nga cup | maisot nga tasa | maliit na tasa,3,3
AKLAN,MADALAG,loaf bread,small packs,3,maisot nga putos | small | small packs,3,3
ANTIQUE,SAN REMIGIO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,3,gamay nga cup | gamay nga tasa | small cup (translate),3,3
ANTIQUE,TOBIAS FORNIER,chicken,whole (chicken),3,bilog nga manok | buong (manok) | whole (chicken),3,6
