province,pull_municipal_city,cons_name,harmonized_nsu_unit,n_units,n_distinct,mix
AKLAN,ALTAVAS,cabbage,pieces or units,2,1,median_only + median_only
AKLAN,ALTAVAS,carrot,pieces or units,2,1,median_only + median_only
AKLAN,ALTAVAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,2,2,full_triple + unique_only
AKLAN,ALTAVAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,2,2,full_triple + median_only
AKLAN,ALTAVAS,"liquor (e.g, whisky, coconut wine)",lipid/lapad,2,2,full_triple + median_only
AKLAN,ALTAVAS,loaf bread,large packs,3,2,full_triple + median_only + median_only
AKLAN,ALTAVAS,loaf bread,medium packs,2,2,full_triple + median_only
AKLAN,BATAN,cabbage,pieces or units,2,2,full_triple + median_only
AKLAN,BATAN,carrot,pieces or units,2,1,median_only + median_only
AKLAN,BATAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,3,2,full_triple + median_only + median_only
AKLAN,BATAN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,2,1,full_triple + full_triple
AKLAN,BATAN,loaf bread,small packs,2,1,median_only + median_only
AKLAN,BATAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,2,2,full_triple + median_only
AKLAN,BURUANGA,"crackers, cookies, buiscuits, chips/curls",pieces or units,3,1,median_only + median_only + median_only
AKLAN,BURUANGA,"liquor (e.g, whisky, coconut wine)",lipid/lapad,2,1,median_only + median_only
AKLAN,BURUANGA,loaf bread,small packs,2,1,full_triple + full_triple
AKLAN,IBAJAY,cabbage,pieces or units,2,1,median_only + median_only
AKLAN,IBAJAY,carrot,pieces or units,3,1,median_only + median_only + median_only
AKLAN,IBAJAY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,3,2,median_only + median_only + unique_only
AKLAN,IBAJAY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,2,1,median_only + median_only
AKLAN,IBAJAY,"liquor (e.g, whisky, coconut wine)",lipid/lapad,2,2,full_triple + unique_only
AKLAN,IBAJAY,loaf bread,large packs,2,1,median_only + median_only
AKLAN,IBAJAY,loaf bread,medium packs,2,1,median_only + median_only
AKLAN,IBAJAY,loaf bread,small packs,2,1,median_only + median_only
AKLAN,LIBACAO,carrot,pieces or units,2,1,median_only + median_only
AKLAN,LIBACAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,2,2,median_only + unique_only
AKLAN,LIBACAO,"liquor (e.g, whisky, coconut wine)",lipid/lapad,2,2,full_triple + median_only
AKLAN,LIBACAO,loaf bread,medium packs,2,2,full_triple + median_only
AKLAN,LIBACAO,loaf bread,small packs,2,1,median_only + median_only
AKLAN,MADALAG,cabbage,pieces or units,2,2,full_triple + unique_only
AKLAN,MADALAG,carrot,pieces or units,2,1,median_only + median_only
AKLAN,MADALAG,"crackers, cookies, buiscuits, chips/curls",pieces or units,2,1,median_only + median_only
AKLAN,MADALAG,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,3,1,median_only + median_only + median_only
AKLAN,MADALAG,"liquor (e.g, whisky, coconut wine)",lipid/lapad,2,2,full_triple + unique_only
AKLAN,MADALAG,loaf bread,medium packs,2,2,full_triple + median_only
AKLAN,MADALAG,loaf bread,small packs,3,2,full_triple + median_only + median_only
AKLAN,MADALAG,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,2,2,full_triple + median_only
AKLAN,MALAY,cabbage,pieces or units,2,2,full_triple + median_only
AKLAN,MALAY,carrot,pieces or units,3,1,median_only + median_only + median_only
AKLAN,MALAY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,2,1,median_only + median_only
AKLAN,MALAY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,2,2,full_triple + median_only
AKLAN,MALAY,"liquor (e.g, whisky, coconut wine)",lipid/lapad,2,2,full_triple + unique_only
AKLAN,MALAY,loaf bread,large packs,2,2,full_triple + median_only
AKLAN,MALAY,loaf bread,medium packs,2,1,median_only + median_only
AKLAN,MALAY,loaf bread,small packs,2,1,median_only + median_only
AKLAN,MALINAO,"crackers, cookies, buiscuits, chips/curls",pieces or units,2,2,full_triple + median_only
AKLAN,MALINAO,loaf bread,small packs,2,2,full_triple + median_only
AKLAN,NABAS,loaf bread,large packs,2,1,median_only + median_only
ANTIQUE,BARBAZA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,2,2,full_triple + median_only
ANTIQUE,BELISON,cabbage,pieces or units,2,1,median_only + median_only
ANTIQUE,BELISON,carrot,pieces or units,2,1,median_only + median_only
ANTIQUE,BELISON,loaf bread,large packs,2,2,median_only + unique_only
ANTIQUE,BUGASONG,cabbage,pieces or units,2,1,median_only + median_only
ANTIQUE,BUGASONG,carrot,pieces or units,2,1,median_only + median_only
ANTIQUE,BUGASONG,chicken,whole (chicken),2,1,full_triple + full_triple
ANTIQUE,BUGASONG,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,2,1,median_only + median_only
ANTIQUE,BUGASONG,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,2,2,full_triple + median_only
ANTIQUE,BUGASONG,loaf bread,large packs,2,2,full_triple + unique_only
ANTIQUE,BUGASONG,loaf bread,medium packs,2,1,median_only + median_only
ANTIQUE,CULASI,cabbage,pieces or units,2,2,median_only + unique_only
ANTIQUE,CULASI,carrot,pieces or units,2,1,median_only + median_only
ANTIQUE,CULASI,"crackers, cookies, buiscuits, chips/curls",pieces or units,2,1,median_only + median_only
ANTIQUE,CULASI,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,2,2,median_only + unique_only
ANTIQUE,CULASI,loaf bread,large packs,3,2,median_only + median_only + unique_only
ANTIQUE,CULASI,loaf bread,medium packs,2,2,median_only + unique_only
ANTIQUE,CULASI,loaf bread,small packs,2,1,median_only + median_only
