province,pull_municipal_city,cons_name,harmonized_nsu_unit,p_weighed,p_unweighed,ratio,flag_unconvertible,n_ms_weighings,n_price_spellings,n_unweighed
ANTIQUE,HAMTIC,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,28.0,250.0,8.928571428571429,True,2,2,1
ANTIQUE,CULASI,"crackers, cookies, buiscuits, chips/curls",pieces or units,36.0,280.0,7.777777777777778,True,9,2,1
ILOILO,TUBUNGAN,fresh fish,pieces or units,100.0,770.0,7.7,True,12,2,1
ANTIQUE,BARBAZA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,20.0,102.5,5.125,True,5,2,1
ILOILO,BAROTAC VIEJO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,35.0,145.0,4.142857142857143,True,5,2,1
ANTIQUE,LIBERTAD,fresh fish,pieces or units,70.0,290.0,4.142857142857143,True,7,2,1
ANTIQUE,TOBIAS FORNIER,"liquor (e.g, whisky, coconut wine)",lipid/lapad,85.0,320.0,3.764705882352941,True,8,2,1
ILOILO,MIAGAO,fresh fish,pieces or units,100.0,310.0,3.1,True,10,2,1
ILOILO,LEON,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",cone,32.5,100.0,3.076923076923077,True,5,2,1
AKLAN,MALINAO,loaf bread,small packs,50.0,140.0,2.8,True,2,2,1
ANTIQUE,TOBIAS FORNIER,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,17.5,45.0,2.5714285714285716,True,4,3,2
ANTIQUE,PATNONGON,fresh fish,pieces or units,70.0,180.0,2.5714285714285716,True,7,2,1
CAPIZ,SIGMA,fresh fish,pack,100.0,250.0,2.5,True,3,3,2
CAPIZ,DUMALAG,loaf bread,large packs,85.0,200.0,2.3529411764705883,True,3,2,1
ILOILO,GUIMBAL,carrot,pieces or units,35.0,80.0,2.2857142857142856,True,24,2,1
CAPIZ,SAPI-AN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,20.0,45.0,2.25,True,3,2,1
CAPIZ,PANITAN,loaf bread,small packs,20.0,45.0,2.25,True,10,2,1
ILOILO,SAN JOAQUIN,carrot,pieces or units,30.0,65.0,2.1666666666666665,True,13,2,1
ANTIQUE,LIBERTAD,cabbage,pieces or units,35.0,75.0,2.142857142857143,True,13,2,1
AKLAN,BURUANGA,loaf bread,small packs,40.0,85.0,2.125,True,4,2,1
ILOILO,CALINOG,loaf bread,large packs,81.0,170.0,2.0987654320987654,True,6,2,1
CAPIZ,IVISAN,loaf bread,large packs,85.0,174.0,2.0470588235294116,True,3,2,1
ANTIQUE,PANDAN,carrot,pieces or units,27.5,56.25,2.0454545454545454,True,13,3,2
ILOILO,ALIMODIAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,50.0,100.0,2.0,True,7,2,1
ILOILO,BANATE,carrot,pieces or units,30.0,60.0,2.0,True,12,2,1
ILOILO,MAASIN,loaf bread,large packs,82.5,165.0,2.0,True,1,2,1
ANTIQUE,PANDAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,30.0,60.0,2.0,True,1,2,1
CAPIZ,DUMALAG,loaf bread,small packs,50.0,100.0,2.0,True,2,2,1
ANTIQUE,SEBASTE,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,30.0,60.0,2.0,True,4,2,1
ILOILO,SAN JOAQUIN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,40.0,72.5,1.8125,False,3,3,2
CAPIZ,IVISAN,"crackers, cookies, buiscuits, chips/curls",pieces or units,50.0,88.0,1.76,False,2,2,1
ILOILO,OTON,loaf bread,large packs,98.0,170.0,1.7346938775510203,False,6,2,1
CAPIZ,IVISAN,loaf bread,medium packs,65.0,112.5,1.7307692307692308,False,4,2,1
ILOILO,AJUY,cabbage,pack,23.75,40.0,1.6842105263157894,False,2,4,2
CAPIZ,CUARTERO,loaf bread,small packs,60.0,100.0,1.6666666666666667,False,2,2,1
ANTIQUE,BUGASONG,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,30.0,50.0,1.6666666666666667,False,3,2,1
ILOILO,TIGBAUAN,loaf bread,small packs,55.0,90.0,1.6363636363636365,False,3,2,1
ANTIQUE,PATNONGON,loaf bread,large packs,92.5,150.0,1.6216216216216217,False,3,2,1
ILOILO,TIGBAUAN,"crackers, cookies, buiscuits, chips/curls",pieces or units,50.0,80.0,1.6,False,9,2,1
ILOILO,LAMBUNAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,48.0,75.0,1.5625,False,8,2,1
ILOILO,BAROTAC VIEJO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,20.0,30.0,1.5,False,4,2,1
AKLAN,MADALAG,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,30.0,45.0,1.5,False,3,3,2
ILOILO,AJUY,fresh fish,pack,200.0,300.0,1.5,False,1,2,1
ANTIQUE,SEBASTE,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,20.0,30.0,1.5,False,3,2,1
ANTIQUE,LIBERTAD,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,20.0,30.0,1.5,False,2,2,1
ILOILO,CONCEPCION,loaf bread,small packs,47.0,70.0,1.4893617021276595,False,1,2,1
ANTIQUE,SIBALOM,cabbage,pieces or units,50.0,72.5,1.45,False,10,2,1
