province,pull_municipal_city,cons_name,harmonized_nsu_unit,corrected_unit,n_units_in_MS,n_weighings,n_min,med_lo,med_hi,med_ratio,branches,detail
ILOILO,ALIMODIAN,carrot,pieces or units,g,2,11,3,60.0,195.0,3.25,size-based,bilog: 195 (n=8); binilog: 60 (n=3)
ILOILO,LAMBUNAO,cabbage,pieces or units,g,2,17,3,205.0,617.5,3.0121951219512195,size-based,bilog: 618 (n=14); binilog: 205 (n=3)
ILOILO,BADIANGAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,g,2,3,1,35.0,87.5,2.5,size-based,gamay nga cup: 35 (n=1); gmay nga cup: 88 (n=2)
NEGROS OCCIDENTAL,VALLADOLID,cabbage,pieces or units,g,2,6,3,325.0,780.0,2.4,price-quantity,bilog: 325 (n=3); pieces or units: 780 (n=3)
NEGROS OCCIDENTAL,ILOG,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,g,2,5,2,100.0,187.5,1.875,size-based,gamay na tasa: 188 (n=2); gamay nga cup: 100 (n=3)
ILOILO,CONCEPCION,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,mL,2,2,1,60.0,110.0,1.8333333333333333,size-based,bilog: 60 (n=1); pieces or units: 110 (n=1)
ILOILO,AJUY,cabbage,pack,g,2,2,1,79.0,135.0,1.7088607594936709,price-quantity,pack: 79 (n=1); shredded cabbage(pack): 135 (n=1)
ILOILO,LEMERY,fresh fish,pack,g,2,2,1,466.0,770.0,1.6523605150214593,size-based,fish sold per pack 90 each pack: 466 (n=1); pack: 770 (n=1)
ILOILO,DUEAS,loaf bread,small packs,g,2,8,4,220.0,360.0,1.6363636363636365,size-based,gagmay nga putos: 220 (n=4); small: 360 (n=4)
NEGROS OCCIDENTAL,VALLADOLID,carrot,pieces or units,g,2,6,3,95.0,150.0,1.5789473684210527,price-quantity,bilog: 150 (n=3); pieces or units: 95 (n=3)
ILOILO,DUEAS,loaf bread,large packs,g,2,8,3,450.0,700.0,1.5555555555555556,size-based,dalagku nga putos: 450 (n=3); large: 700 (n=5)
ILOILO,CARLES,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,g,2,8,2,57.0,87.5,1.5350877192982457,size-based,gamay nga cup: 88 (n=2); gmay nga cup: 57 (n=6)
ILOILO,DUMANGAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,mL,2,4,2,46.5,62.5,1.3440860215053763,size-based,bilog: 62 (n=2); piraso: 46 (n=2)
