province,pull_municipal_city,cons_name,harmonized_nsu_unit,branch,unique_price,prov_median,abs_gap,ratio,n_weighings,holds
ANTIQUE,SEBASTE,rice,letse,(no MS rows),1500.0,390.0,1110.0,3.8461538461538463,0,prov_median + unique x2
NEGROS OCCIDENTAL,CAUAYAN,rice,salmon,(no MS rows),1260.0,225.0,1035.0,5.6,0,prov_median + unique x2
CAPIZ,PONTEVEDRA,chicken,bilog,size-based,1200.0,250.0,950.0,4.8,10,prov_median + unique x2
ILOILO,TUBUNGAN,fresh fish,pieces or units,size-based,1000.0,100.0,900.0,10.0,12,prov_median + unique x1
ILOILO,DUEAS,fresh fish,pack,(no MS rows),1050.0,200.0,850.0,5.25,0,prov_median + unique x2
NEGROS OCCIDENTAL,VALLADOLID,chicken,whole (chicken),price-quantity,1050.0,250.0,800.0,4.2,2,prov_median + unique x1
ILOILO,DUEAS,"liquor (e.g, whisky, coconut wine)",long-neck,size-based,980.0,180.0,800.0,5.444444444444445,10,prov_median + unique x1
ILOILO,JANIUAY,chicken,pieces or units,(no MS rows),1050.0,285.0,765.0,3.6842105263157894,0,prov_median + unique x1
ILOILO,POTOTAN,"liquor (e.g, whisky, coconut wine)",long-neck,size-based,900.0,180.0,720.0,5.0,9,prov_median + unique x2
ILOILO,CALINOG,"liquor (e.g, whisky, coconut wine)",long-neck,size-based,840.0,180.0,660.0,4.666666666666667,10,prov_median + unique x2
ILOILO,BALASAN,fresh fish,pack,(no MS rows),700.0,150.0,550.0,4.666666666666667,0,prov_median + unique x1
ILOILO,SAN RAFAEL,loaf bread,large packs,size-based,595.0,90.0,505.0,6.611111111111111,3,full_triple + prov_median + unique x2
ILOILO,MIAGAO,chicken,pieces or units,(no MS rows),760.0,285.0,475.0,2.6666666666666665,0,prov_median + unique x1
NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA (SARAVIA),fresh fish,pieces or units,size-based,600.0,160.0,440.0,3.75,9,prov_median + unique x1
ANTIQUE,SIBALOM,rice,gantang,(no MS rows),910.0,475.0,435.0,1.9157894736842105,0,prov_median + unique x1
ILOILO,BATAD,"preserved or processed meat (tocino, tapa, longaniza, etc)",pack,size-based,500.0,90.0,410.0,5.555555555555555,8,prov_median + unique x1
AKLAN,MALINAO,fresh fish,pieces or units,size-based,500.0,100.0,400.0,5.0,6,prov_median + unique x1
ILOILO,SAN JOAQUIN,"preserved or processed meat (tocino, tapa, longaniza, etc)",pack,size-based,475.0,90.0,385.0,5.277777777777778,9,prov_median + unique x1
ILOILO,SAN MIGUEL,fresh fish,pieces or units,size-based,480.0,100.0,380.0,4.8,8,prov_median + unique x1
ILOILO,JANIUAY,chicken,whole (chicken),size-based,630.0,250.0,380.0,2.52,9,full_triple + prov_median + unique x2
