province,pull_municipal_city,cons_name,pull_nsu_unit,cleaned_nsu_unit,harmonized_nsu_unit,source,cell_merge_with,n_cell_merged,cause_label,in_MS_as,fallback_harmonized_nsu_unit,pull_nsu_unit_std,harmonized_nsu_unit_std,reason
AKLAN,BURUANGA,beer,bottle (500 ml),bottle (500 ml),bottle 500ml,MS & Price,,1,,,,True,True,looks_standard
CAPIZ,IVISAN,carrot,1/4 kilo,1/4 kilo,1/4 kilo,MS & Price,,1,,,,True,True,looks_standard
ANTIQUE,PATNONGON,"crackers, cookies, buiscuits, chips/curls",1.5kg per balde,1.5kg per balde,1.5kg per balde,MS & Price,,1,,,,True,True,looks_standard
ANTIQUE,PATNONGON,"liquor (e.g, whisky, coconut wine)",bottle of ginebra s. miguel 350ml,bottle of ginebra s. miguel 350ml,bottle of ginebra s. miguel 350ml,MS & Price,,1,,,,True,True,looks_standard
CAPIZ,SIGMA,"liquor (e.g, whisky, coconut wine)",500ml 1 redhorse.,bottle (500 ml),bottle 500ml,MS & Price,,1,,,,True,True,looks_standard
CAPIZ,PILAR,mango,pieces/ kilo,pieces/ kilo,pieces/ kilo,MS & Price,,1,,,,True,True,looks_standard
ANTIQUE,HAMTIC,"mineral or spring water, all drinking water sold in containers",500,bottle (500 ml),bottle 500ml,MS & Price,,1,,,,False,True,looks_standard
ANTIQUE,TIBIAO,"mineral or spring water, all drinking water sold in containers",7 liters of gallons,7 liters of gallons,7 liters of gallons,Price Only,,1,empty/uncommon,,,True,True,looks_standard
ILOILO,TUBUNGAN,"mineral or spring water, all drinking water sold in containers",6 liters of water (2 blue container),6 liters of water (2 blue container),6 liters of water (2 blue container),MS & Price,,1,,,,True,True,looks_standard
ILOILO,TUBUNGAN,"mineral or spring water, all drinking water sold in containers",each 10 litres of gallon,each 10 litres of gallon,each 10 litres of gallon,MS & Price,,1,,,,True,True,looks_standard
ILOILO,MINA,rice,1/2 sack of rice (25kls.),1/2 sack of rice (25kls.),1/2 sack of rice (25kls.),MS & Price,,1,,,,True,True,looks_standard
