id,pull_province,pull_municipal_city,pull_item,pull_nsu_unit,harmonized_nsu_unit,size,dim,corrected_weight,flat_group,nobs,nven,check_reason,vendor_id,market_name,store_stall_name
6002,ILOILO,BINGAWAN,camote,bilog,bilog,medium_size,g,90,1484,3,3,"flat group: 3+ vendors, one identical value",UDFRO601,Bingawan Public Market,Titing Vegetable stall
6004,ILOILO,BINGAWAN,camote,bilog,bilog,medium_size,g,90,1484,3,3,"flat group: 3+ vendors, one identical value",UI4W1MYH,Bingawan Public Market,Paloma vegetable stall
6006,ILOILO,BINGAWAN,camote,bilog,bilog,medium_size,g,90,1484,3,3,"flat group: 3+ vendors, one identical value",WTQY4CLD,Bingawan Public Market,Cortel vegetable stall
6675,ILOILO,DINGLE,camote tops,bugkos,bugkos,small_size,g,175,1687,3,3,"flat group: 3+ vendors, one identical value",E1HTTIJM,Public market,Ging ging stall
6676,ILOILO,DINGLE,camote tops,bugkos,bugkos,small_size,g,175,1687,3,3,"flat group: 3+ vendors, one identical value",HSR99KNR,Public market,Arphen and lorlen
6677,ILOILO,DINGLE,camote tops,bugkos,bugkos,small_size,g,175,1687,3,3,"flat group: 3+ vendors, one identical value",P1TC02DI,Public market,Delia stand
3033,ANTIQUE,SIBALOM,"crackers, cookies, buiscuits, chips/curls",putos,putos,large_size,g,90,630,3,3,"flat group: 3+ vendors, one identical value",0XBBUUIO,Sibalom roadside,Mina store
3037,ANTIQUE,SIBALOM,"crackers, cookies, buiscuits, chips/curls",putos,putos,large_size,g,90,630,3,3,"flat group: 3+ vendors, one identical value",30WTWFP0,Sibalom public market,Catmons sarisari store
3046,ANTIQUE,SIBALOM,"crackers, cookies, buiscuits, chips/curls",putos,putos,large_size,g,90,630,3,3,"flat group: 3+ vendors, one identical value",WRCXWDZD,Sibalom roadside,Jomilyn store
4055,CAPIZ,MA-AYON,"crackers, cookies, buiscuits, chips/curls",big can,big can,medium_size,g,1400,904,3,3,"flat group: 3+ vendors, one identical value",1LL9IML0,Roadside,Joseph Store
4056,CAPIZ,MA-AYON,"crackers, cookies, buiscuits, chips/curls",big can,big can,medium_size,g,1400,904,3,3,"flat group: 3+ vendors, one identical value",6WR11XGA,Maayon Public market,Cerdy Store
4058,CAPIZ,MA-AYON,"crackers, cookies, buiscuits, chips/curls",big can,big can,medium_size,g,1400,904,3,3,"flat group: 3+ vendors, one identical value",957RIBPA,Roadside,Toto Miel Store
