id,pull_province,pull_municipal_city,market_name,store_stall_name,vendor_id,pull_item,pull_nsu_unit,hetero_type,corrected_weight,corrected_unit,pool_median,ratio_to_pool_median,snap_rule,flag_reason,queue_tier,abs_log10_ratio
3987,CAPIZ,JAMINDAN,Jamindan,Daday,KR3LSOY2,chicken,chicken wings,province_median,15,g,950,.02,block governs,decade_outlier,1: decade outlier,1.802
4151,CAPIZ,MAMBUSAO,roadside,Ginwin store,BIDPGGU2,"crackers, cookies, buiscuits, chips/curls",balde,province_median,1500,g,30,50,log10 median,decade_outlier,1: decade outlier,1.699
6829,ILOILO,DUEAS,Duenas road,Dry goods traiding,QKLB5AMA,"crackers, cookies, buiscuits, chips/curls",balde,small_size,1500,g,32,46.88,block governs,decade_outlier,1: decade outlier,1.671
6830,ILOILO,DUEAS,Duenas road,Dry goods traiding,QKLB5AMA,"crackers, cookies, buiscuits, chips/curls",balde,medium_size,2400,g,60,40,block governs,decade_outlier,1: decade outlier,1.602
6828,ILOILO,DUEAS,Duenas Public Market,6 grandchildren store,7LH7TGBE,"crackers, cookies, buiscuits, chips/curls",balde,small_size,1100,g,32,34.38,block governs,decade_outlier,1: decade outlier,1.536
9609,ILOILO,SANTA BARBARA,Zone1Arroyo St.Sta Barbara,Froilyn Variety Store Wholesale and Retail,HD6724N4,chicken,whole (chicken),large_size,50,g,1265,.04,block governs,decade_outlier,1: decade outlier,1.403
2237,ANTIQUE,HAMTIC,Poblacion 2 hamtic Antique,Double-k  Minimart,GQV0OFNP,"crackers, cookies, buiscuits, chips/curls",balde,medium_size,1400,g,60,23.33,block governs,decade_outlier,1: decade outlier,1.368
4055,CAPIZ,MA-AYON,Roadside,Joseph Store,1LL9IML0,"crackers, cookies, buiscuits, chips/curls",big can,medium_size,1400,g,60,23.33,block governs,decade_outlier,1: decade outlier,1.368
4056,CAPIZ,MA-AYON,Maayon Public market,Cerdy Store,6WR11XGA,"crackers, cookies, buiscuits, chips/curls",big can,medium_size,1400,g,60,23.33,block governs,decade_outlier,1: decade outlier,1.368
4058,CAPIZ,MA-AYON,Roadside,Toto Miel Store,957RIBPA,"crackers, cookies, buiscuits, chips/curls",big can,medium_size,1400,g,60,23.33,block governs,decade_outlier,1: decade outlier,1.368
4057,CAPIZ,MA-AYON,Maayon Public market,Cerdy Store,6WR11XGA,"crackers, cookies, buiscuits, chips/curls",big can,large_size,2200,g,100,22,block governs,decade_outlier,1: decade outlier,1.342
10269,ILOILO,ZARRAGA,Zarraga Public Market,Jason Fried Chicken,9CHJR0M5,chicken,pieces of fried chicken,province_median,45,g,950,.05,block governs,decade_outlier,1: decade outlier,1.325
8709,ILOILO,OTON,Oton public market,Mary ann Fish Stall,MF7VSTGX,"prawns, lobster, shrimp",pieces,small_size,10,g,205,.05,block governs,decade_outlier,1: decade outlier,1.312
10270,ILOILO,ZARRAGA,Zarraga Talipapa,Mylyn Store,Q9KU7S7D,chicken,pieces of fried chicken,province_median,50,g,950,.05,block governs,decade_outlier,1: decade outlier,1.279
10272,ILOILO,ZARRAGA,Zarraga Public Market,Rea Fried Chicken,VYF3ITB8,chicken,pieces of fried chicken,province_median,50,g,950,.05,block governs,decade_outlier,1: decade outlier,1.279
4059,CAPIZ,MA-AYON,Maayon Public market,Jocelyn Store,X6LKPSUD,"crackers, cookies, buiscuits, chips/curls",big can,large_size,1500,g,100,15,block governs,decade_outlier,1: decade outlier,1.176
7836,ILOILO,LEMERY,Lemery public market,Boy Dionson Store,ZJ80ARE1,"crackers, cookies, buiscuits, chips/curls",bucket,large_size,1500,g,100,15,block governs,decade_outlier,1: decade outlier,1.176
9297,ILOILO,SAN MIGUEL,Sitio Tuburan Brgy.Igtambo San Miguel,Red Ficus Store,NRTPTBMV,cabbage,bilog,small_size,30,g,440,.07,block governs,decade_outlier,1: decade outlier,1.166
10271,ILOILO,ZARRAGA,Zarraga Talipapa,Ameerahs Store,VXJIIIKU,chicken,pieces of fried chicken,province_median,65,g,950,.07,block governs,decade_outlier,1: decade outlier,1.165
8707,ILOILO,OTON,Oton public market,Eduardo stall,3XTNOFP9,"prawns, lobster, shrimp",pieces,small_size,15,g,205,.07,block governs,decade_outlier,1: decade outlier,1.136
8708,ILOILO,OTON,Oton public market,Ramil stall,B9XS2NY9,"prawns, lobster, shrimp",pieces,small_size,15,g,205,.07,block governs,decade_outlier,1: decade outlier,1.136
8831,ILOILO,POTOTAN,Pototan New Public Market,Nick and Bingbing Fish Stall,UZ3PLIXU,fresh fish,bilog,medium_size,5550,g,415,13.37,block governs,decade_outlier,1: decade outlier,1.126
5181,ILOILO,ALIMODIAN,Alimodian public market,Algallar dressed chicken and frozen products,S8IGRMKW,chicken,binilog,small_size,60,g,800,.08,block governs,decade_outlier,1: decade outlier,1.125
