province,pull_municipal_city,cons_name,harmonized_nsu_unit,n_price_spellings,n_weighed,n_unweighed,n_ms_weighings,kind
AKLAN,ALTAVAS,cabbage,pieces or units,2,1,1,5,MIXED
AKLAN,ALTAVAS,camote,binilog,1,0,1,0,no weighed spelling at all
AKLAN,ALTAVAS,camote tops,bugkos,1,1,0,3,all spellings weighed
AKLAN,ALTAVAS,camote tops,bundle,1,1,0,3,all spellings weighed
AKLAN,ALTAVAS,carrot,pieces or units,2,1,1,6,MIXED
AKLAN,ALTAVAS,chicken,bilog,1,0,1,0,no weighed spelling at all
AKLAN,ALTAVAS,chicken,pieces or units,1,1,0,2,all spellings weighed
AKLAN,ALTAVAS,chicken,whole (chicken),1,1,0,2,all spellings weighed
AKLAN,ALTAVAS,"crackers, cookies, buiscuits, chips/curls",pieces or units,1,1,0,8,all spellings weighed
AKLAN,ALTAVAS,"crackers, cookies, buiscuits, chips/curls",putos,1,1,0,5,all spellings weighed
AKLAN,ALTAVAS,"drinks at restaurant, hotel, cafe, or kiosk",pieces,1,0,1,0,no weighed spelling at all
AKLAN,ALTAVAS,fresh fish,pieces or units,1,1,0,3,all spellings weighed
AKLAN,ALTAVAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,2,0,2,0,no weighed spelling at all
AKLAN,ALTAVAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,1,1,0,2,all spellings weighed
AKLAN,ALTAVAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,2,0,2,0,no weighed spelling at all
AKLAN,ALTAVAS,"liquor (e.g, whisky, coconut wine)",lipid/lapad,2,1,1,3,MIXED
AKLAN,ALTAVAS,"liquor (e.g, whisky, coconut wine)",long-neck,1,1,0,4,all spellings weighed
AKLAN,ALTAVAS,loaf bread,large packs,3,1,2,4,MIXED
AKLAN,ALTAVAS,loaf bread,medium packs,2,1,1,4,MIXED
AKLAN,ALTAVAS,loaf bread,small packs,1,1,0,3,all spellings weighed
AKLAN,ALTAVAS,mango,pieces or units,1,0,1,0,no weighed spelling at all
AKLAN,ALTAVAS,pork,slice,1,1,0,1,all spellings weighed
AKLAN,ALTAVAS,"prawns, lobster, shrimp",tumpok,1,1,0,3,all spellings weighed
AKLAN,ALTAVAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,1,0,1,0,no weighed spelling at all
AKLAN,ALTAVAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",cans,1,0,1,0,no weighed spelling at all
AKLAN,ALTAVAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,1,1,0,3,all spellings weighed
AKLAN,ALTAVAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,1,0,4,all spellings weighed
AKLAN,ALTAVAS,rice,gantang,1,0,1,0,no weighed spelling at all
