bucket,prov,mun,item,harm,n_psps_obs
convertible from its own cell,CAPIZ,SIGMA,camote tops,bugkos,305
convertible from its own cell,CAPIZ,MA-AYON,camote tops,bugkos,215
convertible from its own cell,CAPIZ,DUMARAO,camote tops,bugkos,214
province fallback available,ILOILO,LEMERY,camote tops,bugkos,210
province fallback available,AKLAN,IBAJAY,camote tops,bundle,204
convertible from its own cell,ANTIQUE,SAN REMIGIO,camote tops,bugkos,195
convertible from its own cell,ILOILO,DUEAS,camote tops,bugkos,194
convertible from its own cell,ANTIQUE,SIBALOM,camote tops,bugkos,187
convertible from its own cell,ILOILO,AJUY,camote tops,bugkos,170
convertible from its own cell,AKLAN,ALTAVAS,camote tops,bundle,168
convertible from its own cell,ILOILO,DINGLE,camote tops,bugkos,167
convertible from its own cell,ILOILO,SAN DIONISIO,camote tops,bugkos,164
convertible from its own cell,ILOILO,CABATUAN,camote tops,bugkos,159
convertible from its own cell,ILOILO,MAASIN,camote tops,bugkos,158
convertible from its own cell,ILOILO,BAROTAC VIEJO,camote tops,bugkos,155
convertible from its own cell,ILOILO,LAMBUNAO,camote tops,bugkos,153
convertible from its own cell,ILOILO,CALINOG,camote tops,bugkos,153
convertible from its own cell,ANTIQUE,PATNONGON,camote tops,bugkos,153
convertible from its own cell,CAPIZ,PANAY,camote tops,bugkos,152
convertible from its own cell,CAPIZ,TAPAZ,camote tops,bugkos,152
convertible from its own cell,ILOILO,IGBARAS,camote tops,bugkos,152
convertible from its own cell,ILOILO,BADIANGAN,camote tops,bugkos,148
convertible from its own cell,ILOILO,SAN JOAQUIN,camote tops,bugkos,142
convertible from its own cell,CAPIZ,PANITAN,camote tops,bugkos,136
convertible from its own cell,ILOILO,JANIUAY,camote tops,bugkos,134
convertible from its own cell,CAPIZ,PILAR,camote tops,bugkos,134
convertible from its own cell,CAPIZ,CUARTERO,camote tops,bugkos,128
convertible from its own cell,NEGROS OCCIDENTAL,CAUAYAN,camote tops,bugkos,127
convertible from its own cell,ILOILO,ALIMODIAN,camote tops,bugkos,125
convertible from its own cell,ILOILO,SARA,camote tops,bugkos,123
convertible from its own cell,ILOILO,LEMERY,"liquor (e.g, whisky, coconut wine)",lipid/lapad,121
convertible from its own cell,AKLAN,MALINAO,camote tops,bundle,119
convertible from its own cell,ANTIQUE,TOBIAS FORNIER,camote tops,bugkos,118
convertible from its own cell,ILOILO,POTOTAN,camote tops,bugkos,116
convertible from its own cell,ILOILO,TUBUNGAN,camote tops,bugkos,116
convertible from its own cell,NEGROS OCCIDENTAL,ISABELA,camote tops,bugkos,115
convertible from its own cell,CAPIZ,DAO,camote tops,bugkos,115
province fallback available,AKLAN,BATAN,camote tops,bundle,114
convertible from its own cell,ILOILO,BAROTAC VIEJO,"liquor (e.g, whisky, coconut wine)",lipid/lapad,113
convertible from its own cell,CAPIZ,JAMINDAN,camote tops,bugkos,111
convertible from its own cell,ILOILO,SAN ENRIQUE,camote tops,bugkos,111
convertible from its own cell,ILOILO,MIAGAO,camote tops,bugkos,110
convertible from its own cell,ILOILO,MINA,camote tops,bugkos,110
convertible from its own cell,NEGROS OCCIDENTAL,CANDONI,camote tops,bugkos,109
province fallback available,ILOILO,LEMERY,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,108
convertible from its own cell,ANTIQUE,VALDERRAMA,camote tops,bugkos,108
convertible from its own cell,CAPIZ,SIGMA,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,105
convertible from its own cell,ILOILO,BADIANGAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,103
convertible from its own cell,CAPIZ,MAMBUSAO,camote tops,bugkos,100
