pull_province,pull_municipal_city,pull_item,harmonized_nsu_unit,corrected_unit,item_nsu_hetero_type,n,w,branch,label,vendors,prov_median,prov_n,prov_n_other
AKLAN,ALTAVAS,cabbage,pieces or units,1.0,2,1,475.0,size-based,small,1,495.0,75,74
AKLAN,ALTAVAS,cabbage,pieces or units,1.0,4,1,1200.0,size-based,large,1,1030.0,65,64
AKLAN,ALTAVAS,camote tops,bundle,1.0,4,1,1130.0,size-based,large,1,1152.5,2,1
AKLAN,ALTAVAS,carrot,pieces or units,1.0,4,1,630.0,size-based,large,1,240.0,45,44
AKLAN,ALTAVAS,chicken,pieces or units,1.0,2,1,390.0,size-based,small,1,160.0,21,20
AKLAN,ALTAVAS,chicken,pieces or units,1.0,3,1,500.0,size-based,medium,1,537.5,16,15
AKLAN,ALTAVAS,"crackers, cookies, buiscuits, chips/curls",pieces or units,1.0,3,1,26.0,size-based,medium,1,55.0,16,15
AKLAN,ALTAVAS,"crackers, cookies, buiscuits, chips/curls",pieces or units,1.0,4,1,90.0,size-based,large,1,87.5,10,9
AKLAN,ALTAVAS,pork,slice,1.0,2,1,160.0,size-based,small,1,160.0,1,0
AKLAN,ALTAVAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1.0,4,1,1000.0,size-based,large,1,1120.0,8,7
AKLAN,BANGA,carrot,pieces or units,1.0,4,1,200.0,size-based,large,1,240.0,45,44
AKLAN,BANGA,chicken,whole (chicken),1.0,3,1,920.0,size-based,medium,1,1065.0,22,21
AKLAN,BANGA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1.0,2,1,85.0,size-based,small,1,75.0,5,4
AKLAN,BANGA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,1.0,3,1,60.0,size-based,medium,1,75.0,2,1
AKLAN,BANGA,mango,pieces or units,1.0,2,1,155.0,size-based,small,1,180.0,27,26
AKLAN,BANGA,mango,pieces or units,1.0,4,1,340.0,size-based,large,1,290.0,21,20
AKLAN,BANGA,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1.0,8,1,360.0,price-quantity,mun_median,1,302.5,26,25
