item,label,harmonized_nsu_unit,fold_verdict,dimension,n,median_g
beef,half,half,identity(ungrouped),?,2,517.5
beef,intestine,intestine,identity(ungrouped),?,1,2060.0
beef,bilog,pieces or units,safe-fold,?,5,1230.0
beer,case,case,identity(ungrouped),?,2,4440.0
cabbage,2 kapinutos nga cabbage/20pesos,2 kapinutos nga cabbage/20pesos,identity(ungrouped),?,4,305.0
cabbage,3 for 25 pesos (putos),3 for 25 pesos (putos),identity(ungrouped),?,4,442.5
cabbage,half,half,identity(ungrouped),?,14,275.0
cabbage,pack,pack,keep-separate,?,47,150.0
cabbage,pack 25 per pack in the market,pack 25 per pack in the market,identity(ungrouped),?,5,290.0
cabbage,bilog,pieces or units,safe-fold,?,1136,647.5
cabbage,binilog,pieces or units,safe-fold,?,162,722.5
cabbage,pieces or units,pieces or units,safe-fold,?,12,407.5
cabbage,putos (mix vegetable),putos (mix vegetable),identity(ungrouped),?,34,162.5
cabbage,sliced,sliced,identity(ungrouped),?,2,65.0
cabbage,small packs,small packs,fold(untested/minor-flag),?,5,190.0
camote,bilog,bilog,kept-separate(low-confidence weight test),?,511,145.0
camote,binilog,binilog,kept-separate(low-confidence weight test),?,56,130.0
camote,small packs,small packs,fold(untested/minor-flag),?,7,180.0
camote,tumpok,tumpok,safe-fold,?,17,1065.0
camote tops,2bond,2bond,identity(ungrouped),?,4,375.0
camote tops,3bugkos,3bugkos,keep-separate,?,4,570.0
camote tops,bugkos,bugkos,keep-separate,?,449,205.0
camote tops,bundle,bundle,keep-separate,?,102,497.5
carrot,10,10,identity(ungrouped),?,3,145.0
carrot,pack,pack,keep-separate,?,4,87.5
carrot,bilog,pieces or units,safe-fold,?,1031,135.0
carrot,binilog,pieces or units,safe-fold,?,131,145.0
carrot,pieces or units,pieces or units,safe-fold,?,14,122.5
carrot,putos (mix vegetable),putos (mix vegetable),identity(ungrouped),?,13,160.0
chicken,bilog,bilog,reassigned-separate(item-specific),?,233,1095.0
chicken,chicken wings,chicken wings,identity(ungrouped),?,1,15.0
chicken,pack,pack,keep-separate,?,4,1347.5
chicken,patupa,patupa,identity(ungrouped),?,3,935.0
chicken,pieces of fried chicken,pieces of fried chicken,identity(ungrouped),?,4,50.0
