province,pull_municipal_city,cons_name,unit_lbl,freq_ms,freq_price,source
AKLAN,ALTAVAS,cabbage,bilog,5,1,MS & Price
AKLAN,ALTAVAS,camote tops,bugkos,3,1,MS & Price
AKLAN,ALTAVAS,camote tops,bundle,3,1,MS & Price
AKLAN,ALTAVAS,carrot,bilog,6,1,MS & Price
AKLAN,ALTAVAS,chicken,binilog,2,3,MS & Price
AKLAN,ALTAVAS,chicken,whole (chicken),2,3,MS & Price
AKLAN,ALTAVAS,"crackers, cookies, buiscuits, chips/curls",binilog,8,1,MS & Price
AKLAN,ALTAVAS,"crackers, cookies, buiscuits, chips/curls",putos,5,3,MS & Price
AKLAN,ALTAVAS,fresh fish,binilog,3,3,MS & Price
AKLAN,ALTAVAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,2,1,MS & Price
AKLAN,ALTAVAS,"liquor (e.g, whisky, coconut wine)",lipid / lapad,3,1,MS & Price
AKLAN,ALTAVAS,"liquor (e.g, whisky, coconut wine)",long-neck,4,3,MS & Price
AKLAN,ALTAVAS,loaf bread,large,4,1,MS & Price
AKLAN,ALTAVAS,loaf bread,maisot nga putos,3,1,MS & Price
AKLAN,ALTAVAS,loaf bread,medium,4,1,MS & Price
AKLAN,ALTAVAS,pork,slice,1,1,MS & Price
AKLAN,ALTAVAS,"prawns, lobster, shrimp",tumpok,3,3,MS & Price
AKLAN,ALTAVAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",binilog,3,3,MS & Price
AKLAN,ALTAVAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,4,3,MS & Price
AKLAN,BANGA,cabbage,binilog,18,3,MS & Price
AKLAN,BANGA,camote tops,bundle,9,1,MS & Price
AKLAN,BANGA,carrot,binilog,16,1,MS & Price
AKLAN,BANGA,chicken,binilog,7,3,MS & Price
AKLAN,BANGA,chicken,whole (chicken),10,3,MS & Price
AKLAN,BANGA,"crackers, cookies, buiscuits, chips/curls",binilog,6,3,MS & Price
AKLAN,BANGA,"crackers, cookies, buiscuits, chips/curls",putos,4,3,MS & Price
AKLAN,BANGA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",binilog,1,1,MS & Price
AKLAN,BANGA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,1,1,MS & Price
