province,pull_municipal_city,cons_name,unit_lbl,harmonized_nsu_unit,fallback_harmonized_nsu_unit,fold_verdict,in_MS_as,freq_price,mn_item_unit_pairs,pn_item_unit_pairs,cause,cause_label,harmonizable,detail
AKLAN,ALTAVAS,fresh fish,he buy cooked food for his meals,.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,unmappable free-text; no MS referent for item (heuristic); cell has ['binilog']
AKLAN,MALINAO,loaf bread,100pcs of pandesal,pieces,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (recoverable),False,"recoverable: 100 x pieces (verify); no MS referent for item (heuristic); cell has ['large packs', 'medium packs', 'small packs']"
ANTIQUE,SIBALOM,carrot,tumpok / plastic,.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,unmappable free-text; no MS referent for item (spelling-fold); cell has ['bilog']
ANTIQUE,BELISON,"liquor (e.g, whisky, coconut wine)",bul,.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,"unmappable free-text; no MS referent for item (spelling-fold); cell has ['gin', 'lipid / lapad', 'long-neck']"
ANTIQUE,SAN REMIGIO,"liquor (e.g, whisky, coconut wine)",ball (tuba),.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,"unmappable free-text; no MS referent for item (heuristic); cell has ['lipid / lapad', 'long-neck']"
ANTIQUE,SIBALOM,"liquor (e.g, whisky, coconut wine)",14 tasa,tasa,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (recoverable),False,"recoverable: 14 x tasa (verify); no MS referent for item (heuristic); cell has ['lipid / lapad', 'long-neck']"
ANTIQUE,SIBALOM,"liquor (e.g, whisky, coconut wine)",7 ball,ball,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (recoverable),False,"recoverable: 7 x ball (verify); no MS referent for item (heuristic); cell has ['lipid / lapad', 'long-neck']"
ANTIQUE,SIBALOM,"liquor (e.g, whisky, coconut wine)",boll,.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,"unmappable free-text; no MS referent for item (spelling-fold); cell has ['lipid / lapad', 'long-neck']"
ANTIQUE,SIBALOM,"liquor (e.g, whisky, coconut wine)",coconut wine,.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,"unmappable free-text; no MS referent for item (heuristic); cell has ['lipid / lapad', 'long-neck']"
ANTIQUE,SIBALOM,"liquor (e.g, whisky, coconut wine)",takal ng tuba,.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,"unmappable free-text; no MS referent for item (heuristic); cell has ['lipid / lapad', 'long-neck']"
