province,pull_municipal_city,cons_name,pull_nsu_unit,cleaned_nsu_unit,harmonized_nsu_unit,source,cell_merge_with,n_cell_merged,cause_label,in_MS_as,fallback_harmonized_nsu_unit,drop_reason
AKLAN,BURUANGA,beer,bottle (500 ml),bottle (500 ml),bottle 500ml,MS & Price,,1,,,,standard quantity
CAPIZ,IVISAN,carrot,1/4 kilo,1/4 kilo,1/4 kilo,MS & Price,,1,,,,standard quantity
ANTIQUE,PATNONGON,"crackers, cookies, buiscuits, chips/curls",1.5kg per balde,1.5kg per balde,1.5kg per balde,MS & Price,,1,,,,standard quantity
AKLAN,ALTAVAS,fresh fish,he buy cooked food for his meals,he buy cooked food for his meals,he buy cooked food for his meals,Price Only,,1,nonsensical (unmappable),,,not a unit
CAPIZ,SIGMA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",per bowl serving of halo halo,per bowl serving of halo halo,per bowl serving of halo halo,Price Only,,1,nonsensical (unmappable),,,not a unit
ILOILO,IGBARAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2 bowls halohalo and 10 popcicle sticks,2 bowls halohalo and 10 popcicle sticks,2 bowls halohalo and 10 popcicle sticks,Price Only,,1,nonsensical (unmappable),,,not a unit
ILOILO,OTON,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",3 serving of halo-halo in a bowl,3 serving of halo-halo in a bowl,3 serving of halo-halo in a bowl,Price Only,,1,nonsensical (recoverable),,,not a unit
ANTIQUE,PATNONGON,"liquor (e.g, whisky, coconut wine)",bottle of ginebra s. miguel 350ml,bottle of ginebra s. miguel 350ml,bottle of ginebra s. miguel 350ml,MS & Price,,1,,,,standard quantity
CAPIZ,SIGMA,"liquor (e.g, whisky, coconut wine)",500ml 1 redhorse.,bottle (500 ml),bottle 500ml,MS & Price,,1,,,,standard quantity
CAPIZ,PILAR,mango,pieces/ kilo,pieces/ kilo,pieces/ kilo,MS & Price,,1,,,,ambiguous quantity
ANTIQUE,HAMTIC,"mineral or spring water, all drinking water sold in containers",500,bottle (500 ml),bottle 500ml,MS & Price,,1,,,,ambiguous quantity
ANTIQUE,TIBIAO,"mineral or spring water, all drinking water sold in containers",7 liters of gallons,7 liters of gallons,7 liters of gallons,Price Only,,1,empty/uncommon,,,standard quantity
ILOILO,TUBUNGAN,"mineral or spring water, all drinking water sold in containers",6 liters of water (2 blue container),6 liters of water (2 blue container),6 liters of water (2 blue container),MS & Price,,1,,,,standard quantity
ILOILO,TUBUNGAN,"mineral or spring water, all drinking water sold in containers",each 10 litres of gallon,each 10 litres of gallon,each 10 litres of gallon,MS & Price,,1,,,,standard quantity
NEGROS OCCIDENTAL,CAUAYAN,pork,1 whole pigs for her grandson's birthday,1 whole pigs for her grandson's birthday,1 whole pigs for her grandson's birthday,Price Only,,1,empty/uncommon,,,not a unit
ILOILO,DUMANGAS,rice,1 sack is 2900/for salary/inkind,1 sack is 2900/for salary/inkind,1 sack is 2900/for salary/inkind,Price Only,,1,empty/uncommon,,,not a unit
ILOILO,MINA,rice,1/2 sack of rice (25kls.),1/2 sack of rice (25kls.),1/2 sack of rice (25kls.),MS & Price,,1,,,,standard quantity
